index,City,State,population,minimum_age_x,minimum_age_y,Hispanic,White,Black,Native,Asian,Pacific,Poverty,ChildPoverty,Professional,Service,Office,Construction,Production,Employed,Unemployment,Drive,Carpool,Transit,Walk,OtherTransp,WorkAtHome,MeanCommute,PrivateWork,PublicWork,SelfEmployed,FamilyWork,Income,IncomeErr,IncomePerCap,IncomePerCapErr,Mean,Median,Stdev
503,Amarillo,TX,9561816,0.0,80.0,27.799999999999997,60.85,5.8,0.35,3.0,0.1,32.5,43.599999999999994,62.0,40.6,50.0,20.9,26.6,118690,9.2,80.55,13.05,0.8500000000000001,1.55,1.25,2.7,18.700000000000003,78.30000000000001,14.95,6.65,0.15000000000000002,49565.5,1571.0,25381.5,799.5,64852.76,92547.04,41992.48
572,Anaconda,MT,382140,0.0,80.0,2.45,94.0,0.55,0.85,0.25,0.75,32.2,65.6,66.0,45.7,34.5,29.9,24.1,5099,11.1,68.19999999999999,12.45,0.4,6.3,1.2000000000000002,11.55,22.799999999999997,58.5,30.950000000000003,10.15,0.39999999999999997,43955.5,4901.5,25146.0,2283.0,50159.333333333336,37548.666666666664,43152.666666666664
586,Anchorage,AK,10570428,0.0,80.0,8.6,60.3,5.5,6.3,8.7,2.1,8.2,12.4,39.7,17.7,23.9,9.4,9.3,152355,6.7,75.4,11.9,1.9,3.1,4.0,3.7,19.5,73.3,20.9,5.7,0.1,78326.0,1872.0,36920.0,758.0,89349.2,156128.44,55792.68
591,Andalusia,AL,456412,0.0,80.0,1.35,72.0,23.2,1.85,0.2,0.05,44.4,63.0,51.599999999999994,37.4,46.7,26.2,38.099999999999994,26496,26.799999999999997,86.9,8.6,0.30000000000000004,1.35,1.2,1.6500000000000001,24.3,75.8,17.4,6.550000000000001,0.25,34387.0,1941.0,19011.0,785.5,48976.0,87525.0,40202.6
598,Anderson,SC,4036032,0.0,80.0,3.3,77.8,16.2,0.2,0.8,0.0,16.4,23.6,30.3,16.5,25.3,9.5,18.4,81226,9.2,86.5,8.1,0.3,1.2,1.5,2.4,23.0,81.2,13.1,5.5,0.2,42143.0,1065.0,22400.0,499.0,56014.333333333336,101354.44444444444,39923.77777777778
618,Andrews,NC,228052,0.0,80.0,2.8,91.6,1.6,1.7,0.4,0.0,20.0,26.8,26.4,16.8,27.6,13.5,15.8,9362,8.4,83.1,8.2,0.3,2.7,1.4,4.2,22.6,75.7,13.2,11.0,0.1,34662.0,2096.0,18787.0,977.0,39213.0,34122.0,29278.0
620,Andrews,TX,642004,0.0,80.0,53.2,43.1,1.3,0.2,0.4,0.0,12.3,17.0,22.2,13.8,21.9,25.0,17.2,7923,3.9,78.0,18.2,0.0,0.1,1.2,2.5,19.3,83.1,9.6,6.8,0.5,70423.0,6038.0,29423.0,2327.0,77651.0,300000.0,57701.0
633,Angola,LA,21076,0.0,80.0,1.5,51.7,45.7,0.3,0.0,0.0,16.0,31.3,39.1,21.6,16.0,16.3,6.9,5021,8.5,89.3,7.7,0.0,0.1,0.3,2.6,28.4,60.1,33.8,5.9,0.2,56685.0,12161.0,22122.0,2017.0,76372.0,300000.0,36506.0
642,Animas,NM,38544,0.0,80.0,56.7,42.1,0.3,0.4,0.0,0.0,23.3,38.3,24.5,26.9,20.8,18.4,9.3,1867,12.2,78.6,10.8,0.1,3.8,1.0,5.9,20.0,69.0,26.1,4.2,0.7,34444.0,4574.0,18871.0,1700.0,27920.0,26630.0,25077.0
665,Anniston,AL,3062004,0.0,80.0,3.5,73.0,20.3,0.2,0.9,0.0,20.5,31.6,27.3,17.7,24.2,10.5,20.4,47401,12.3,85.3,9.4,0.2,1.2,1.2,2.7,24.1,74.1,20.8,5.0,0.1,41703.0,925.0,21374.0,489.0,48101.5,36615.75,40381.0
