City,State,Professional,Service,Office,Construction,Production
Everton,MO,33.3,15.3,21.7,13.0,16.6
Ewing,VA,31.5,19.8,23.4,11.4,13.9
Fairbanks,AK,36.6,17.0,23.4,12.9,10.1
Fairbury,IL,26.4,18.1,22.7,12.5,20.4
Fairfax,VA,51.8,16.4,22.4,6.1,3.3
Fairfield,IL,26.6,15.1,21.4,13.4,23.5
Fairfield,MT,38.5,17.0,20.1,15.1,9.3
Fairfield,NE,33.0,13.3,19.7,18.8,15.2
Fairmont,OK,26.5,17.7,23.3,14.6,17.9
Fairmont,WV,33.1,18.7,23.2,13.4,11.6
Fairplay,CO,34.4,18.4,22.3,14.7,10.2
Fairview,OK,29.4,12.6,23.6,17.5,16.9
Faith,SD,40.2,15.3,16.2,17.6,10.7
Falfurrias,TX,19.6,32.4,25.3,11.1,11.5
Fall Branch,TN,38.5,18.2,25.0,7.8,10.6
Fallon,NV,29.7,20.9,20.5,14.7,14.2
Falls Church,VA,74.0,9.9,12.1,2.4,1.5
Falmouth,MI,23.8,16.0,22.3,15.4,22.4
Fannin,TX,29.5,16.7,20.8,13.8,19.2
Fanwood,NJ,36.0,17.5,24.6,7.6,14.4
Farber,MO,27.3,21.0,20.5,10.3,20.9
Faribault,MN,35.9,17.9,20.9,9.9,15.4
Farina,IL,24.5,21.9,21.7,12.7,19.2
Farmersville,IL,32.4,20.3,24.0,9.4,13.8
Farmington,NM,27.1,20.0,25.6,15.6,11.7
Farmland,IN,27.1,17.3,19.3,11.9,24.5
Farnsworth,TX,21.3,18.9,21.3,21.6,16.9
Federalsburg,MD,57.4,43.0,44.2,26.5,28.9
Felt,ID,32.3,23.5,17.1,20.1,7.0
Ferdinand,IN,28.1,14.1,22.1,11.8,23.8
Fernandina Beach,FL,31.3,19.4,23.3,12.5,13.5
Fernley,NV,24.6,19.2,25.6,15.0,15.7
Fernwood,ID,25.3,20.1,16.7,16.1,21.9
Ferriday,LA,24.7,19.6,25.8,17.0,12.8
Fertile,MN,34.8,16.7,22.6,11.4,14.4
Festus,MO,20.6,16.5,21.7,18.6,22.5
Fieldton,TX,29.5,15.4,19.4,19.7,16.0
Firebaugh,CA,28.6,19.2,23.2,15.3,13.7
Fischer,TX,37.8,16.6,25.6,11.0,8.9
Fish Camp,CA,31.2,30.5,21.0,9.3,8.1
Flandreau,SD,41.3,13.7,17.2,10.7,17.0
Flemington,MO,31.2,21.8,21.1,13.2,12.7
Fletcher,MO,20.0,23.8,17.7,18.1,20.4
Flintville,TN,26.4,14.0,22.7,10.4,26.5
Florence,SC,34.1,18.9,25.4,7.9,13.7
Florence,WI,27.2,21.0,19.1,14.3,18.5
Florida,PR,27.0,18.0,30.7,9.1,15.2
Fluker,LA,28.9,18.5,26.0,12.9,13.9
Flushing,MI,30.5,19.9,24.8,8.1,16.8
Folkston,GA,28.1,22.4,13.6,16.2,19.7
Fond Du Lac,WI,29.3,16.8,21.1,10.4,22.5
Fontana Dam,NC,24.7,22.6,21.2,15.5,16.1
Ford,WA,29.0,17.9,23.9,15.5,13.7
Forest,MS,25.1,14.7,23.0,16.7,20.5
Forest City,IA,28.2,18.5,20.5,8.4,24.3
Forest City,NC,27.1,18.0,19.8,11.3,23.8
Forest City,PA,27.7,16.5,21.7,14.5,19.5
Forest Hill,WV,29.4,19.3,20.3,14.9,16.2
Foristell,MO,25.9,15.7,24.3,15.7,18.4
Forrest City,AR,20.9,24.9,21.2,17.3,15.6
Fort Bragg,CA,30.3,21.8,24.9,14.0,9.0
Fort Buchanan,PR,46.4,14.9,26.8,6.0,5.9
Fort Collins,CO,42.6,17.3,23.4,8.2,8.4
Fort Davis,TX,33.1,21.2,17.1,22.3,6.2
Fort Johnson,NY,27.6,20.6,25.0,9.3,17.5
Fort Lauderdale,FL,35.4,19.9,28.4,8.1,8.1
Fort Morgan,CO,24.0,19.7,19.9,15.6,20.8
Fort Pierce,FL,28.3,23.1,28.6,11.1,9.0
Fort Plain,NY,29.7,19.2,23.4,10.6,17.1
Fort Scott,KS,31.6,21.3,19.0,10.1,18.0
Fort Stewart,GA,28.6,21.5,25.3,10.1,14.4
Fort Valley,GA,29.2,16.6,20.8,14.5,18.9
Fort Valley,VA,28.6,17.7,21.9,12.6,19.3
Fort Wayne,IN,34.4,16.7,23.9,7.4,17.7
Fortine,MT,30.0,23.8,21.7,13.5,11.0
Fortuna,CA,34.0,22.5,23.3,11.0,9.1
Fouke,AR,26.8,17.0,25.8,9.8,20.7
Fountain,CO,40.5,18.5,24.5,8.5,8.0
Fountain,NC,60.5,44.0,43.7,18.6,33.1
Fountaintown,IN,25.2,17.5,20.3,10.9,26.1
Fowler,IL,29.6,18.3,26.7,7.9,17.5
Fowler,KS,37.6,16.4,14.0,21.8,10.2
Francis,OK,32.6,18.1,25.7,11.9,11.8
Frankfort,IN,22.8,12.5,19.8,10.0,34.9
Franklin,GA,25.2,15.0,19.0,18.1,22.7
Franklin,ID,23.5,12.2,26.2,20.5,17.6
Franklin,IN,37.4,14.5,26.0,9.1,13.0
Franklin,NE,27.3,14.9,22.0,16.6,19.1
Franklin,OH,46.2,13.7,23.5,5.9,10.7
Franklin,TX,28.6,16.8,23.1,15.4,16.1
Franklin,VA,59.3,48.0,40.900000000000006,24.1,27.7
Franklin,WV,25.9,19.2,18.3,17.8,18.8
Frankston,TX,26.8,19.4,24.3,14.8,14.7
Frazer,MT,39.5,18.4,18.2,13.0,11.0
Frederick,MD,46.1,15.3,22.9,8.9,6.8
Fredericksburg,VA,72.5,41.5,46.900000000000006,17.7,21.4
Fredonia,KY,29.1,21.3,24.6,10.0,15.1
Fredonia,ND,38.2,18.9,15.7,18.7,8.5
Fremont,CA,46.6,16.2,21.5,6.5,9.3
French Village,MO,26.9,23.0,23.0,10.5,16.6
Friendly,WV,25.2,22.5,21.2,11.5,19.5
Frisco,TX,43.9,14.6,26.6,6.4,8.5
Fritch,TX,20.3,16.6,17.1,18.8,27.3
Frost,MN,32.1,17.6,19.5,14.1,16.7
Fulda,MN,24.6,15.3,19.3,13.1,27.7
Funk,NE,29.9,16.7,20.7,18.6,14.1
Gackle,ND,37.0,14.0,19.7,15.3,14.0
Gadsden,AL,28.7,18.5,21.3,9.8,21.7
Gainesville,FL,46.4,19.1,23.7,5.0,5.8
Galax,VA,21.6,19.9,24.5,5.1,28.8
Galena,MD,35.9,21.3,22.0,10.8,9.9
Galena,MO,26.9,21.5,25.7,15.1,10.9
Galloway,OH,31.7,16.1,23.1,10.8,18.3
Gallup,NM,28.4,26.2,21.5,9.8,14.2
Galt,IA,28.7,15.8,20.4,12.5,22.6
Galva,IA,27.8,15.0,23.9,14.0,19.3
Garden,MI,26.9,19.1,22.8,11.5,19.8
Garden City,TX,20.1,10.3,22.5,21.5,25.6
Gardiner,MT,37.2,16.2,23.0,15.2,8.3
Garfield,GA,27.1,19.9,14.6,13.2,25.3
Garland,TX,33.3,18.2,24.5,11.2,12.9
Garland,UT,30.4,13.7,21.8,10.9,23.2
Garyville,LA,29.3,20.3,21.5,12.5,16.4
Gasquet,CA,33.9,31.5,18.8,8.9,6.8
Gastonia,NC,28.9,18.0,24.6,9.6,18.9
Gates,TN,23.3,20.4,20.6,10.7,25.0
Gatzke,MN,33.3,14.0,20.7,13.6,18.4
Gaylesville,AL,29.3,16.0,19.5,13.7,21.5
Genesee,ID,31.0,18.4,25.1,10.1,15.4
Genesee,PA,28.3,15.0,19.7,14.1,22.9
Geneseo,KS,36.0,18.9,18.5,14.4,12.2
Genoa,NE,35.5,15.8,19.9,14.6,14.2
Genoa City,WI,30.2,18.7,23.3,10.4,17.4
Georgetown,SC,31.6,21.7,24.1,8.8,13.7
Georgiana,AL,22.9,20.5,21.0,13.4,22.3
Gepp,AR,26.6,20.3,20.5,15.1,17.5
Gettysburg,SD,40.9,8.2,19.4,23.1,8.4
Gibbon,MN,30.7,15.1,18.0,14.5,21.8
Gilbertown,AL,24.9,15.4,19.6,18.3,21.8
Gillette,WY,25.0,14.4,21.7,24.0,14.9
Gillsville,GA,24.5,15.5,22.4,14.5,23.0
Gilman,IA,29.4,16.6,20.6,12.8,20.6
Gilman,VT,29.8,20.8,17.3,14.2,17.9
Gilman City,MO,29.7,19.6,22.7,12.9,15.2
Girard,GA,27.0,18.4,23.0,11.2,20.4
Girvin,TX,18.9,18.5,25.4,20.3,16.9
Gladeville,TN,35.3,15.1,29.8,8.9,10.9
Glen Allan,MS,33.1,18.2,25.3,7.6,15.9
Glencoe,OK,37.3,18.9,23.5,9.8,10.4
Glennallen,AK,35.4,18.9,19.0,20.5,6.2
Glenrock,WY,26.6,19.0,19.4,21.6,13.4
Glenwood,AR,27.6,18.9,16.6,25.1,11.8
Glenwood,GA,25.9,20.1,18.9,15.8,19.3
Gloster,MS,25.3,28.3,15.0,14.8,16.6
Glyndon,MN,34.4,19.3,23.9,9.6,12.9
Goessel,KS,31.7,17.2,21.3,12.3,17.5
Goetzville,MI,30.7,26.5,23.2,7.7,11.9
Gold Creek,MT,35.5,22.4,17.7,13.9,10.4
Golden City,MO,28.9,12.5,26.6,10.6,21.4
Golden Valley,ND,28.5,16.1,20.5,19.9,15.0
Goldfield,NV,25.9,22.4,7.1,30.9,13.7
Goldsboro,NC,29.7,17.9,21.4,13.3,17.7
Good Hope,IL,34.1,21.9,24.2,6.6,13.3
Goodhue,MN,34.5,17.0,20.3,10.7,17.5
Goodlettsville,TN,31.3,16.7,21.1,12.9,18.0
Goodview,VA,34.6,14.9,24.5,11.0,14.9
Goose Creek,SC,32.9,16.6,24.3,12.0,14.3
Gordo,AL,19.7,17.2,22.3,13.3,27.4
Gordon,GA,20.0,16.6,27.8,15.9,19.6
Gordonsville,VA,33.2,18.5,20.8,15.3,12.3
Goshen,NY,35.1,19.0,26.2,8.4,11.3
Goshen,VA,33.3,17.2,22.1,10.0,17.4
Gosport,IN,24.6,16.6,19.9,15.2,23.7
Gouldbusk,TX,26.2,20.8,24.1,17.6,11.3
Gouldsboro,ME,34.8,19.5,20.8,15.5,9.4
Gouldsboro,PA,30.5,18.7,26.2,7.8,16.7
Gouverneur,NY,33.2,22.7,22.6,10.6,10.8
Gove,KS,37.5,15.5,19.8,13.8,13.4
Grace,ID,32.8,15.8,18.5,17.9,15.0
Graham,KY,24.5,17.0,19.3,14.0,25.2
Graham,NC,31.7,18.0,24.2,10.0,16.1
Granby,MO,29.1,17.1,25.4,10.2,18.1
Grand Forks,ND,35.2,19.4,24.9,11.0,9.5
Grand Isle,ME,30.3,18.1,24.2,12.7,14.7
Grand Ledge,MI,65.6,34.400000000000006,46.400000000000006,21.3,32.3
Grand Marais,MN,33.9,28.2,18.8,12.4,6.7
Grand Rapids,MI,35.2,16.7,24.4,6.9,16.8
Grand Rapids,OH,29.0,16.4,17.2,10.2,27.3
Grand Valley,PA,30.1,15.8,22.1,11.0,21.0
Granite Falls,MN,29.8,20.9,18.2,12.8,18.3
Grant,FL,36.6,19.8,25.9,8.3,9.3
Grants,NM,28.4,27.8,21.8,12.9,9.1
Grantsville,UT,33.3,15.3,24.9,11.1,15.4
Granville Summit,PA,28.3,16.1,21.0,12.4,22.2
Grapeview,WA,27.6,22.0,23.6,14.7,12.0
Grasston,MN,52.4,43.1,41.900000000000006,28.4,34.2
Gravois Mills,MO,51.8,41.4,54.7,23.9,28.1
Graysville,GA,32.3,14.7,27.5,10.4,15.2
Greeley,NE,30.9,15.3,23.2,19.4,11.3
Greeleyville,SC,50.099999999999994,38.9,48.8,20.1,42.0
Green Castle,MO,32.4,14.8,17.5,17.9,17.4
Green City,MO,25.8,14.3,17.9,14.6,27.3
Green River,WY,25.4,15.2,20.6,23.1,15.7
Green Springs,OH,25.4,17.1,19.5,9.2,28.8
Greenbush,MI,22.8,22.5,22.5,13.0,19.1
Greene,RI,36.9,18.1,26.4,7.8,10.8
Greenfield,IL,27.5,20.9,18.9,12.3,20.4
Greenfield,MA,41.1,18.5,19.7,8.3,12.4
Greenfield,OH,27.0,19.6,23.0,8.8,21.5
Greenleaf,ID,25.7,19.5,24.4,14.3,16.0
Greenmountain,NC,58.2,40.4,39.5,28.700000000000003,33.3
Greensboro,VT,35.2,18.6,21.0,13.0,12.2
Greensburg,KY,27.6,15.1,24.1,9.7,23.4
Greenville,AL,55.1,28.200000000000003,45.7,22.8,48.3
Greenville,GA,19.9,18.6,17.1,17.3,27.1
Greenville,SC,37.0,17.0,24.6,7.3,14.1
Greenville,WV,27.3,17.2,20.9,12.5,22.1
Greenwich,OH,26.7,19.7,24.2,7.1,22.4
Greenwood,AR,29.9,17.4,24.5,8.6,19.6
Greenwood,LA,32.4,22.2,23.8,8.9,12.7
Greenwood,SC,57.3,35.8,40.900000000000006,18.9,47.1
Grey Eagle,MN,28.4,16.0,18.3,12.8,24.4
Griffithsville,WV,23.9,21.5,24.6,15.5,14.5
Grifton,NC,26.6,21.7,20.2,12.1,19.4
Grimes,CA,24.7,17.0,18.0,26.4,13.8
Grinnell,KS,39.1,8.4,20.5,14.5,17.5
Groom,TX,74.1,22.299999999999997,44.3,38.599999999999994,20.8
Grosse Tete,LA,24.1,21.5,25.6,13.2,15.6
Groveport,OH,32.8,16.6,23.2,9.8,17.5
Grover Hill,OH,24.8,15.8,19.7,8.3,31.4
Groves,TX,28.0,19.4,24.2,12.8,15.6
Gruver,TX,28.9,13.6,18.0,20.7,18.8
Guanica,PR,55.1,48.1,45.3,28.299999999999997,23.2
Guayama,PR,29.2,22.5,24.7,12.0,11.7
Guilford,ME,29.4,20.3,17.2,12.9,20.2
Gunnison,CO,64.1,35.3,37.4,42.4,20.8
Guntown,MS,26.8,12.2,19.3,13.2,28.5
Gurabo,PR,28.0,21.6,29.3,10.2,10.9
Gurley,NE,35.7,16.9,26.1,9.4,11.9
Guttenberg,IA,33.7,17.6,25.0,7.9,15.7
Hadley,MA,45.7,17.8,21.7,7.1,7.6
Hagarville,AR,25.5,15.3,19.6,11.4,28.2
Hagerstown,IN,29.3,20.7,22.2,8.8,19.0
Hagerstown,MD,32.5,18.0,24.7,10.1,14.7
Hague,VA,29.4,20.0,26.0,14.5,10.1
Haiku,HI,29.0,27.9,23.2,10.7,9.2
Haines,AK,34.0,20.6,20.6,10.6,14.1
Haleyville,AL,26.2,18.1,23.0,10.5,22.2
Hamer,ID,62.6,29.6,43.2,35.7,28.9
Hamer,SC,18.7,18.5,24.6,12.8,25.4
Hamill,SD,42.2,20.1,18.6,9.1,10.0
Hamilton,CO,23.4,19.3,25.0,20.9,11.4
Hamilton,IN,26.5,15.3,24.7,8.4,25.1
Hamilton,MS,25.5,16.0,24.2,10.1,24.3
Hamilton,TX,28.4,21.4,21.2,19.0,10.0
Hamilton City,CA,21.9,21.1,18.7,24.7,13.6
Hamlin,WV,37.5,15.7,27.8,8.8,10.1
Hampshire,TN,26.5,13.8,26.9,13.2,19.5
Hampstead,MD,43.0,16.0,22.8,10.4,7.8
Hampton,NE,33.1,14.4,25.0,12.8,14.7
Hampton,VA,32.5,19.1,26.1,10.1,12.3
Hanalei,HI,29.3,29.0,22.8,11.3,7.6
Hanover,IN,27.3,18.4,18.7,10.5,25.1
Hanover,MA,38.3,19.3,25.0,8.1,9.3
Hanover,MD,106.0,26.4,43.5,12.2,12.0
Hanston,KS,44.0,13.6,16.2,14.5,11.6
Hardeeville,SC,19.7,23.8,25.4,20.1,11.1
Hardesty,OK,24.5,14.6,19.0,15.1,26.8
Hardin,IL,26.9,23.2,15.6,16.4,17.9
Hardin,MT,32.6,22.2,23.8,13.9,7.4
Harlem,GA,25.7,19.6,20.5,15.2,19.0
Harold,KY,29.4,18.7,25.8,15.5,10.6
Harpers Ferry,WV,39.9,18.2,22.8,10.5,8.6
Harrell,AR,22.0,15.6,17.9,18.5,25.9
Harrellsville,NC,28.5,22.6,22.7,7.0,19.3
Harrietta,MI,26.5,17.5,21.6,9.1,25.3
Harrington,WA,35.3,17.7,20.1,16.7,10.1
Harrisburg,MO,46.4,16.4,24.0,5.4,7.7
Harrisburg,NE,44.6,9.7,22.9,14.7,8.1
Harrisburg,OR,28.3,19.0,22.9,12.0,17.7
Harrison,AR,19.4,25.8,20.1,11.7,23.0
Harrisonburg,VA,66.5,40.5,45.5,19.9,27.700000000000003
Harrisonville,MO,35.2,14.8,24.8,12.7,12.6
Harrodsburg,KY,29.1,15.4,22.2,12.7,20.6
Harrold,SD,45.0,13.5,24.1,10.2,7.2
Harrold,TX,27.8,23.2,22.2,13.7,13.0
Hart,MI,30.1,19.0,22.3,9.5,19.1
Hartford,AL,23.9,17.8,22.5,19.9,16.0
Hartland,ME,26.9,18.3,23.5,14.7,16.6
Hartland,MN,27.4,18.6,22.0,11.7,20.3
Hartland,WI,43.6,13.1,25.5,6.6,11.1
Harvey,AR,24.5,17.2,16.7,13.5,28.1
Harvey,ND,33.3,14.6,21.8,16.0,14.3
Hastings,FL,30.0,20.9,31.0,9.0,9.0
Hastings,MI,31.3,14.5,21.8,11.8,20.6
Hatillo,PR,36.8,18.3,23.1,10.9,10.9
Hattiesburg,MS,70.9,31.8,53.2,20.3,24.0
Haughton,LA,36.3,18.2,22.4,13.0,10.1
Haviland,KS,41.4,16.7,16.7,17.0,8.1
Hawkins,WI,24.0,14.3,23.2,13.1,25.4
Hawkinsville,GA,32.6,22.8,17.1,13.0,14.4
Hawley,PA,27.9,18.0,24.6,14.8,14.7
Hawthorne,FL,23.3,21.7,25.5,14.9,14.5
Hay Springs,NE,37.2,23.3,20.3,11.7,7.6
Hayes,SD,38.4,14.9,17.8,18.8,10.1
Hayes Center,NE,43.5,9.1,13.7,25.0,8.7
Haymarket,VA,43.2,17.8,22.8,9.1,7.2
Hazelton,ND,39.2,16.2,20.3,17.4,6.9
Hazen,AR,27.8,20.8,18.1,13.6,19.7
Head Waters,VA,28.7,12.5,28.7,26.0,4.0
Healy,KS,34.9,17.5,21.9,18.8,6.9
Heath,OH,35.0,16.1,25.7,9.0,14.2
Hebbronville,TX,24.7,19.7,15.3,19.2,21.1
Hebron,KY,38.8,13.4,27.1,6.8,13.8
Heflin,AL,27.6,12.9,20.3,13.1,26.1
Helena,GA,34.4,12.7,23.1,11.0,18.7
Hemingford,NE,82.8,27.1,36.5,26.0,27.5
Hemphill,TX,23.7,21.7,20.1,19.3,15.2
Henderson,KY,28.7,17.6,24.3,9.4,20.1
Hendersonville,NC,32.9,16.8,24.0,12.0,14.4
Henley,MO,39.7,15.8,25.7,7.7,11.1
Hennepin,OK,28.2,24.0,22.9,11.3,13.6
Henry,SD,25.4,17.6,25.9,11.4,19.7
Hensley,AR,29.1,16.3,21.1,12.7,20.9
Heppner,OR,27.1,15.8,16.9,21.5,18.5
Hereford,TX,23.7,15.0,21.0,21.4,18.8
Hernando,FL,28.8,24.1,25.1,10.6,11.5
Heron Lake,MN,34.7,16.4,18.2,11.0,19.7
Herron,MI,29.6,19.2,26.2,10.9,14.1
Herscher,IL,30.1,18.3,23.4,10.4,17.8
Hershey,NE,27.1,18.9,22.5,13.8,17.7
Hesperia,MI,25.5,17.9,18.4,15.0,23.2
Hesston,KS,36.3,15.8,18.2,9.6,20.1
Hestand,KY,29.9,13.4,18.8,13.2,24.8
Hickman,KY,29.1,22.8,17.8,6.9,23.4
Hickman,TN,24.8,15.0,22.9,12.0,25.4
Hickory,NC,31.4,15.8,23.1,7.0,22.8
Hicksville,OH,26.4,15.6,24.1,9.8,24.1
Hico,TX,29.9,19.4,21.7,13.0,16.0
Hidalgo,IL,29.2,14.1,25.0,13.0,18.7
Higgins,TX,32.1,8.9,16.5,20.5,22.0
High Bridge,NJ,50.8,13.4,23.2,6.6,5.9
High Point,NC,28.1,16.8,23.3,10.5,21.2
High Springs,FL,27.6,20.1,23.0,14.4,14.8
Hilham,TN,24.3,15.8,19.1,18.3,22.6
Hill,NH,39.9,16.5,24.0,9.1,10.5
Hilliard,OH,41.6,17.0,25.3,5.2,10.8
Hillsboro,ND,33.3,15.6,21.4,15.1,14.6
Hillsdale,NY,37.4,20.0,21.5,11.0,10.1
Hilo,HI,31.1,23.9,25.3,12.0,7.7
Himrod,NY,31.3,20.5,21.8,12.7,13.7
Hines,MN,31.4,22.9,24.4,9.5,11.7
Hinsdale,NH,36.7,16.1,23.8,9.7,13.6
Hinsdale,NY,27.7,20.7,24.6,11.4,15.7
Hitchins,KY,25.4,17.1,23.5,15.6,18.3
Hiwassee,VA,29.7,15.9,23.3,8.5,22.6
Hixson,TN,37.3,17.2,25.3,7.0,13.1
Hobbs,NM,24.2,14.7,22.2,20.8,18.0
Hobson,MT,46.8,14.2,13.1,19.2,6.7
Hoffman,MN,34.7,15.1,22.7,14.4,13.1
Hokah,MN,33.9,16.8,20.3,13.9,15.0
Holbrook,ID,28.3,15.8,18.2,20.2,17.5
Holcomb,KS,23.5,19.0,20.6,13.8,23.1
Holcomb,MO,26.7,21.3,21.2,12.0,18.8
Holden,LA,22.1,24.7,20.7,17.6,15.0
Holden,UT,25.8,20.3,16.5,20.0,17.4
Holdingford,MN,29.5,16.5,21.5,13.1,19.4
Holland,IN,29.6,13.9,22.3,8.4,25.8
Holland,TX,32.1,19.9,26.2,9.8,12.0
Holly,CO,30.1,24.4,22.4,12.6,10.6
Holly Ridge,NC,29.6,22.4,26.4,12.0,9.6
Holly Springs,NC,49.3,14.5,23.5,6.1,6.6
Holmen,WI,35.2,19.7,23.5,6.5,15.2
Holt,MI,39.6,19.4,23.9,5.3,11.8
Holyoke,CO,35.0,13.9,23.5,18.4,9.2
Homer,IN,28.8,14.8,20.8,10.5,25.2
Honey Grove,PA,25.9,14.7,20.3,15.2,23.9
Hooper,CO,30.2,19.8,25.0,16.1,8.9
Hope,AR,25.6,13.8,19.4,15.9,25.3
Hope,KY,28.0,14.6,22.3,11.8,23.3
Hope,NM,29.5,22.3,21.3,14.6,12.4
Hope Valley,RI,44.1,19.2,21.8,7.2,7.7
Hopewell,VA,23.0,18.5,25.9,14.6,18.0
Hormigueros,PR,25.4,18.1,34.5,8.9,13.0
Hornbeak,TN,27.6,19.2,21.8,10.1,21.3
Hornell,NY,33.5,18.5,20.9,11.5,15.6
Horner,WV,24.2,18.3,25.8,17.5,14.2
Horse Cave,KY,27.1,16.7,19.4,8.4,28.4
Horseshoe Beach,FL,23.9,20.4,21.6,12.1,22.0
Hosford,FL,32.3,28.4,14.3,14.0,11.0
Hoskins,NE,35.9,19.1,23.7,12.3,9.0
Hosmer,SD,39.1,11.0,25.7,13.1,11.2
Houma,LA,24.1,16.8,25.3,15.8,18.0
Houston,MS,18.6,14.1,22.2,9.2,35.9
Houston,TX,34.7,17.4,23.5,11.5,12.9
Hoven,SD,33.5,18.0,20.1,16.6,11.8
Howard,KS,38.4,18.6,15.5,14.5,13.0
Howard,OH,30.3,18.0,21.9,10.1,19.7
Howells,NE,20.6,11.9,18.5,14.5,34.5
Hudgins,VA,34.8,19.2,20.3,11.7,14.0
Hudson,KY,25.0,16.5,19.4,15.2,23.9
Hughes Springs,TX,27.7,19.8,20.7,6.6,25.1
Hughesville,MD,41.1,17.6,24.9,8.7,7.6
Hughesville,PA,29.8,19.0,24.4,9.8,17.0
Hugo,MN,36.7,15.4,25.1,8.5,14.3
Hugoton,KS,20.5,12.9,17.6,17.4,31.6
Hulett,WY,28.3,13.2,20.6,23.1,14.8
Hume,MO,28.0,19.9,20.9,15.5,15.6
Humeston,IA,32.8,22.9,17.7,11.8,14.9
Humphrey,AR,28.9,21.6,21.8,7.1,20.6
Hunnewell,MO,25.8,19.0,21.2,10.8,23.2
Hunter,KS,39.1,10.2,21.2,13.4,16.1
Huntersville,NC,42.4,16.3,25.1,6.7,9.4
Huntley,IL,37.0,15.1,27.1,8.2,12.6
Huntsville,AL,44.6,15.6,23.2,6.7,9.9
Huntsville,TX,55.5,48.599999999999994,43.3,27.099999999999998,25.5
Huron,SD,31.9,12.6,19.9,17.8,17.8
Hurt,VA,25.6,17.3,22.7,12.3,22.0
Huson,MT,39.1,20.6,23.4,9.5,7.4
Hutchinson,KS,30.7,18.9,19.3,14.0,17.1
Hyannis,NE,40.2,12.4,15.6,20.6,11.2
Hyde Park,VT,37.0,21.4,20.1,12.7,8.9
Hydro,OK,27.4,19.8,22.4,16.5,13.9
Hymera,IN,25.5,20.2,18.3,14.3,21.7
Idaho Falls,ID,34.7,17.4,25.1,10.1,12.6
Idlewild,MI,21.5,25.0,22.5,10.2,20.9
Ignacio,CO,39.7,15.6,21.4,15.4,7.9
Ilwaco,WA,26.7,22.5,18.8,14.6,17.5
Imogene,IA,34.8,16.2,19.8,10.8,18.5
Imperial,CA,23.5,24.1,25.1,14.7,12.5
Inchelium,WA,34.6,15.3,17.7,18.4,14.0
Independence,WV,26.4,19.3,21.6,16.1,16.6
Indiahoma,OK,32.3,21.1,23.2,10.7,12.7
Indianapolis,IN,33.7,18.4,25.7,7.6,14.7
Indianola,MS,28.2,18.7,23.8,10.3,19.0
Indianola,NE,26.0,18.4,25.8,11.8,18.0
Ingalls,KS,33.9,16.8,19.2,17.4,12.8
Ingram,TX,31.6,22.4,26.3,12.0,7.6
Interior,SD,45.8,16.7,15.7,15.0,6.8
Interlochen,MI,34.9,19.6,25.9,7.9,11.7
Inver Grove Heights,MN,42.4,15.1,25.4,6.1,11.0
Ione,WA,33.1,19.4,19.2,14.7,13.6
Iowa,LA,28.1,19.2,21.9,16.6,14.2
Iowa City,IA,45.5,18.0,20.9,5.2,10.4
Iron Mountain,MI,32.4,17.2,23.8,10.7,15.8
Irons,MI,27.2,23.4,23.9,10.7,14.7
Irvine,KY,20.6,16.7,19.5,11.0,32.2
Ivins,UT,31.2,20.3,28.4,8.8,11.2
Jackson,GA,25.8,21.1,20.6,16.9,15.7
Jackson,MO,33.3,19.0,26.6,8.5,12.6
Jackson,MS,32.5,21.9,24.4,7.5,13.7
Jackson,MT,35.2,21.6,19.0,17.0,7.2
Jackson,OH,32.2,16.3,19.5,11.2,20.8
Jackson,TN,32.9,19.4,25.2,6.9,15.6
Jacksonville,FL,35.5,18.5,27.8,7.7,10.5
Jacksonville,GA,25.2,21.1,19.5,12.2,22.0
Jacksonville,TX,26.9,22.4,20.0,15.7,15.1
Jameson,MO,27.6,18.0,22.3,15.2,16.9
Jamestown,IN,45.1,13.1,21.6,7.7,12.6
Jamestown,MO,28.1,18.7,23.2,12.8,17.2
Janesville,WI,30.0,17.5,22.0,9.3,21.2
Jaroso,CO,23.3,23.1,21.5,21.2,10.9
Jarratt,VA,22.8,24.5,26.4,6.1,20.1
Jarvisburg,NC,25.7,19.1,26.6,17.9,10.7
Jasper,AL,24.5,19.0,20.8,11.0,24.8
Jasper,AR,23.5,20.0,18.8,14.1,23.5
Jasper,FL,27.4,21.6,21.9,12.5,16.6
Jasper,GA,30.8,15.6,27.6,14.3,11.8
Jayton,TX,39.7,16.3,16.8,17.8,9.3
Jayuya,PR,24.2,16.4,15.6,11.4,32.4
Jean,NV,26.5,30.2,26.3,7.9,9.1
Jefferson,AL,28.4,18.2,20.7,12.5,20.2
Jefferson,PA,30.0,18.3,21.4,17.0,13.3
Jefferson,TX,26.7,22.1,19.5,14.4,17.4
Jeffersonville,VT,36.2,15.0,21.6,12.9,14.3
Jenkinsville,SC,24.1,21.9,20.7,10.0,23.3
Jennings,KS,37.4,19.3,17.1,15.0,11.1
Jennings,OK,28.6,16.2,20.3,14.8,20.1
Jerome,MO,37.9,19.7,22.7,7.9,11.8
Jersey,AR,25.6,17.0,21.1,16.1,20.2
Jersey,VA,41.5,16.3,22.9,10.9,8.4
Jersey City,NJ,39.4,18.4,22.9,6.2,13.1
Jesup,GA,29.7,15.2,21.8,16.2,17.0
Jewett,OH,23.1,17.0,20.4,18.0,21.6
Johnson,KS,32.9,14.6,21.4,21.9,9.2
