City,State,Professional,Service,Office,Construction,Production
Big Spring,TX,44.1,5.0,19.2,27.3,4.4
Big Wells,TX,19.3,23.5,31.9,17.0,8.3
Bighill,KY,36.2,20.4,23.2,7.1,13.1
Biglerville,PA,29.1,17.1,22.6,10.9,20.4
Billings,MO,35.4,17.9,26.4,8.9,11.4
Billings,MT,33.1,18.9,25.3,12.1,10.7
Billingsley,AL,27.2,14.3,23.7,15.3,19.5
Binford,ND,32.5,14.0,27.3,14.0,12.1
Bingen,WA,35.6,16.0,21.1,15.5,11.8
Bird City,KS,35.6,14.3,25.3,15.5,9.3
Birdsnest,VA,30.9,20.5,21.2,15.5,11.9
Birmingham,AL,38.7,17.0,25.2,7.4,11.6
Bisbee,ND,45.0,16.5,20.6,10.9,7.0
Bishop,CA,73.6,47.400000000000006,44.6,18.5,15.8
Bismarck,AR,26.5,19.4,22.9,12.9,18.3
Bismarck,ND,38.5,15.6,24.0,12.7,9.2
Black River,NY,32.3,21.5,25.1,11.2,9.8
Black River Falls,WI,28.0,18.3,21.5,10.4,21.8
Blacksburg,SC,25.7,16.7,24.0,7.7,25.8
Blacksburg,VA,46.6,19.0,21.2,4.9,8.3
Blackstone,VA,27.3,27.0,20.9,10.8,14.1
Blackwell,TX,71.19999999999999,38.4,32.7,26.2,31.5
Blanchard,ID,27.4,19.8,24.9,12.5,15.4
Blanchardville,WI,30.5,13.3,22.1,15.6,18.5
Blanchester,OH,63.5,31.299999999999997,53.0,18.7,33.5
Blanco,OK,28.6,19.6,22.6,13.5,15.7
Blanco,TX,36.3,20.7,19.3,15.5,8.2
Bledsoe,TX,24.2,14.2,12.9,33.2,15.5
Bloomery,WV,19.3,19.0,21.3,16.8,23.5
Bloomfield,KY,25.1,14.9,21.5,13.3,25.2
Bloomingdale,MI,29.1,19.7,21.1,12.7,17.5
Bloomington Springs,TN,33.1,20.6,23.0,8.9,14.4
Blountsville,AL,28.5,14.1,23.9,13.5,19.9
Blue Mound,IL,26.7,20.5,23.4,12.5,16.9
Blue Mountain,MS,21.9,12.5,26.2,10.7,28.6
Blue Ridge,TX,31.5,16.6,22.6,12.9,16.4
Blue River,WI,30.0,16.6,22.1,13.0,18.3
Blue Springs,MO,36.1,18.5,25.9,7.4,12.1
Blue Springs,NE,33.1,17.6,20.8,9.8,18.7
Bluff City,KS,33.1,15.6,23.5,11.9,15.9
Bluff Dale,TX,34.6,15.0,24.5,14.3,11.5
Bluffton,AR,24.3,16.2,18.4,16.0,25.1
Bogart,GA,31.5,15.7,26.3,10.3,16.2
Bogata,TX,22.5,19.2,19.6,17.9,20.8
Boise,ID,36.8,14.6,25.1,12.0,11.5
Bomont,WV,24.2,23.3,16.5,22.2,13.8
Bond,CO,33.9,19.3,19.3,19.5,8.0
Bonesteel,SD,37.1,18.1,21.4,14.3,9.0
Bonita Springs,FL,29.7,24.8,25.3,12.7,7.5
Bonners Ferry,ID,28.4,18.0,21.2,15.4,17.0
Boone,NC,35.4,25.5,24.6,8.4,6.1
Boones Mill,VA,31.5,13.5,25.1,12.8,17.1
Boonville,NC,26.0,16.5,22.5,12.8,22.1
Boston,GA,34.0,18.8,25.3,7.9,14.1
Boston,KY,26.3,15.7,21.9,10.7,25.5
Boston,MA,44.4,21.8,21.4,4.8,7.6
