City,State,population,Poverty,Diversity,Employment,Professional,Service,Office,Construction,Production,Drive,Carpool,Transit,Walk,OtherTransp,WorkAtHome,MeanCommute,PrivateWork,PublicWork,SelfEmployed,FamilyWork,Mean,Income,Stdev,Income
Arcadia,LA,192324,122.3,3496.01,334564.4,1237,1031,411,371,720,18,77,961,583,1070,841,206,411,1121,23,1088,629,1364,1292,1364
Arcanum,OH,315964,103.1,5801.680000000001,4165019.28,1310,1213,209,482,1329,218,503,1301,1129,678,356,217,735,989,538,814,467,284,1271,284
Ardmore,OK,1508408,73.7,4403.65,248205.04,776,1264,346,881,1176,833,379,862,135,1129,674,1112,741,546,360,649,1343,1102,1118,1102
Arkadelphia,AR,718828,88.9,4622.42,594953.28,694,1113,307,907,206,456,1305,1112,416,93,669,605,1257,42,809,650,260,221,864,221
Arlington,NE,93368,40.5,5829.84,659734.88,152,452,1364,858,1276,1161,943,320,1136,1357,269,774,743,1192,674,652,1089,102,260,102
Arlington,TX,16142236,58.0,3760.18,56224523.279999994,1372,1129,53,1180,182,660,494,786,91,256,1084,1341,535,233,346,1075,1281,347,515,347
Arlington,VA,9002136,65.70000000000002,4037.84,14220225.44,101,63,1320,449,872,1360,1089,322,1007,873,1292,1053,1010,588,500,1067,1292,388,568,388
Arroyo,PR,848452,166.7,1858.4199999999998,244097.68,972,443,950,674,1027,511,1141,816,984,1071,843,641,776,1098,1005,143,632,1343,666,1343
Ash,NC,169136,74.5,5155.610000000001,2749397.28,492,315,258,625,1153,700,411,815,983,640,856,864,908,1138,968,1138,44,356,790,356
Ashburn,GA,279048,225.0,3979.190000000001,1152147.76,111,614,1067,658,782,267,1129,814,305,1086,1066,833,1062,981,392,742,913,783,793,783
Ashland,AL,220132,61.7,5095.01,315312.48,674,924,399,680,726,1226,816,331,1311,962,1118,1030,678,1153,953,348,222,1103,284,1103
Ashland,KY,1741696,80.8,5732.780000000001,1117672.4000000001,974,599,1296,795,848,1149,863,332,1168,507,1011,276,139,647,801,269,258,793,1038,793
Ashland,MA,720764,26.7,4785.59,50631621.519999996,812,379,899,398,595,153,586,1096,369,149,1363,168,815,818,1083,866,1133,1184,544,1184
Aspen,CO,434456,33.1,5433.83,625933.84,1152,158,314,184,1326,436,67,378,696,1187,237,1361,60,275,595,272,829,516,254,516
Astoria,NY,6422680,56.1,2474.01,67180081.12,516,1087,996,739,1260,523,891,1268,350,506,1364,85,153,780,1016,273,87,375,913,375
Atchison,KS,590392,71.8,5453.9800000000005,457441.3599999999,98,359,1012,993,18,37,417,338,69,862,631,859,718,1172,1317,789,425,961,54,961
Athens,AL,2310264,51.3,4976.990000000001,2290276.9599999995,970,291,55,193,1209,1337,1247,1100,366,802,353,417,13,925,694,791,589,245,1287,245
Athens,GA,5057052,115.4,3995.26,3278818.2399999998,631,820,641,1288,1211,912,718,805,99,768,675,648,144,1008,1354,799,401,16,222,16
Athens,TN,1096084,76.5,5571.860000000001,1262998.16,1074,471,439,232,993,209,291,793,251,255,986,804,417,671,724,320,1294,1138,307,1138
Atlanta,MI,155012,62.1,5864.119999999999,179196.80000000002,257,494,1096,502,1200,641,560,372,111,840,147,378,132,551,291,848,496,611,1133,611
Atlantic City,NJ,1712876,61.599999999999994,4029.3100000000004,7792070.8,255,1327,324,170,13,747,914,1105,1182,1034,396,393,154,559,114,282,749,480,1159,480
Attleboro,MA,1879064,47.5,5284.960000000001,16379325.6,135,936,1052,216,577,1270,316,368,898,7,53,701,1337,380,533,283,1131,1136,850,1136
Auburn,AL,2405700,203.1,2233.8650000000002,697528.08,401,338,1108,696,1258,1103,989,1271,1175,557,329,163,1298,1001,1258,284,963,911,324,911
Augusta,GA,8769772,137.2,3851.6450000000004,8375036.72,189,947,834,904,434,52,373,350,1006,1176,961,1,451,26,311,847,356,431,939,431
Augusta,MO,56232,23.5,5475.06,12096967.92,394,1098,611,961,105,340,630,360,1020,816,832,289,1332,972,1122,843,221,509,394,509
Aurora,CO,16967632,52.0,3934.07,13968684.079999998,721,795,1006,203,155,1228,1084,1274,183,1239,1105,1244,316,1078,572,289,544,916,1281,916
Aurora,MO,522456,81.1,5453.6500000000015,867394.08,1280,371,1324,626,408,65,807,313,1034,159,441,1192,978,638,655,290,1267,1362,657,1362
Austin,TX,40975792,61.6,3782.8800000000006,36455732.800000004,594,629,1071,501,325,692,1186,394,1069,101,567,1304,503,130,1111,291,961,774,632,774
Austinville,VA,103884,62.3,5840.7300000000005,792669.0399999999,880,42,267,614,32,414,1283,1088,253,358,789,1185,814,1023,848,292,457,701,258,701
Avondale,CO,67276,75.0,4021.9100000000003,3970663.36,911,628,1103,18,265,755,358,1261,686,1249,1122,1265,490,863,247,317,1039,689,1039,689
Azle,TX,1182764,48.3,5094.969999999999,1651257.2,238,1012,517,640,1298,1292,1056,256,1100,811,1168,94,1296,122,954,316,213,824,467,824
Bainbridge,NY,225104,63.1,5809.910000000001,1316719.92,990,758,1180,586,59,1276,571,860,1264,1159,1062,1044,420,1221,1344,315,444,467,215,467
Baker City,OR,528880,65.2,5643.1500000000015,388056.72,750,853,860,785,560,322,656,859,394,1013,318,835,1255,370,448,802,257,1324,44,1324
Bakersfield,CA,21669604,89.5,3259.2500000000005,19899973.04,815,1117,833,275,107,795,613,431,708,424,928,172,632,920,832,831,1287,661,95,661
