City,State,Hispanic,White,Black,Native,Asian,Pacific
Banks,AL,0.9,57.1,38.2,0.8,2.1,0.0
Barceloneta,PR,99.8,0.2,0.0,0.0,0.0,0.0
Barksdale,TX,51.0,48.8,0.2,0.1,0.0,0.0
Barnesville,GA,2.4,67.9,28.4,0.2,0.2,0.0
Barnesville,MN,2.3,94.7,0.3,1.1,0.2,0.0
Barnhart,MO,1.7,94.8,1.0,0.3,0.7,0.0
Barnum,IA,4.2,88.9,4.0,0.3,1.1,0.0
Barranquitas,PR,99.85,0.05,0.0,0.0,0.0,0.0
Bartlett,TX,23.8,62.1,6.2,0.2,5.4,0.0
Barton,NY,1.6,95.6,0.7,0.1,0.5,0.0
Bartow,GA,2.2,43.9,52.4,0.0,0.5,0.0
Basehor,KS,6.6,79.3,8.3,0.6,1.6,0.1
Basile,LA,2.1,77.7,17.4,0.2,0.2,0.2
Bassett,AR,3.8,59.6,34.5,0.1,0.3,0.0
Batavia,NY,3.0,90.9,2.5,1.0,0.7,0.0
Bates,OR,3.5,92.2,0.3,0.7,0.4,0.0
Batesburg,SC,14.8,58.2,26.0,0.1,0.0,0.0
Batesville,IN,1.7,96.1,0.5,0.2,1.1,0.0
Bath,IL,0.6,96.8,0.9,0.2,0.5,0.1
Bath Springs,TN,3.0,91.9,2.8,0.0,0.3,0.0
Battle Creek,NE,13.9,81.7,1.0,1.2,0.7,0.0
Battle Ground,IN,7.5,90.3,0.4,0.0,0.2,0.0
Battle Mountain,NV,2.6,95.1,0.1,1.5,0.0,0.7
Bauxite,AR,4.1,87.1,5.8,0.3,0.9,0.0
Bay City,MI,5.0,90.6,1.3,0.2,0.6,0.0
Bay City,TX,39.9,46.2,9.9,0.4,2.1,0.2
Bay Port,MI,2.1,95.7,0.4,0.4,0.6,0.0
Bayamon,PR,99.2,0.5,0.1,0.0,0.1,0.0
Bayport,NY,17.8,69.6,7.1,0.1,3.7,0.0
Beach,ND,2.0,95.6,0.0,0.4,0.0,0.0
Beach Haven,NJ,8.8,85.1,2.9,0.0,1.9,0.0
Bealeton,VA,7.0,81.1,7.4,0.1,1.2,0.0
Bear Creek,NC,12.6,71.4,12.0,0.3,1.4,0.1
Beattyville,KY,0.5,98.3,0.4,0.3,0.0,0.0
Beaufort,SC,11.5,66.9,18.4,0.2,1.2,0.0
Beaumont,KY,1.5,93.9,1.1,0.2,0.3,0.2
Beaverton,MI,1.8,95.1,0.4,0.5,0.2,0.0
Beaverton,OR,16.2,68.2,1.8,0.4,9.2,0.4
Bechtelsville,PA,18.2,74.7,4.1,0.1,1.4,0.0
Becker,MN,2.4,92.5,1.9,0.4,1.2,0.0
Bedford,KY,3.0,96.4,0.0,0.0,0.0,0.0
Bee Branch,AR,2.9,93.6,0.5,0.4,0.2,0.0
Beeson,WV,0.9,90.5,5.9,0.3,0.7,0.0
Beeville,TX,57.3,33.1,8.6,0.5,0.2,0.0
Bejou,MN,4.6,90.4,0.5,1.8,0.4,0.2
Belden,MS,6.1,77.4,15.1,0.1,0.3,0.0
Belgium,WI,2.6,92.6,1.4,0.3,2.1,0.0
Bella Vista,CA,9.2,81.2,1.0,2.2,2.6,0.2
Bellaire,MI,1.9,95.2,0.3,0.9,0.3,0.0
Belle Plaine,MN,4.7,83.3,2.8,0.6,5.9,0.0
Belleview,MO,0.8,94.6,2.6,0.5,0.0,0.1
Belleville,IL,3.7,62.5,29.7,0.2,1.3,0.0
Bellevue,NE,8.1,82.6,3.9,0.4,2.1,0.1
Bellevue,TX,5.4,90.9,0.5,1.3,0.4,0.0
Bells,TX,12.3,77.1,5.9,1.2,1.1,0.1
Belmont,NY,1.5,94.8,1.3,0.3,1.2,0.0
Belpre,OH,1.0,95.4,1.1,0.2,0.7,0.0
Belvidere,NC,3.3,60.2,34.1,1.1,0.2,0.0
Bend,OR,7.4,88.8,0.3,0.9,0.3,0.1
Benicia,CA,25.3,39.8,13.5,0.3,14.6,0.8
Benkelman,NE,9.9,88.8,0.1,0.0,0.0,0.0
Bennett,IA,1.7,96.2,0.4,0.0,0.6,0.0
Bennington,IN,0.0,98.9,1.0,0.0,0.0,0.0
Bennington,VT,1.7,95.0,0.5,0.2,0.5,0.0
Benzonia,MI,2.1,94.3,0.3,1.2,0.3,0.0
Berea,KY,1.2,96.9,0.65,0.0,0.05,0.0
Berkeley Springs,WV,1.3,96.1,0.8,0.1,0.4,0.0
Berlin Heights,OH,3.9,84.1,8.3,0.2,0.5,0.1
Bern,ID,4.1,93.8,0.5,0.1,1.0,0.1
Bernalillo,NM,36.9,45.5,1.9,11.9,1.3,0.0
Berryton,KS,2.6,94.3,0.1,0.9,0.2,0.0
Berthoud,CO,28.7,66.9,1.0,0.5,1.3,0.1
Berwick,LA,6.2,56.5,31.1,1.2,1.6,0.0
Bessemer,MI,1.2,90.1,4.5,2.4,0.5,0.1
Bethlehem,GA,20.3,41.2,24.7,0.2,11.0,0.0
Bethlehem,PA,11.7,78.9,4.5,0.1,2.7,0.0
Bethune,CO,18.9,75.9,4.2,0.3,0.3,0.2
Beulah,MS,2.1,32.6,64.0,0.2,0.7,0.0
Beulah,ND,2.9,91.7,0.3,4.3,0.2,0.0
Biddeford,ME,1.6,94.9,0.7,0.3,1.1,0.0
Big Cabin,OK,3.2,65.9,0.4,9.6,0.4,0.2
Big Pine Key,FL,22.0,69.0,6.1,0.4,1.0,0.0
Big Rock,TN,2.4,92.1,1.6,1.2,1.2,0.0
Big Rock,VA,0.3,95.4,2.7,0.1,0.5,0.0
Big Sandy,MT,2.1,76.0,0.1,19.2,0.3,0.0
Big Sandy,TN,2.1,93.3,3.5,0.2,0.5,0.0
Big Spring,TX,34.1,65.9,0.0,0.0,0.0,0.0
Big Wells,TX,85.8,13.7,0.3,0.0,0.2,0.0
Bighill,KY,2.3,90.1,4.4,0.4,0.9,0.1
Biglerville,PA,6.5,89.8,1.5,0.1,0.7,0.0
Billings,MO,2.8,93.7,0.6,0.4,0.6,0.0
Billings,MT,5.2,87.4,0.6,4.1,0.7,0.1
Billingsley,AL,7.6,80.5,10.2,0.4,0.3,0.0
Binford,ND,0.4,96.6,1.2,0.9,0.2,0.0
Bingen,WA,12.0,82.3,0.7,2.8,0.4,0.2
Bird City,KS,6.5,90.9,0.0,0.0,1.2,0.0
Birdsnest,VA,8.0,54.2,36.4,0.1,0.8,0.2
Birmingham,AL,3.8,51.0,42.2,0.2,1.6,0.0
Bisbee,ND,1.6,88.8,0.0,2.0,0.1,0.0
Bishop,CA,23.950000000000003,65.65,0.7,5.8999999999999995,1.2000000000000002,0.3
Bismarck,AR,3.1,83.0,11.7,0.6,0.2,0.0
Bismarck,ND,1.7,91.1,0.9,3.8,0.6,0.0
Black River,NY,6.9,82.7,5.1,0.3,1.4,0.2
Black River Falls,WI,4.0,91.6,1.0,0.9,0.7,0.0
Blacksburg,SC,4.0,73.2,20.1,0.2,0.6,0.0
Blacksburg,VA,3.0,84.5,4.1,0.2,6.1,0.0
Blackstone,VA,3.9,55.1,38.5,0.3,0.6,0.0
Blackwell,TX,28.2,67.75,2.5,0.4,0.25,0.0
Blanchard,ID,2.7,93.8,0.1,0.5,0.5,0.2
Blanchardville,WI,3.5,94.9,0.4,0.3,0.2,0.0
Blanchester,OH,1.65,93.9,1.95,0.15000000000000002,0.65,0.0
Blanco,OK,4.5,70.4,3.3,9.0,0.5,0.0
Blanco,TX,19.0,77.9,0.1,0.8,0.5,0.0
Bledsoe,TX,56.2,38.4,3.7,0.2,0.0,0.0
Bloomery,WV,1.2,96.1,1.3,0.1,0.0,0.0
Bloomfield,KY,3.7,88.3,5.9,0.1,0.2,0.0
Bloomingdale,MI,10.9,81.9,3.5,0.6,0.6,0.0
Bloomington Springs,TN,5.7,89.3,2.4,0.1,1.1,0.0
Blountsville,AL,8.6,87.9,1.5,0.3,0.1,0.0
Blue Mound,IL,1.5,95.2,1.7,0.1,0.5,0.0
Blue Mountain,MS,4.5,78.8,14.2,0.2,0.7,0.1
Blue Ridge,TX,10.3,79.7,6.8,0.3,0.6,0.1
Blue River,WI,1.4,95.6,1.3,0.1,0.7,0.0
Blue Springs,MO,8.7,62.8,23.5,0.4,1.7,0.2
Blue Springs,NE,2.0,95.3,0.4,0.2,0.4,0.2
Bluff City,KS,6.4,90.5,0.1,1.4,0.1,0.1
Bluff Dale,TX,11.4,85.6,0.8,0.8,0.6,0.0
Bluffton,AR,19.0,76.0,2.0,0.5,1.5,0.0
Bogart,GA,6.7,82.7,7.1,0.1,1.8,0.0
Bogata,TX,7.2,73.1,17.6,0.4,0.1,0.0
Boise,ID,3.6,92.4,0.5,1.4,0.1,0.3
Bomont,WV,0.1,97.9,0.0,0.4,0.0,0.2
Bond,CO,6.2,88.0,1.4,0.2,1.9,0.7
Bonesteel,SD,0.8,88.4,0.0,7.1,1.1,0.0
Bonita Springs,FL,26.5,64.5,6.6,0.2,1.2,0.0
Bonners Ferry,ID,4.2,91.4,0.2,1.8,0.0,0.0
Boone,NC,3.5,92.1,1.1,0.3,0.9,0.0
Boones Mill,VA,2.7,87.0,8.4,0.1,0.3,0.0
Boonville,NC,10.5,85.0,3.4,0.3,0.1,0.0
Boston,GA,3.3,57.8,36.3,0.0,0.9,0.0
Boston,KY,2.1,90.7,5.2,0.2,0.3,0.0
Boston,MA,21.3,46.5,20.0,0.2,8.6,0.0
Boswell,OK,5.4,72.6,1.9,14.4,0.5,0.0
Boulder,UT,5.6,90.2,0.6,0.5,0.8,0.6
Bouton,IA,6.2,87.1,1.1,0.1,3.4,0.1
Boutte,LA,5.6,65.7,26.1,0.2,1.1,0.0
Bovina,TX,61.4,36.7,1.7,0.2,0.0,0.0
Bowie,MD,16.2,14.3,62.6,0.2,4.2,0.0
Bowie,TX,13.05,82.75,2.5,0.25,0.1,0.0
Bowlegs,OK,4.4,65.8,5.0,18.9,0.2,0.0
Bowling Green,KY,4.9,80.6,9.4,0.3,3.0,0.2
Bowling Green,OH,5.1,89.0,2.6,0.1,1.7,0.0
Bowman,ND,4.4,93.5,0.1,1.2,0.0,0.0
Box Elder,MT,3.1,71.2,0.0,22.3,0.5,0.0
Boyertown,PA,4.6,77.4,8.7,0.1,7.0,0.0
Bozeman,MT,3.1,92.6,0.4,0.9,1.2,0.0
Bracey,VA,2.25,50.2,45.400000000000006,0.2,0.4,0.0
Brackenridge,PA,1.8,79.6,12.9,0.1,3.3,0.0
Brackettville,TX,62.1,37.3,0.6,0.0,0.0,0.0
Bradenton Beach,FL,15.5,72.2,9.0,0.1,1.8,0.0
Bradford,IL,1.1,96.7,0.8,0.0,0.6,0.0
Bradford,TN,2.4,77.5,18.5,0.2,0.3,0.0
Bradgate,IA,3.3,94.4,1.2,0.1,0.1,0.0
Bradleyville,MO,5.2,89.9,0.8,0.6,0.9,0.0
Brady,TX,30.8,65.7,1.6,0.0,0.0,0.0
Braidwood,IL,16.3,65.6,11.0,0.1,5.0,0.0
Branchville,IN,1.2,94.4,3.0,0.1,0.3,0.0
Brandon,FL,26.1,51.8,15.6,0.2,3.7,0.1
Brandy Station,VA,9.0,71.5,13.9,0.3,1.4,0.1
Brasstown,NC,3.0,96.0,0.5,0.0,0.1,0.0
Braxton,MS,2.6,75.2,19.6,0.1,1.2,0.0
Brazil,IN,1.3,95.0,2.0,0.2,0.1,0.3
Breaux Bridge,LA,2.5,64.7,29.6,0.3,1.0,0.0
Breckenridge,TX,19.95,76.4,1.85,0.6,0.3,0.0
Breda,IA,2.6,95.8,0.6,0.0,0.0,0.0
Breeding,KY,0.2,94.7,3.0,0.0,0.3,0.0
Bremen,IN,9.1,88.6,0.6,0.1,0.6,0.1
Bremo Bluff,VA,3.2,78.7,14.4,0.0,0.7,0.0
Bremond,TX,22.1,51.8,24.5,0.1,0.2,0.1
Brenham,TX,20.1,64.5,12.9,0.2,0.85,0.05
Brewerton,NY,4.5,77.8,10.6,0.6,3.5,0.0
Briceville,TN,2.5,90.0,3.8,0.3,1.3,0.0
Bridgeport,WV,1.5,94.6,1.8,0.2,0.5,0.1
Bridgeton,NJ,28.6,48.5,18.6,0.5,1.3,0.0
Bridgeville,CA,7.1,83.0,1.1,3.4,1.2,0.8
Bridgewater Corners,VT,1.4,95.1,0.7,0.2,0.9,0.1
Brierfield,AL,2.2,74.5,21.4,0.4,0.1,0.0
Brighton,TN,2.5,76.2,18.0,0.5,0.7,0.6
Brightwood,VA,2.1,85.3,8.3,0.0,0.0,0.0
Briscoe,TX,33.0,64.0,1.0,0.4,0.3,0.0
Bristol,CT,16.6,63.9,12.6,0.1,4.7,0.0
Bristol,VA,1.45,92.85,3.25,0.35,0.6,0.0
Bristol,WI,12.4,76.9,7.2,0.3,1.4,0.0
Bristow,IA,1.1,97.2,0.4,0.1,0.5,0.0
Bristow,OK,3.9,62.0,7.7,13.6,0.2,0.0
Broadus,MT,2.1,94.0,0.0,1.5,0.0,0.0
Broadview,MT,3.3,92.5,0.2,0.8,1.1,0.0
Broadview,NM,39.9,50.1,5.7,0.6,1.5,0.1
Brocket,ND,2.2,85.4,0.1,9.6,0.6,0.0
Broken Bow,OK,5.3,64.0,8.2,13.8,0.1,0.2
Bronston,KY,2.3,94.5,0.9,0.1,0.6,0.1
Bronx,NY,54.6,10.3,29.6,0.2,3.6,0.0
Brookesmith,TX,20.7,73.5,4.2,0.2,0.4,0.0
Brookings,SD,2.3,91.2,1.3,0.6,2.9,0.0
Brooklyn,CT,10.5,84.1,1.9,0.0,1.2,0.0
Brooklyn,NY,19.6,35.7,31.2,0.2,11.4,0.0
Brooks,KY,1.6,95.3,0.5,0.2,0.5,0.1
Brooksville,FL,11.3,80.5,5.1,0.1,1.1,0.0
Brookville,PA,0.8,97.5,0.5,0.2,0.3,0.1
Broomfield,CO,15.1,78.8,1.0,0.5,2.5,0.0
Browns Valley,MN,2.0,91.5,0.5,3.4,0.0,0.0
Brownsville,TX,88.5,10.1,0.4,0.1,0.6,0.0
Brownton,MN,5.3,92.4,0.4,0.2,0.6,0.0
Brunswick,NC,4.8,60.2,30.1,3.2,0.3,0.0
Brunswick,OH,1.8,94.4,1.4,0.2,1.1,0.0
Brusly,LA,2.7,57.5,37.7,0.2,0.6,0.0
Brutus,MI,1.3,92.4,0.7,2.0,0.4,0.0
Bryan,TX,24.4,57.6,10.4,0.1,5.7,0.0
Buchanan,GA,1.3,91.0,4.9,0.1,0.8,0.0
