index,City,State,population,minimum_age_x,minimum_age_y
457,Alton,UT,5720,0.0,80.0
458,Alton,VA,105600,0.0,80.0
459,Alton Bay,NH,66220,0.0,80.0
460,Altona,IL,37180,0.0,80.0
461,Altona,NY,93720,0.0,80.0
462,Altonah,UT,13200,0.0,80.0
463,Altoona,AL,335544,0.0,80.0
464,Altoona,FL,109252,0.0,80.0
465,Altoona,IA,704132,0.0,80.0
466,Altoona,KS,32208,0.0,80.0
467,Altoona,PA,2722896,0.0,80.0
468,Altoona,WI,300036,0.0,80.0
469,Altura,MN,61732,0.0,80.0
470,Alturas,CA,236324,0.0,80.0
471,Altus,AR,88660,0.0,80.0
472,Altus,OK,936056,0.0,80.0
473,Alum Bank,PA,81136,0.0,80.0
474,Alum Bridge,WV,15444,0.0,80.0
475,Alum Creek,WV,121044,0.0,80.0
476,Alva,FL,214148,0.0,80.0
477,Alva,OK,292732,0.0,80.0
478,Alva,WY,4796,0.0,80.0
479,Alvada,OH,44660,0.0,80.0
480,Alvarado,MN,21296,0.0,80.0
481,Alvarado,TX,862752,0.0,80.0
482,Alvaton,KY,190740,0.0,80.0
483,Alverda,PA,11308,0.0,80.0
484,Alverton,PA,20680,0.0,80.0
485,Alvin,IL,30492,0.0,80.0
486,Alvin,TX,2033856,0.0,80.0
487,Alviso,CA,90684,0.0,80.0
488,Alvo,NE,14212,0.0,80.0
489,Alvord,IA,20020,0.0,80.0
490,Alvord,TX,137192,0.0,80.0
491,Alvordton,OH,34144,0.0,80.0
492,Alzada,MT,6864,0.0,80.0
493,Ama,LA,57200,0.0,80.0
494,Amado,AZ,97020,0.0,80.0
495,Amador City,CA,8624,0.0,80.0
496,Amagansett,NY,57200,0.0,80.0
497,Amagon,AR,10648,0.0,80.0
498,Amalia,NM,8624,0.0,80.0
499,Amana,IA,80388,0.0,80.0
500,Amanda,OH,197164,0.0,80.0
501,Amanda Park,WA,17380,0.0,80.0
502,Amargosa Valley,NV,63712,0.0,80.0
503,Amarillo,TX,9561816,0.0,80.0
504,Amasa,MI,5808,0.0,80.0
505,Amawalk,NY,53240,0.0,80.0
506,Amazonia,MO,41140,0.0,80.0
507,Amber,OK,37488,0.0,80.0
508,Amberg,WI,37664,0.0,80.0
509,Amberson,PA,8316,0.0,80.0
510,Ambia,IN,21032,0.0,80.0
511,Ambler,AK,11264,0.0,80.0
