City,State,Drive,Carpool,Transit,Walk,OtherTransp,WorkAtHome,MeanCommute
Bartow,GA,82.0,12.0,0.5,0.6,2.7,2.2,21.3
Basehor,KS,81.5,12.5,0.1,1.9,1.4,2.6,22.3
Basile,LA,80.2,12.8,0.2,2.4,2.5,2.0,27.8
Bassett,AR,79.7,14.4,0.1,1.5,2.3,1.9,17.9
Batavia,NY,83.2,8.6,0.4,3.4,1.6,2.9,21.9
Bates,OR,72.8,11.4,0.8,5.5,1.4,8.1,18.2
Batesburg,SC,77.6,12.2,2.0,1.8,1.7,4.8,30.7
Batesville,IN,83.6,7.6,0.3,1.7,2.0,4.9,26.3
Bath,IL,82.3,9.2,0.3,3.3,1.4,3.5,25.6
Bath Springs,TN,87.5,6.3,0.1,1.6,1.0,3.5,26.7
Battle Creek,NE,81.3,10.7,0.3,2.1,2.3,3.4,14.7
Battle Ground,IN,81.8,10.9,0.2,1.9,1.3,4.0,24.1
Battle Mountain,NV,61.1,8.1,3.9,25.0,0.0,2.0,17.0
Bauxite,AR,85.9,9.8,0.2,0.7,0.8,2.7,25.5
Bay City,MI,86.4,8.1,0.8,1.6,0.9,2.3,21.5
Bay City,TX,80.8,13.7,0.7,2.3,0.5,1.9,23.1
Bay Port,MI,81.3,9.2,0.5,3.6,1.1,4.3,20.7
Bayamon,PR,75.2,12.9,4.8,2.0,3.3,1.9,35.6
Bayport,NY,79.3,7.9,6.5,1.6,1.2,3.5,31.4
Beach,ND,71.4,8.3,0.0,9.4,2.1,8.8,12.7
Beach Haven,NJ,82.5,7.5,2.1,1.6,1.6,4.7,30.9
Bealeton,VA,78.8,9.9,1.4,1.6,0.9,7.2,39.8
Bear Creek,NC,76.6,10.8,1.1,1.1,2.6,7.8,28.3
Beattyville,KY,79.8,14.1,0.0,1.1,0.0,5.1,32.5
Beaufort,SC,75.5,11.5,0.5,2.7,2.8,6.9,21.9
Beaumont,KY,83.1,7.9,0.0,1.6,0.5,7.0,22.9
Beaverton,MI,80.9,8.7,1.1,2.8,1.9,4.6,26.3
Beaverton,OR,73.4,10.4,6.3,2.7,1.9,5.3,24.5
Bechtelsville,PA,80.2,9.8,1.7,3.3,1.5,3.6,24.4
Becker,MN,83.0,9.2,1.4,0.7,1.4,4.3,32.3
Bedford,KY,86.3,10.1,0.0,0.3,1.1,2.3,29.6
Bee Branch,AR,83.4,10.3,0.2,1.8,1.1,3.3,27.4
Beeson,WV,84.4,9.3,0.5,2.8,1.1,2.0,21.6
Beeville,TX,81.0,13.2,0.0,2.4,1.5,1.9,23.0
Bejou,MN,79.1,6.5,0.3,4.2,1.5,8.4,21.7
Belden,MS,86.6,9.0,0.1,0.7,1.5,2.1,24.1
Belgium,WI,84.6,6.1,0.5,1.7,1.3,5.7,24.0
Bella Vista,CA,81.9,8.1,0.7,2.1,1.8,5.5,20.0
Bellaire,MI,74.3,14.7,0.6,2.2,1.1,7.0,24.5
Belle Plaine,MN,83.9,7.3,1.8,0.9,1.1,5.0,26.4
Belleview,MO,80.5,10.1,0.1,2.6,1.8,4.9,25.2
Belleville,IL,81.9,7.6,4.3,1.7,1.3,3.2,24.4
Bellevue,NE,86.9,8.2,0.2,0.6,1.0,3.1,20.6
Bellevue,TX,84.2,8.9,0.0,1.8,1.1,4.0,24.8
Bells,TX,78.8,12.1,0.4,1.9,1.2,5.6,25.0
Belmont,NY,74.3,9.1,0.6,11.5,1.5,3.0,21.4
Belpre,OH,85.6,8.0,0.2,2.8,0.8,2.5,22.4
Belvidere,NC,82.6,9.1,0.0,3.0,2.5,2.7,27.7
Bend,OR,79.8,9.0,0.0,3.8,1.4,6.0,21.3
Benicia,CA,76.6,13.7,2.8,1.7,1.5,3.8,30.1
Benkelman,NE,76.6,2.6,0.4,7.5,2.2,10.6,14.0
Bennett,IA,81.7,8.0,0.1,2.5,1.2,6.5,25.1
Bennington,IN,85.6,9.0,0.0,2.8,1.4,1.2,31.2
Bennington,VT,75.9,9.4,0.3,5.8,1.8,6.7,19.1
Benzonia,MI,76.8,13.1,1.8,2.1,1.1,5.2,25.9
Berea,KY,80.65,13.45,0.8999999999999999,0.75,1.1,3.0500000000000003,30.650000000000002
Berkeley Springs,WV,79.7,15.4,0.0,1.6,0.7,2.7,33.1
Berlin Heights,OH,83.4,9.7,0.7,2.8,1.1,2.3,20.9
Bern,ID,71.2,18.1,1.0,3.2,1.3,5.2,20.0
Bernalillo,NM,81.9,8.3,1.2,1.3,1.5,5.7,29.2
Berryton,KS,81.4,12.1,0.1,2.4,0.6,3.4,29.3
Berthoud,CO,79.2,10.9,0.6,2.3,1.8,5.2,26.3
Berwick,LA,81.5,11.0,0.4,2.7,3.0,1.4,21.9
Bessemer,MI,80.8,10.6,0.7,4.0,1.4,2.5,17.5
Bethlehem,GA,79.8,11.5,1.1,1.0,1.3,5.4,32.1
Bethlehem,PA,83.4,7.8,1.7,2.5,1.2,3.4,27.7
Bethune,CO,76.5,11.1,0.7,3.1,1.0,7.6,12.3
Beulah,MS,81.4,12.5,0.2,3.0,0.5,2.3,17.4
Beulah,ND,60.1,12.0,0.0,3.4,3.4,21.1,24.9
Biddeford,ME,79.6,9.8,0.7,2.4,1.4,6.1,27.8
Big Cabin,OK,82.9,10.3,0.1,0.8,0.9,5.0,23.9
Big Pine Key,FL,67.4,9.7,2.2,4.4,10.7,5.6,18.8
Big Rock,TN,83.8,9.1,0.1,1.8,2.3,2.9,34.4
Big Rock,VA,87.8,8.4,0.5,1.3,1.3,0.7,28.9
Big Sandy,MT,61.9,9.4,1.8,8.6,2.5,15.8,16.9
Big Sandy,TN,83.6,12.0,0.1,0.6,1.5,2.3,24.5
Big Spring,TX,81.1,5.8,0.0,2.6,1.2,9.3,21.0
Big Wells,TX,79.3,8.2,0.1,4.5,2.3,5.7,15.8
Bighill,KY,79.1,9.2,0.4,5.9,2.7,2.6,22.1
Biglerville,PA,82.6,8.1,0.4,4.0,1.1,3.7,27.2
Billings,MO,82.3,10.8,0.1,0.7,1.5,4.6,26.3
