City,State,Income,IncomeErr,IncomePerCap,IncomePerCapErr
Big Sandy,MT,38521.0,2648.0,22032.0,1281.0
Big Sandy,TN,33240.0,2655.0,19285.0,1055.0
Big Spring,TX,67303.0,17246.0,35054.0,6846.0
Big Wells,TX,36825.0,5948.0,21174.0,3402.0
Bighill,KY,42390.0,2162.0,21977.0,683.0
Biglerville,PA,60356.0,1250.0,27870.0,537.0
Billings,MO,53270.0,1458.0,24730.0,657.0
Billings,MT,52802.0,1409.0,29576.0,784.0
Billingsley,AL,41627.0,2025.0,21399.0,1446.0
Binford,ND,48355.0,7311.0,29639.0,2956.0
Bingen,WA,48319.0,2715.0,22456.0,1103.0
Bird City,KS,44500.0,6435.0,26626.0,1772.0
Birdsnest,VA,35055.0,2997.0,22490.0,1610.0
Birmingham,AL,45610.0,910.0,27240.0,404.0
Bisbee,ND,56625.0,8213.0,33277.0,3252.0
Bishop,CA,51449.5,6507.0,28643.5,1845.5
Bismarck,AR,40000.0,2603.0,18956.0,1150.0
Bismarck,ND,65254.0,1780.0,34813.0,995.0
Black River,NY,49505.0,1562.0,23659.0,463.0
Black River Falls,WI,50694.0,1587.0,23709.0,519.0
Blacksburg,SC,35389.0,2199.0,19279.0,1161.0
Blacksburg,VA,46663.0,2521.0,25368.0,817.0
Blackstone,VA,36284.0,1965.0,18917.0,1588.0
Blackwell,TX,39784.5,3676.0,24899.5,3709.5
Blanchard,ID,42171.0,2148.0,23981.0,1198.0
Blanchardville,WI,51445.0,1324.0,25258.0,631.0
Blanchester,OH,53796.0,1460.5,26163.5,867.5
Blanco,OK,42576.0,1748.0,23311.0,1046.0
Blanco,TX,55504.0,4992.0,29148.0,2461.0
Bledsoe,TX,39113.0,3514.0,18968.0,2192.0
Bloomery,WV,27995.0,3352.0,18477.0,1107.0
Bloomfield,KY,40976.0,5053.0,19793.0,945.0
Bloomingdale,MI,46008.0,1763.0,22358.0,620.0
Bloomington Springs,TN,35343.0,2002.0,21835.0,1968.0
Blountsville,AL,45813.0,3141.0,20532.0,708.0
Blue Mound,IL,45334.0,2860.0,23263.0,786.0
Blue Mountain,MS,35865.0,2740.0,18889.0,1018.0
Blue Ridge,TX,44071.0,2934.0,20545.0,696.0
Blue River,WI,49067.0,1323.0,22937.0,415.0
Blue Springs,MO,46869.0,583.0,26629.0,351.0
Blue Springs,NE,50010.0,2526.0,26207.0,1086.0
Bluff City,KS,43973.0,5905.0,24640.0,1601.0
Bluff Dale,TX,56100.0,2659.0,30478.0,1514.0
Bluffton,AR,37804.0,2149.0,18288.0,948.0
Bogart,GA,53379.0,2756.0,23504.0,798.0
Bogata,TX,31563.0,3132.0,19482.0,1501.0
Boise,ID,44238.0,6671.0,27276.0,2490.0
Bomont,WV,31325.0,3298.0,16827.0,1235.0
Bond,CO,63628.0,6543.0,31432.0,3233.0
Bonesteel,SD,37540.0,3223.0,24035.0,1578.0
Bonita Springs,FL,57452.0,1354.0,38297.0,939.0
Bonners Ferry,ID,38961.0,4319.0,20795.0,1585.0
Boone,NC,37656.0,1864.0,22314.0,935.0
Boones Mill,VA,46870.0,2784.0,25219.0,917.0
