City,State,Poverty,ChildPoverty
Luquillo,PR,45.8,55.5
Luray,SC,29.0,48.1
Luray,TN,21.7,27.3
Lusk,WY,14.9,19.4
Lutcher,LA,18.0,27.9
Luverne,MN,12.9,17.5
Luverne,ND,8.0,8.0
Lyford,TX,39.0,49.2
Lyle,MN,14.0,18.8
Lynchburg,MO,19.5,28.1
Lynchburg,VA,55.900000000000006,77.5
Lyndhurst,NJ,7.4,9.0
Lyndhurst,VA,9.5,13.6
Lyons,GA,55.400000000000006,77.3
Lyons,NE,9.5,10.1
Lysite,WY,14.2,20.9
Lytton,IA,14.8,21.8
Macksburg,IA,18.2,19.1
Macon,GA,41.0,55.5
Madeline,CA,16.4,23.6
Madison,CT,13.0,19.2
Madison,FL,25.7,33.3
Madison,SD,15.2,25.8
Magnolia,IL,12.0,25.4
Magnolia,KY,37.900000000000006,51.6
Magnolia,TX,18.2,23.3
Maiden,NC,15.5,23.8
Malcom,IA,10.4,9.1
Malvern,OH,15.4,25.5
Mammoth Cave,KY,19.2,16.5
Manakin Sabot,VA,5.7,7.6
Manassa,CO,18.3,19.8
Manassas,VA,17.6,24.1
Manati,PR,46.2,55.3
Mancelona,MI,17.0,20.6
Mancos,CO,10.6,10.2
Manhattan,KS,22.5,11.5
Manitou,OK,23.8,33.4
Mankato,KS,15.5,26.9
Mannboro,VA,11.6,17.4
Manokotak,AK,18.1,24.6
Mansfield,GA,17.1,23.9
Mansfield,MO,25.4,30.5
Mansfield,SD,9.8,8.9
Mansfield Center,CT,7.0,6.6
Manville,RI,17.7,26.2
Many,LA,19.5,28.1
Maple Park,IL,18.7,22.0
Maplewood,WI,10.1,16.0
Marathon,TX,13.5,10.6
Mardela Springs,MD,15.9,20.0
Marengo,IA,8.7,14.5
Marengo,IN,20.7,28.1
Marengo,WI,15.7,22.9
Margaretville,NY,15.3,26.4
Maria Stein,OH,8.4,10.0
Marianna,FL,19.3,21.5
Maricao,PR,64.2,81.6
Marienthal,KS,6.6,5.7
Marienville,PA,14.3,37.5
Marietta,GA,12.4,17.4
Marietta,MN,8.2,8.7
Marietta,MS,21.1,27.4
Marine On Saint Croix,MN,5.4,6.2
Marion,IN,26.6,45.8
Marion,VA,18.7,29.8
Marland,OK,13.3,13.6
Marmaduke,AR,17.8,22.8
Marmarth,ND,10.1,8.3
Marshall,IL,31.9,47.7
Marshall,NC,15.9,22.4
Marshall,OK,11.5,13.7
Marshall,TX,17.2,25.4
Marshallberg,NC,15.0,24.5
Martha,KY,22.7,26.5
Martin,GA,18.9,25.3
Martin,OH,10.7,17.8
Martinsville,VA,23.6,29.1
Marysville,CA,21.9,23.9
Marysville,IN,10.8,14.5
Maryville,IL,13.3,17.5
Mason,IL,10.6,16.1
Mason,TX,11.2,18.8
Mass City,MI,15.5,21.5
Matlock,IA,8.3,11.2
Matthews,NC,10.2,13.2
Mattoon,IL,22.3,25.6
Mauk,GA,21.3,29.1
Maunabo,PR,55.9,68.8
Maxton,NC,31.2,46.9
Maxwell,IN,6.5,8.4
May,OK,14.0,25.1
Mayaguez,PR,50.7,59.3
Mayer,AZ,16.0,23.4
Mayesville,SC,27.7,43.6
Mayo,FL,20.3,23.3
Mayslick,KY,42.1,66.5
Maywood,NE,12.6,19.5
McAlpin,FL,23.9,40.5
McClure,PA,15.8,25.8
McColl,SC,29.0,43.9
McCool,MS,26.2,36.2
McEwen,TN,15.9,22.3
McLeansboro,IL,14.8,16.0
McLouth,KS,7.5,9.3
McMechen,WV,13.0,16.4
McMinnville,TN,28.7,38.3
McNeill,MS,21.5,32.3
Mcarthur,CA,18.8,18.6
Mcdaniel,MD,11.2,16.1
Meadows Of Dan,VA,21.2,34.0
Meally,KY,26.3,33.1
Means,KY,29.9,47.6
Medford,WI,12.5,16.4
Mediapolis,IA,15.2,22.3
Medical Lake,WA,15.9,19.6
Medicine Bow,WY,26.9,21.5
Medicine Lodge,KS,10.9,15.6
Medora,IL,7.3,8.2
Medora,ND,10.3,7.9
Meeker,CO,12.1,14.8
Meherrin,VA,21.0,22.8
Melbourne,AR,21.0,32.5
Melbourne,IA,11.1,16.9
Melrose,IA,25.799999999999997,28.900000000000002
Melvin,IL,13.4,23.6
Melvin,TX,11.1,19.8
Memphis,TN,21.4,33.3
Mena,AR,24.1,40.4
Menard,TX,14.9,21.2
Mendenhall,MS,26.1,38.7
Menno,SD,13.3,15.4
Menomonie,WI,15.1,14.6
Mentone,IN,11.4,15.9
Mentor,MN,10.7,11.9
Meraux,LA,19.3,29.0
Meredosia,IL,14.2,21.2
Meriden,KS,9.1,11.1
Meridian,CA,17.8,24.3
Merrill,WI,10.2,12.4
Merrimack,NH,8.8,11.7
Merry Point,VA,11.3,13.0
Meta,MO,19.2,30.4
Metter,GA,31.8,46.7
Metz,WV,22.1,16.4
Meyers Chuck,AK,11.8,20.4
Miami,FL,20.4,27.7
Miami,MO,17.3,25.7
Miami,NM,19.9,23.1
Miami,OK,19.0,26.2
Miami,TX,1.5,1.4
Michigamme,MI,17.0,17.7
Middleton,MI,18.9,27.1
Middletown,CT,6.7,7.2
Midkiff,TX,19.7,24.0
Midland,IN,13.6,15.7
Midland,NC,12.5,16.8
Midland,TX,8.8,11.0
Midlothian,VA,12.3,12.8
Midvale,ID,18.3,26.7
Midville,GA,31.4,46.4
Midway,TX,20.2,31.3
Midway,UT,10.0,12.3
Mikado,MI,17.7,28.3
Milford,NE,20.6,22.1
Milford,UT,12.5,16.5
Mill Hall,PA,16.4,25.3
Mill Spring,MO,22.5,32.3
Millboro,VA,7.7,3.4
Miller,SD,8.2,11.1
Millersburg,PA,13.6,20.1
Milligan,NE,9.4,11.6
Mills,NE,14.9,39.8
Millstone,NJ,5.0,6.0
Millwood,GA,57.9,83.69999999999999
Milner,GA,22.1,29.2
Milnor,ND,10.8,13.4
Milton,FL,12.3,17.0
Milton,IA,34.2,55.9
Milton,KY,27.9,40.8
Milton,PA,9.9,13.1
Milton,WV,40.9,55.0
Miltonvale,KS,13.5,15.1
Milwaukee,WI,21.5,31.8
Minden,IA,13.0,19.0
Minden,LA,23.6,35.1
Minden,NV,10.6,16.4
Mineral,VA,10.0,12.9
Mineral City,OH,14.0,20.8
Mingo Junction,OH,17.6,27.4
Minnesota Lake,MN,19.1,14.6
Minong,WI,13.1,20.7
Minot,ND,7.5,9.5
Minter,AL,35.0,53.8
Minturn,AR,23.9,31.2
Minturn,CO,9.2,11.9
Mission,SD,46.4,56.0
Mitchell,IN,13.0,18.4
Mitchell,NE,13.7,22.4
Mitchell,OR,19.0,37.0
Moab,UT,46.8,54.6
Moatsville,WV,21.5,30.3
Mobile,AL,19.3,28.1
Moca,PR,54.3,60.6
Modale,IA,9.9,11.9
Model,CO,24.3,38.7
Mohall,ND,7.4,9.0
Molena,GA,12.2,15.9
Moline,IL,14.9,23.9
Monarch,MT,15.3,23.1
Monmouth,OR,16.3,18.9
Monongahela,PA,10.4,14.0
Monroe,AR,32.8,50.1
Monroe,ME,16.4,21.2
Monroe,SD,8.6,10.1
Monroe Center,IL,10.6,13.7
Monterey,IN,16.0,26.1
Monterey,TN,26.0,35.9
Monterville,WV,16.5,33.9
Montezuma,NM,29.7,38.7
Montgomery,AL,22.6,33.4
Montgomery,LA,18.3,22.6
Montgomery,WV,19.9,27.5
Monticello,AR,28.6,37.9
Monticello,FL,15.9,22.7
Monticello,IL,6.2,9.0
Monticello,KY,25.8,36.5
Monticello,NY,17.5,25.6
Monticello,WI,8.9,10.6
Montross,VA,10.5,11.6
Moore Haven,FL,26.4,32.1
Moorefield,KY,23.5,37.3
Moran,TX,19.0,20.7
Moran,WY,7.4,7.1
Morenci,AZ,13.7,17.7
Moreno Valley,CA,16.8,23.3
Morgan,UT,5.4,5.3
Morgantown,KY,29.3,46.0
Morovis,PR,50.3,63.8
Morris,MN,18.4,9.5
Morrison,MO,8.4,8.6
Morrison,TN,18.6,24.8
Morrisville,NY,12.2,17.9
Morrow,LA,23.2,31.9
Mosby,MT,9.2,10.2
Moscow,KS,13.8,21.9
Moscow,PA,14.8,21.8
Mosheim,TN,20.5,32.1
Moss,TN,23.5,26.4
Moss Point,MS,15.4,19.9
Mossyrock,WA,16.3,21.0
Moulton,AL,18.7,24.6
Moultrie,GA,26.8,39.2
Mound City,SD,9.1,9.8
Mound Valley,KS,17.8,23.6
Mounds,OK,20.8,30.4
Mount Airy,NC,19.7,26.8
Mount Ayr,IA,10.6,9.5
Mount Berry,GA,21.3,29.4
Mount Blanchard,OH,11.8,14.0
Mount Carmel,IL,12.5,15.7
Mount Eden,KY,8.4,8.0
Mount Hermon,LA,26.4,32.3
Mount Perry,OH,18.6,28.1
Mount Pleasant,IA,14.5,22.1
Mount Pleasant,MI,30.2,24.8
Mount Pleasant,PA,10.4,15.6
Mount Pleasant,UT,16.1,14.6
Mount Prospect,IL,17.1,25.0
Mount Sterling,KY,26.4,35.2
Mount Sterling,MO,15.9,25.4
Mount Vernon,KY,47.8,65.9
Mount Vernon,SD,12.6,18.3
Mountain Home A F B,ID,16.1,22.5
Mountain View,CA,9.5,10.9
Mountain View,OK,20.8,30.4
Mountville,SC,20.9,35.3
Moweaqua,IL,11.2,14.6
Mt Zion,IL,18.4,28.4
Muenster,TX,13.9,22.0
Mullen,NE,18.9,29.9
Mullica Hill,NJ,8.1,10.1
Muncie,IN,22.0,26.0
Muncy Valley,PA,13.0,19.6
Mundelein,IL,9.6,13.9
Munford,AL,23.0,37.1
Murchison,TX,16.9,26.1
Murdo,SD,11.4,1.8
Murphysboro,IL,30.5,32.3
Murrayville,GA,19.0,34.4
Murrayville,IL,14.3,18.5
Muscoda,WI,15.0,19.4
Nahunta,GA,21.0,24.7
Nancy,KY,27.0,37.0
Nantucket,MA,11.6,18.0
Naranjito,PR,49.4,56.5
Nardin,OK,18.3,25.9
Narrows,VA,10.8,13.8
Nashville,TN,18.2,29.7
Natchez,MS,30.1,51.5
Natchitoches,LA,29.2,37.3
Naylor,MO,22.8,33.1
Nekoma,KS,9.4,4.7
Nelson,WI,11.4,13.0
Neopit,WI,35.2,53.0
Neosho,MO,21.7,30.4
Neshkoro,WI,10.3,12.8
Nevada,MO,18.8,30.5
Nevis,MN,11.6,17.1
New Athens,IL,5.0,8.5
New Bern,NC,21.5,41.5
New Bloomington,OH,18.8,28.6
New Boston,IL,9.4,13.1
New Boston,TX,19.1,27.4
New Brighton,PA,11.9,19.0
New Columbia,PA,12.8,17.8
New Cumberland,WV,16.2,29.2
New Ellenton,SC,18.1,30.3
New Germany,MN,4.4,4.4
New Harmony,UT,21.0,22.9
New Holland,PA,10.7,15.6
New Iberia,LA,19.6,30.4
New Leipzig,ND,9.6,16.5
New London,CT,9.9,14.8
New London,MO,12.4,15.2
New Market,IA,14.1,17.7
New Market,TN,16.5,23.0
New Orleans,LA,43.8,68.0
New Richland,MN,19.1,25.700000000000003
New Rockford,ND,13.7,17.4
New Salisbury,IN,13.9,16.3
New Vienna,OH,20.2,29.4
New York,NY,17.9,24.6
Newark,DE,11.4,15.4
Newark,MO,20.9,30.7
Newark,NJ,17.3,24.4
Newark,NY,12.7,18.5
Newaygo,MI,18.2,26.3
Newberg,OR,16.6,24.3
Newberry,MI,19.5,36.1
Newburgh,IN,9.9,17.2
Newbury,VT,12.4,19.3
Newcastle,TX,13.1,21.2
Newell,IA,12.6,17.3
Newport,MI,11.3,16.4
Newport,RI,10.1,12.0
Newport,VA,11.3,8.2
Newport News,VA,15.7,24.1
Newton,WI,10.0,15.0
Newtown,PA,6.0,7.2
Nezperce,ID,17.4,22.1
Niagara,ND,8.4,6.7
Niagara,WI,12.9,17.6
Niagara University,NY,13.7,19.9
Nicholasville,KY,19.1,28.3
Nicollet,MN,12.4,10.8
Nineveh,IN,12.6,21.2
Niota,IL,11.7,18.5
Noatak,AK,23.8,30.2
Noblesville,IN,21.8,30.6
Nodaway,IA,16.8,27.3
Nolensville,TN,5.1,6.2
Noma,FL,27.8,40.3
Norcatur,KS,8.5,9.3
Nordland,WA,12.0,17.0
Norfolk,VA,21.0,30.3
Normal,IL,14.4,11.5
Norman,OK,23.6,26.4
Normandy,TN,17.1,24.1
Norphlet,AR,20.4,31.8
Norris,SD,45.3,72.3
North Augusta,SC,16.4,22.3
North Beach,MD,5.8,6.3
North Carrollton,MS,20.6,30.8
North East,PA,16.7,24.7
North Fairfield,OH,13.5,19.8
North Hero,VT,8.6,11.4
North Java,NY,11.8,17.1
North Little Rock,AR,17.6,26.0
North Platte,NE,14.8,20.7
North Sioux City,SD,5.3,3.7
North Washington,IA,8.8,11.5
Northway,AK,14.5,21.1
Northwood,ND,7.3,9.2
Norton,VA,24.0,36.4
Norwalk,IA,6.8,9.4
Norway,SC,23.5,34.9
Nottawa,MI,17.2,26.7
Nowata,OK,9.4,12.9
Oak,NE,11.8,14.2
Oak Grove,KY,19.9,26.1
Oak Grove,LA,25.8,44.4
Oak Vale,MS,22.0,32.4
Oakhurst,CA,23.5,33.6
Oakland,MS,20.3,22.7
Oakley,ID,16.0,21.2
Oakman,GA,20.4,30.0
Oaktown,IN,15.9,23.5
Oakwood,OK,16.6,22.7
Oberlin,OH,14.4,22.7
Ochlocknee,GA,30.7,48.8
Odem,TX,15.3,21.2
Odessa,TX,13.0,17.1
Odonnell,TX,1.4,0.0
Ogallala,NE,11.6,18.8
Ogden,UT,13.0,16.8
Ogdensburg,WI,10.4,16.0
Okeechobee,FL,27.7,41.5
Oktaha,OK,22.2,32.0
Old Glory,TX,19.5,30.7
Oldenburg,IN,10.6,11.7
Oldham,SD,10.4,17.4
Olla,LA,21.6,29.8
Olpe,KS,21.5,25.2
Omaha,GA,38.4,61.6
Omaha,NE,14.6,20.3
Omaha,TX,21.4,31.6
Onawa,IA,13.9,22.7
Oneida,KY,28.5,32.2
Oneida,TN,27.3,37.5
Opelika,AL,21.0,30.1
Oquawka,IL,9.9,19.7
Orange,TX,15.5,20.2
Orange Grove,TX,22.3,31.6
Orangeville,OH,17.3,29.9
Ordway,CO,16.6,16.3
Ore City,TX,13.5,19.0
Orient,SD,16.4,3.2
Orleans,IN,17.6,27.7
Orleans,NE,13.2,26.7
Orleans,VT,15.5,20.6
Orma,WV,17.7,20.7
Orocovis,PR,110.7,133.0
Oronoco,MN,9.0,10.8
Ortley,SD,22.1,37.7
Osceola,MO,19.1,28.1
Oshkosh,WI,12.0,15.3
Osnabrock,ND,4.8,2.2
Osseo,WI,15.3,14.6
Ossipee,NH,9.5,11.2
Otley,IA,9.6,11.1
Oto,IA,14.6,19.4
Otsego,MI,12.7,17.1
Otter Rock,OR,16.9,24.3
Otterbein,IN,22.799999999999997,29.900000000000002
Otterville,MO,14.7,22.1
Otwell,IN,10.0,17.5
Ouzinkie,AK,11.3,12.7
Overbrook,OK,13.5,20.3
Ovett,MS,18.9,22.5
Owasso,OK,15.7,23.5
Owenton,KY,16.8,23.0
Owyhee,NV,11.0,15.5
Oxford,GA,13.9,21.1
Oxford,NC,16.3,21.1
Ozona,TX,17.5,30.4
Pachuta,MS,23.9,34.5
Paducah,KY,16.8,26.6
Paducah,TX,29.799999999999997,49.6
Pageland,SC,26.2,36.0
Pagosa Springs,CO,8.0,12.9
Paicines,CA,10.8,14.8
Paige,TX,14.3,20.6
Painesville,OH,8.9,11.9
Palco,KS,11.2,17.3
Palestine,TX,18.5,27.0
Palisade,MN,12.4,13.7
Palmer,NE,10.4,12.9
Palmer,PR,39.1,47.0
Palmersville,TN,19.1,22.6
Palmyra,TN,15.8,22.6
Palo Alto,CA,8.0,10.2
Pampa,TX,13.3,17.2
Panna Maria,TX,25.4,44.1
Pantego,NC,18.4,25.9
Panther Burn,MS,29.3,33.9
Paradise Valley,NV,10.5,12.1
Paragon,IN,12.1,18.9
Paragould,AR,20.2,29.6
Paris,AR,19.3,27.4
Paris,MI,23.1,31.2
Paris,VA,11.1,17.0
Parish,NY,18.6,28.0
Parker,SD,9.4,11.0
Parkersburg,WV,17.4,25.7
Parkesburg,PA,7.1,8.6
Parkman,WY,8.3,10.5
Parksville,KY,16.1,19.4
Parma,MI,17.0,27.6
Parma,MO,22.8,35.9
Pateros,WA,21.2,29.4
Patillas,PR,59.1,73.8
Patoka,IN,11.2,13.8
Patterson,GA,20.9,25.2
Pattison,MS,42.0,54.3
Paul,ID,16.4,22.1
Paulding,OH,12.8,16.4
Pawhuska,OK,15.8,24.1
Pawling,NY,9.3,11.8
Pawnee Rock,KS,23.7,27.400000000000002
Paxico,KS,5.9,5.5
Payette,ID,18.7,24.1
Pearcy,AR,20.9,31.4
Pearson,GA,35.0,44.6
Pease,MN,12.2,15.7
Pecan Gap,TX,22.8,39.5
Peck,MI,15.7,23.3
Pecos,TX,16.8,24.5
Peebles,OH,23.1,33.2
Pelham,AL,8.3,10.4
Pellston,MI,10.8,14.0
Pemberville,OH,14.3,21.9
Pendleton,KY,6.0,8.4
Penfield,PA,15.0,22.9
Penns Grove,NJ,13.5,23.3
Penrose,NC,12.6,21.7
Pensacola,FL,15.8,25.5
Penuelas,PR,116.2,132.9
Peoa,UT,7.8,9.6
Pequot Lakes,MN,11.3,14.4
Peralta,NM,23.7,32.5
Perkinston,MS,18.4,24.9
Perry,AR,16.0,25.6
Perry,FL,14.7,13.6
Peru,KS,16.8,27.7
Peterman,AL,33.8,41.5
Petersburg,AK,10.2,9.3
Petersburg,IL,11.3,18.9
Petersburg,VA,28.0,46.4
Petrolia,PA,9.1,10.7
Pfafftown,NC,19.6,30.7
Philadelphia,MS,24.0,33.5
Philadelphia,PA,26.4,37.2
Phillips,WI,13.7,19.0
Phillipsburg,KS,9.2,14.9
Phoenix,AZ,17.0,24.4
Pickens,MS,13.5,18.2
Piedmont,MO,21.2,30.7
Pierre Part,LA,16.0,24.7
Pine,AZ,22.7,38.5
Pine Brook,NJ,4.5,4.7
Pine Grove,CA,12.8,22.5
Pine Island,MN,6.7,9.3
Pine Mountain,GA,21.4,31.1
Pinetop,AZ,30.6,40.4
Pineville,KY,38.0,51.6
Pineville,WV,21.8,30.6
Pippa Passes,KY,28.1,41.1
Piqua,KS,22.8,36.8
Pisek,ND,10.4,12.0
Pismo Beach,CA,14.8,15.1
Pitkin,LA,35.5,48.099999999999994
Pitts,GA,29.2,39.7
Pittsburg,KS,17.0,26.2
Placerville,CA,10.4,13.3
Plain City,OH,8.7,11.1
Plainview,MN,7.3,10.1
Plainville,KS,14.4,21.9
Plano,IL,5.5,7.2
Plattsburg,MO,9.3,11.7
Plattsburgh,NY,16.5,22.1
Pleasanton,TX,10.7,13.8
Pleasantville,OH,10.3,13.9
Pleasureville,KY,18.3,29.3
Plum Branch,SC,19.5,36.6
Plum City,WI,12.1,11.4
Pocatello,ID,32.3,41.7
Point Baker,AK,14.6,20.2
Point Comfort,TX,19.3,30.4
Polk,OH,14.9,25.0
Polkton,NC,24.2,35.2
Pollock,ID,16.0,19.8
Polo,MO,13.4,16.4
Pomeroy,WA,11.5,16.9
Pomona Park,FL,9.5,10.6
Ponce,PR,51.8,68.1
Pond Creek,OK,9.8,13.1
Poplar Bluff,MO,21.3,31.1
Poplar Grove,AR,34.1,52.4
Poplarville,MS,21.6,27.2
Poquoson,VA,4.2,4.6
Port Charlotte,FL,12.2,19.0
Port Huron,MI,14.6,20.5
Port Murray,NJ,8.0,11.9
Port Saint Joe,FL,15.2,22.6
Portales,NM,26.3,37.0
Porter,MN,26.0,36.1
Portis,KS,15.4,27.4
Portland,IN,16.3,22.6
Portland,OR,18.1,23.6
Portola,CA,14.5,17.7
Portsmouth,VA,18.2,30.0
Post,TX,10.4,14.3
Postville,IA,11.1,15.4
Poteau,OK,22.8,28.9
Poulan,GA,21.2,30.2
Powder River,WY,10.7,14.2
Powder Springs,GA,12.6,17.2
Powderly,TX,18.6,27.6
Powellsville,NC,22.3,37.0
Powers Lake,ND,13.6,16.9
Powhattan,KS,16.4,25.5
Prairie,MS,26.6,41.2
Prairie Du Sac,WI,21.1,31.1
Prescott,WA,17.6,21.9
Presidio,TX,21.7,32.6
Preston,GA,22.5,33.1
Preston,MS,60.0,93.6
Primghar,IA,7.3,9.1
Prince George,VA,10.0,13.6
Princeton,IL,12.5,20.6
Princeton,MO,16.0,22.1
Prosser,WA,21.3,30.4
Providence,KY,17.6,27.4
Prudenville,MI,20.6,33.4
Prudhoe Bay,AK,10.2,14.7
Puerto Real,PR,45.4,62.9
Pukwana,SD,35.0,41.1
Pulaski,TN,16.4,20.4
Punta Santiago,PR,44.9,58.3
Puryear,TN,18.5,27.4
Pyote,TX,16.5,21.9
Quakertown,PA,13.1,20.7
Quebradillas,PR,55.5,67.2
Quenemo,KS,13.1,19.6
Quincy,FL,27.1,43.4
Quincy,KY,30.8,42.7
Quitman,AR,14.5,22.1
Racine,WI,12.5,18.4
Radford,VA,39.0,15.0
Rainbow,TX,13.9,18.1
Raleigh,IL,23.0,35.4
Ralls,TX,22.9,33.9
Ralston,IA,10.1,11.3
Ralston,WY,7.2,9.6
Ranburne,AL,17.0,26.3
Randolph,NE,16.2,18.8
Randolph,UT,14.6,20.1
Rapid City,SD,23.5,32.4
Raquette Lake,NY,12.9,13.6
Ratliff City,OK,15.3,20.8
Ravenden,AR,21.1,29.8
Ravenna,KY,28.1,32.2
Ray City,GA,26.6,32.9
Rayville,LA,20.9,30.9
Raywick,KY,20.3,27.0
Red Boiling Springs,TN,18.9,22.2
Red Bud,IL,12.9,16.5
Red Cloud,NE,12.8,17.4
Red Springs,NC,53.8,75.7
Red Valley,AZ,36.6,45.0
Redmond,OR,14.6,18.8
Redvale,CO,11.2,10.7
Redwood Falls,MN,11.8,17.2
Reed Point,MT,12.7,18.7
Reedy,WV,22.1,28.8
Reelsville,IN,14.5,18.1
Refugio,TX,16.9,25.4
Regent,ND,8.8,12.7
Register,GA,32.9,32.4
Reinbeck,IA,6.2,6.4
Reliance,TN,18.9,28.5
Rembert,SC,18.0,26.4
Remsen,IA,7.8,10.3
Renick,MO,19.1,24.7
Reno,NV,15.2,20.2
Rensselaer,IN,8.4,9.7
Resaca,GA,20.0,24.1
Reserve,MT,10.5,11.8
Rice,TX,20.7,31.5
Riceboro,GA,21.3,35.9
Richards,TX,19.8,28.0
Richburg,SC,27.0,41.9
Richey,MT,13.6,27.4
Richfield,KS,18.2,28.2
Richfield Springs,NY,16.5,19.5
Richmond,VA,36.2,56.2
Richton,MS,22.7,35.8
Richview,IL,12.9,16.9
Ridgeville,SC,22.3,31.6
Ridgeway,NC,24.1,35.5
Ridgway,CO,7.8,7.8
Ridgway,PA,8.8,12.6
Rifle,CO,17.4,21.9
Rincon,GA,10.6,14.4
Rincon,PR,97.9,128.8
Ringgold,LA,22.3,23.8
Ringling,MT,14.1,14.5
Ripon,CA,18.6,25.2
Rising City,NE,8.5,10.6
Rising Sun,MD,10.1,14.3
Riverside,RI,7.4,6.3
Rivervale,AR,22.8,35.9
Riviera,TX,26.1,31.0
Roanoke,IN,12.0,16.4
Roanoke,VA,40.7,55.9
Roaring Spring,PA,15.0,22.3
Roaring Springs,TX,16.9,15.3
Robersonville,NC,21.3,29.9
Roberts,MT,11.2,17.5
Roberts,WI,6.5,7.6
Robins,IA,9.8,10.9
Robinson,IL,12.7,17.8
Robstown,TX,18.0,26.4
Rochelle,GA,23.1,28.4
Rocheport,MO,16.7,24.8
Rochester,NH,11.1,12.9
Rochester,WA,12.4,16.4
Rock Island,TN,18.0,29.6
Rockford,IA,12.4,18.2
Rockford,IL,10.9,14.9
Rockford,MN,6.2,7.1
Rockville,MD,6.7,8.5
Rockwood,TN,18.4,27.9
Rogers,AR,32.7,45.4
Rogerson,ID,27.6,38.0
Rolla,KS,10.8,12.9
Rolling Fork,MS,40.3,63.7
Roma,TX,36.6,45.1
Rome City,IN,12.2,18.3
Romney,IN,22.2,21.4
Roopville,GA,20.7,27.7
Roper,NC,21.8,32.7
Roscommon,MI,15.2,19.9
Roseau,MN,10.7,16.8
Roseboro,NC,27.4,41.8
Roseglen,ND,11.6,17.1
Roseville,OH,21.4,31.2
Rossburg,OH,13.3,19.7
Rosston,AR,28.1,46.1
Rossville,IN,10.8,12.6
Rotan,TX,17.5,19.0
Rowlett,TX,6.3,7.5
Roxie,MS,18.9,24.4
Rufus,OR,21.6,28.7
Rugby,ND,29.4,47.1
Rumely,MI,14.3,16.1
Runnemede,NJ,13.2,19.9
Rupert,GA,28.7,42.3
Russell,IA,13.1,16.2
Russell,KS,12.9,18.9
Russell Springs,KY,25.5,34.3
Russellville,AR,20.0,26.3
Russellville,IN,10.2,15.7
Russellville,KY,19.3,27.4
Russellville,OH,14.9,20.6
Russellville,TN,21.3,30.7
Ruston,LA,58.6,70.1
Ruth,MS,29.1,41.2
Rutherfordton,NC,13.9,25.3
Ruthville,VA,13.2,23.2
Rutledge,MO,15.6,19.6
Rutledge,TN,20.6,26.5
Sabana Grande,PR,47.1,42.2
Sacramento,KY,21.1,37.4
Sacred Heart,MN,11.1,17.7
Sadieville,KY,33.2,43.0
Safford,AL,36.4,53.9
Safford,AZ,22.6,29.1
Saginaw,MI,18.3,26.8
Saint Ansgar,IA,9.6,12.6
Saint Bonifacius,MN,12.5,16.8
Saint Clair,MO,11.9,16.4
Saint Clair Shores,MI,12.6,18.9
Saint Hilaire,MN,9.3,10.8
Saint John,ND,35.5,48.9
Saint Louis,MO,38.0,57.9
Saint Marks,FL,14.9,20.6
Saint Mary,MO,9.6,13.9
Saint Marys,GA,12.8,17.9
Saint Marys,KS,8.9,8.5
Saint Onge,SD,13.1,13.4
Saint Paris,OH,12.4,20.6
Saint Paul,MN,16.5,24.3
Saint Petersburg,FL,14.4,21.9
Saint Simons Island,GA,18.7,28.2
Saint Vincent,MN,10.9,17.1
Salem,MO,47.5,68.6
Salem,OR,18.4,27.5
Salem,VA,8.2,11.6
Salemburg,NC,25.5,35.6
Salina,OK,20.4,33.6
Salinas,CA,17.0,25.1
Salinas,PR,50.1,57.2
Salisbury,NC,18.1,27.8
Salt Lake City,UT,12.4,16.2
Saltillo,TN,23.3,31.7
Saluda,VA,7.4,8.4
Salvisa,KY,10.3,13.7
Salyersville,KY,28.6,39.9
San Acacia,NM,25.1,32.5
San Angelo,TX,11.6,19.9
San Augustine,TX,24.8,40.3
San Bernardino,CA,19.5,27.1
San Francisco,CA,13.2,12.7
San German,PR,102.1,131.8
San Juan,PR,91.19999999999999,128.6
San Juan,TX,34.2,45.9
San Lorenzo,PR,48.4,56.5
San Rafael,CA,8.3,10.3
San Sebastian,PR,56.5,61.8
San Ygnacio,TX,37.4,51.6
Sand Lake,MI,18.2,27.2
Sanders,MT,21.9,31.5
Sanderson,FL,18.1,22.1
Sandy Hook,MS,57.099999999999994,84.2
Sandy Ridge,NC,17.0,23.4
Sanford,NC,36.400000000000006,50.3
Santa Barbara,CA,16.3,21.2
Santa Fe,NM,15.6,23.0
Santa Rosa,CA,11.7,14.6
Santa Teresa,NM,28.2,40.7
Sarahsville,OH,12.7,25.5
Sarasota,FL,11.0,16.9
Sardis,OH,19.4,34.7
Satanta,KS,10.3,9.8
Saucier,MS,17.9,23.2
Sauk Rapids,MN,14.9,18.7
Saulsbury,TN,24.8,34.1
Savage,MT,11.4,20.0
Savannah,GA,19.1,29.7
Savonburg,KS,18.0,22.5
Sawyer,OK,28.8,39.9
Saxe,VA,21.3,31.2
Scandia,KS,12.8,21.0
Schellsburg,PA,13.8,19.8
Schlater,MS,41.9,57.3
Scobey,MT,5.8,3.9
Scottown,OH,20.9,28.1
Scotts Hill,TN,21.5,33.4
Scottsville,KY,17.2,21.8
Scottsville,NY,15.2,23.0
Scottsville,VA,19.1,31.3
Seal Beach,CA,12.8,17.6
Seattle,WA,11.2,13.7
Sebasco Estates,ME,12.1,19.9
Secor,IL,8.2,13.1
Sedalia,KY,17.3,23.1
