City,State,Poverty,ChildPoverty
Byhalia,MS,9.8,12.6
Byrdstown,TN,16.1,24.5
Byron,GA,39.099999999999994,57.900000000000006
Cabins,WV,15.4,19.8
Cadiz,KY,17.8,32.3
Caguas,PR,38.0,50.9
Cairo,IL,34.2,58.4
Cairo,NE,15.3,21.9
Caldwell,OH,19.9,33.7
Caledonia,NY,14.8,18.8
Calhoun,KY,15.6,22.9
Calhoun,MO,19.3,30.7
Calhoun City,MS,25.9,38.9
Caliente,NV,13.1,20.1
Call,TX,12.9,17.1
Calumet,MI,21.4,18.0
Calvin,WV,18.1,24.7
Camarillo,CA,11.1,16.1
Cambria,WI,12.2,20.3
Cambridge,KS,17.6,23.0
Cambridge,NE,5.7,9.3
Cambridge,NY,13.5,20.0
Camden,AR,24.1,38.7
Camden,IL,19.3,15.4
Camden,MO,15.9,25.8
Cameron,MO,15.0,26.5
Camilla,GA,28.7,40.5
Camp Douglas,WI,14.3,19.8
Camp Hill,PA,8.8,12.2
Campbellsburg,IN,15.2,22.7
Campbelltown,PA,11.3,17.3
Campton,KY,32.0,35.6
Campton,NH,11.6,15.5
Camuy,PR,48.6,63.8
Canandaigua,NY,10.4,13.5
Candor,NC,50.8,77.5
Cannelburg,IN,13.2,17.5
Cannon Beach,OR,15.8,22.3
Canovanas,PR,43.8,55.4
Canton,MO,12.8,16.8
Canton,OH,14.7,22.1
Canton,OK,16.1,22.8
Cantwell,AK,12.7,5.6
Cape Coral,FL,16.1,26.9
Carey,ID,10.4,20.4
Carlyle,IL,8.9,11.4
Carmel,NY,5.3,4.8
Carolina,PR,30.5,45.3
Carpenter,IA,12.0,12.8
Carpenter,SD,12.5,17.7
Carrabelle,FL,20.3,29.9
Carrington,ND,9.6,12.3
Carrollton,VA,11.7,19.7
Carson,MS,34.3,47.9
Carson,ND,14.9,15.6
Carson City,NV,16.8,25.5
Cartersville,GA,15.8,21.5
Cartersville,VA,20.5,38.0
Carthage,AR,15.5,20.9
Carthage,MS,26.0,36.7
Carthage,NC,15.2,25.9
Carthage,NY,12.1,17.2
Cartwright,ND,13.7,20.4
Cascade Locks,OR,14.3,23.5
Casco,WI,8.9,13.3
Cassatt,SC,16.8,23.5
Castalia,NC,15.8,19.9
Castell,TX,14.3,21.4
Castleford,ID,15.8,20.1
Cataldo,ID,13.0,16.5
Cataula,GA,9.3,12.0
Catoosa,OK,10.9,14.7
Cave City,AR,21.8,32.0
Cayce,SC,14.2,20.8
Cayey,PR,41.5,49.8
Cayuga,IN,12.9,14.4
Cecil,GA,25.1,30.4
Cedar Bluff,VA,20.7,26.4
Cedar Falls,NC,17.6,27.5
Cedar Valley,UT,13.2,12.0
Ceiba,PR,43.3,57.8
Centenary,SC,27.8,42.9
Center,NE,13.5,21.4
Center,TX,21.8,34.4
Center Harbor,NH,10.5,18.2
Centerview,MO,17.0,16.9
Centerville,KS,13.2,10.6
Centerville,PA,14.7,22.1
Centerville,TN,20.9,29.6
Central,SC,20.0,20.0
Central Bridge,NY,12.9,18.5
Central City,CO,7.4,3.5
Centralia,IL,18.6,31.0
Centreville,VA,6.0,7.6
Ceres,CA,20.3,28.2
Ceresco,NE,9.7,16.4
Chadwick,IL,12.6,19.9
Challis,ID,19.2,18.0
Chamberlain,SD,15.4,21.1
Chambers,NE,7.2,9.3
Chapel Hill,NC,15.8,13.9
Chapin,SC,17.1,22.4
Chapmansboro,TN,13.8,18.7
Chapmanville,WV,19.7,23.8
Chappell,NE,12.9,27.2
Charleston,SC,17.2,25.7
Charleston,TN,19.6,29.0
Charleston,WV,15.8,24.8
Charlo,MT,22.6,32.8
Charlottesville,VA,25.8,20.7
Chase,LA,30.7,47.7
Chateaugay,NY,20.3,29.9
Chatfield,MN,14.7,11.9
Cherokee,AL,39.9,64.9
Cherokee,NC,24.5,45.3
Cherokee,TX,15.2,23.8
Cherryvale,KS,18.6,30.7
Chesapeake,VA,9.7,14.6
Chester,IA,11.7,14.0
Chester,PA,10.6,14.6
Chester,TX,17.4,26.8
Chester Gap,VA,9.8,11.3
Chesterland,OH,7.5,11.9
Cheyenne,WY,10.1,13.8
Cheyenne Wells,CO,8.6,4.7
Chicopee,MA,17.5,27.2
Chicora,PA,13.0,20.0
Chiefland,FL,22.0,36.7
Chili,WI,16.2,24.2
Chillicothe,MO,16.6,23.0
Chillicothe,TX,14.8,17.4
Chilton,WI,7.0,10.7
Christiana,TN,12.4,14.8
Christmas Valley,OR,18.6,20.1
Church Hill,TN,19.1,29.0
Ciales,PR,59.5,69.7
Cibolo,TX,9.8,13.7
Cidra,PR,39.2,47.6
Cincinnati,OH,18.3,26.8
Cincinnatus,NY,14.7,15.3
Cisco,TX,18.2,19.9
Claremont,IL,15.1,21.2
Claremont,SD,15.1,16.3
Clarence,MO,18.4,30.7
Clarence,PA,19.3,12.8
Clarendon,TX,17.7,32.6
Clark,SD,15.9,24.3
Clarks Mills,PA,13.5,22.4
Clarksdale,MO,9.0,6.9
Clarkson,NE,11.6,13.9
Clarkston,WA,15.2,20.2
Clay City,IL,13.8,23.1
Clayton,GA,40.2,62.5
Clayton,IN,5.0,5.5
