City,State,Employed,Unemployment
Burlington Junction,MO,11209,7.2
Burns,TN,21847,7.5
Burnsville,MS,7885,10.5
Burton,WV,5548,8.1
Burwell,NE,1062,2.4
Bushnell,NE,1658,5.1
Bussey,IA,17020,4.0
Butte,MT,16497,7.0
Butte,NE,964,1.1
Butternut,WI,2560,7.0
Byhalia,MS,82634,7.6
Byrdstown,TN,2166,4.9
Byron,GA,75494,21.0
Cabins,WV,4974,6.7
Cadiz,KY,5584,8.4
Caguas,PR,48083,15.9
Cairo,IL,2400,13.9
Cairo,NE,31168,6.0
Caldwell,OH,16310,11.7
Caledonia,NY,30099,5.4
Calhoun,KY,43941,6.8
Calhoun,MO,9359,7.4
Calhoun City,MS,5580,10.1
Caliente,NV,1714,11.8
Call,TX,4911,12.1
Calumet,MI,15440,7.2
Calvin,WV,9824,8.4
Camarillo,CA,398116,8.6
Cambria,WI,9016,5.7
Cambridge,KS,15686,7.0
Cambridge,NE,1091,5.1
Cambridge,NY,28744,9.5
Camden,AR,10415,8.3
Camden,IL,3062,5.3
Camden,MO,10147,8.2
Cameron,MO,4285,6.8
Camilla,GA,7956,13.5
Camp Douglas,WI,11520,7.1
Camp Hill,PA,121280,5.6
Campbellsburg,IN,11783,10.1
Campbelltown,PA,65090,6.9
Campton,KY,1694,12.2
Campton,NH,45198,5.0
Camuy,PR,8899,21.4
Canandaigua,NY,53394,6.4
Candor,NC,27245,24.3
Cannelburg,IN,14319,5.4
Cannon Beach,OR,16843,7.6
Canovanas,PR,14797,22.6
Canton,MO,4918,5.6
Canton,OH,174941,8.5
Canton,OK,3270,3.0
Cantwell,AK,1210,2.3
Cape Coral,FL,263079,10.1
Carey,ID,11941,4.1
Carlyle,IL,19250,4.9
Carmel,NY,51412,6.8
Carolina,PR,63979,14.5
Carpenter,IA,3800,4.7
Carpenter,SD,3266,1.1
Carrabelle,FL,4331,9.4
Carrington,ND,1786,1.3
Carrollton,VA,17246,8.3
Carson,MS,4094,12.9
Carson,ND,1205,3.4
Carson City,NV,23603,11.3
Cartersville,GA,44594,8.8
Cartersville,VA,4567,10.1
Carthage,AR,3031,8.3
Carthage,MS,6643,12.6
Carthage,NC,36422,8.0
Carthage,NY,11966,8.3
Cartwright,ND,4766,3.0
Cascade Locks,OR,11251,5.1
Casco,WI,10404,4.7
Cassatt,SC,26360,10.5
Castalia,NC,26738,9.9
Castell,TX,2018,6.8
Castleford,ID,36316,5.9
Cataldo,ID,65216,7.9
Cataula,GA,15071,8.0
Catoosa,OK,34531,6.0
Cave City,AR,15303,6.9
Cayce,SC,132105,7.5
Cayey,PR,15825,12.8
Cayuga,IN,6686,6.5
Cecil,GA,7043,6.6
Cedar Bluff,VA,10211,8.0
Cedar Falls,NC,63160,9.0
Cedar Valley,UT,241085,5.5
Ceiba,PR,3738,12.2
Centenary,SC,11875,13.9
Center,NE,4277,3.3
Center,TX,10162,7.9
Center Harbor,NH,30396,5.3
Centerview,MO,23900,8.0
Centerville,KS,3987,8.3
Centerville,PA,37783,7.2
Centerville,TN,9388,8.6
Central,SC,50816,9.2
Central Bridge,NY,14179,10.5
Central City,CO,3159,4.9
Centralia,IL,17066,9.6
Centreville,VA,603966,4.9
Ceres,CA,208428,15.2
Ceresco,NE,10624,3.5
Chadwick,IL,6866,8.1
Challis,ID,1784,3.3
Chamberlain,SD,2583,2.6
Chambers,NE,494,2.9
Chapel Hill,NC,70264,6.4
Chapin,SC,184364,9.4
Chapmansboro,TN,18572,7.8
Chapmanville,WV,11765,10.9
Chappell,NE,1023,4.3
Charleston,SC,183111,7.7
Charleston,TN,43685,11.2
Charleston,WV,84406,7.0
Charlo,MT,11798,9.9
Charlottesville,VA,23605,4.3
Chase,LA,7062,11.5
Chateaugay,NY,20094,8.8
Chatfield,MN,28307,6.2
Cherokee,AL,33539,18.8
Cherokee,NC,5543,7.7
Cherokee,TX,2329,4.9
Cherryvale,KS,4052,6.5
Chesapeake,VA,105953,7.5
Chester,IA,4666,3.4
Chester,PA,269220,8.2
Chester,TX,16267,10.0
Chester Gap,VA,18689,7.2
Chesterland,OH,46540,4.1
Cheyenne,WY,46206,5.0
Cheyenne Wells,CO,932,9.3
Chicopee,MA,212742,10.0
Chicora,PA,29897,8.5
Chiefland,FL,14392,11.1
Chili,WI,15579,4.8
Chillicothe,MO,6641,5.1
Chillicothe,TX,1671,5.9
Chilton,WI,26679,3.1
Christiana,TN,141737,6.8
Christmas Valley,OR,3037,10.6
Church Hill,TN,21893,10.0
Ciales,PR,3472,17.7
Cibolo,TX,66822,5.7
Cidra,PR,15006,13.7
Cincinnati,OH,383555,8.8
Cincinnatus,NY,24080,6.1
Cisco,TX,6803,4.4
Claremont,IL,7317,5.4
Claremont,SD,2394,0.7
Clarence,MO,2888,5.8
Clarence,PA,75314,5.1
Clarendon,TX,1411,3.9
Clark,SD,1826,2.8
Clarks Mills,PA,50055,6.8
Clarksdale,MO,8583,5.0
Clarkson,NE,3151,2.6
Clarkston,WA,9439,9.6
Clay City,IL,6270,6.7
Clayton,GA,9958,17.3
Clayton,IN,76792,5.3
Clayton,NM,205,6.0
Clayton,OK,4074,10.6
Cle Elum,WA,19811,7.8
Clearbrook,MN,3634,7.4
Cleveland,GA,14185,8.2
Cleveland,NY,103944,7.4
Cleveland,OH,576603,10.6
Cleveland,TX,27767,11.5
Clifford,VA,14663,6.6
Clifton,KS,4169,1.9
Clifton,TX,7165,7.9
Clifton Forge,VA,6539,5.1
Clinton,KY,1742,8.8
Clio,AL,8597,17.6
Cloquet,MN,16478,5.4
Clover,SC,112791,8.9
Cloverdale,OR,9747,7.8
Cluster Springs,VA,14234,7.5
Coahoma,TX,13924,6.4
Coal City,IL,23887,7.8
Coalgate,OK,2296,9.1
Coamo,PR,11567,11.5
Coats,KS,4618,5.6
Coatsville,MO,1891,7.4
Coeburn,VA,5017,8.4
Coffeeville,MS,8169,9.4
Colby,KS,4376,2.7
Cold Brook,NY,29074,8.7
Coldwater,MS,11418,10.0
Colebrook,NH,14644,6.9
Coleman,MI,46136,19.5
Collierville,TN,17031,8.5
Collins,GA,7310,7.9
Collinston,LA,9888,8.0
Collison,IL,32514,10.7
Colonial Heights,VA,7672,8.3
Colorado City,TX,2955,5.5
Colt,AR,9259,11.7
Columbia,CA,19477,12.9
Columbia,TN,38831,7.7
Columbia City,IN,16503,5.3
Columbia Falls,MT,43907,7.0
Columbiaville,MI,37682,10.5
Columbus,GA,78531,11.0
Columbus,IN,38666,5.4
