City,population,minimum_age,maximum_age
Arkport,10568,5.0,74.0
Arkville,5076,0.0,84.0
Arlee,6878,0.0,84.0
Arley,5604,0.0,84.0
Arlington,326320,0.0,84.0
Arlington Heights,13109,0.0,84.0
Arma,9250,0.0,84.0
Armada,7999,0.0,74.0
Armagh,4809,0.0,84.0
Armbrust,5193,0.0,84.0
Armington,8322,5.0,84.0
Arminto,10335,0.0,84.0
Armona,8973,0.0,69.0
Armonk,9790,0.0,84.0
Armour,7502,0.0,84.0
Armstrong,39959,0.0,84.0
Armstrong Creek,10101,0.0,84.0
Armuchee,6721,0.0,84.0
Arnaudville,10074,0.0,84.0
Arnegard,7562,0.0,84.0
Arnett,18345,0.0,84.0
Arnold,49219,0.0,84.0
Arnolds Park,5819,0.0,84.0
Arnoldsburg,7697,0.0,84.0
Arnoldsville,8993,0.0,84.0
Arnot,4632,0.0,79.0
Aroda,6850,0.0,84.0
Aroma Park,7421,0.0,84.0
Aromas,6172,5.0,84.0
Arona,5353,0.0,84.0
Arp,12995,0.0,84.0
Arpin,10198,0.0,84.0
Arrey,8747,0.0,84.0
Arriba,8896,5.0,84.0
Arrington,15145,0.0,84.0
Arrow Rock,9170,5.0,84.0
Arrowsmith,13800,0.0,84.0
Arroyo,6691,0.0,74.0
Arroyo Grande,6942,5.0,84.0
Arroyo Hondo,9400,0.0,84.0
Arroyo Seco,8476,0.0,84.0
Art,6758,0.0,84.0
Artemas,7411,0.0,84.0
Artemus,9641,0.0,79.0
Artesia,28424,0.0,84.0
Artesia Wells,13198,0.0,84.0
Artesian,10045,0.0,84.0
Arthur,31600,0.0,84.0
Arthur City,6997,5.0,84.0
Arthurdale,8796,0.0,84.0
Artie,5298,0.0,84.0
Arvada,40808,0.0,84.0
Arverne,7882,0.0,84.0
Arvilla,10465,0.0,84.0
Arvin,5516,0.0,84.0
Arvonia,9273,0.0,84.0
Ary,9093,0.0,84.0
Asbury,26310,0.0,84.0
Asbury Park,5075,0.0,84.0
Ash,14382,0.0,84.0
Ash Flat,9541,0.0,84.0
Ash Fork,10541,0.0,84.0
Ash Grove,4438,0.0,84.0
Ashaway,4512,0.0,84.0
Ashburn,36165,0.0,84.0
Ashburnham,6612,0.0,79.0
Ashby,24101,0.0,84.0
Ashcamp,4446,0.0,84.0
Ashdown,8977,0.0,84.0
Asheboro,16467,0.0,84.0
Asher,11420,0.0,84.0
Asherton,8760,0.0,84.0
Asheville,39065,0.0,84.0
Ashfield,14032,0.0,84.0
Ashford,35070,0.0,84.0
Ashippun,4507,5.0,84.0
Ashkum,6263,0.0,84.0
Ashland,136542,0.0,84.0
Ashland City,12014,0.0,84.0
Ashley,47967,0.0,84.0
Ashley Falls,10335,5.0,84.0
Ashmore,6569,0.0,84.0
Ashtabula,8584,0.0,84.0
Ashton,52300,0.0,84.0
Ashuelot,9608,0.0,84.0
Ashville,32809,0.0,84.0
Ashwood,4870,0.0,84.0
Askov,9508,5.0,84.0
Asotin,5918,0.0,79.0
Aspen,15104,0.0,84.0
Aspermont,16066,0.0,84.0
Aspers,6585,0.0,84.0
Assaria,6090,0.0,84.0
Assawoman,8333,0.0,84.0
Assonet,7580,0.0,79.0
