City,PrivateWork,PublicWork,SelfEmployed,FamilyWork
Jonesboro,72.85,21.2,5.35,0.55
Jonesville,79.1,13.4,7.4,0.1
Jourdanton,78.1,14.3,7.5,0.1
Judsonia,79.2,14.7,5.7,0.4
Juncos,68.5,21.6,9.7,0.2
Junction,68.3,18.0,13.1,0.6
Junction City,72.8,18.3,8.6,0.4
Juneau,68.4,24.849999999999998,6.45,0.25
Kadoka,59.3,11.7,28.5,0.5
Kahuku,72.0,22.1,5.7,0.1
Kansas City,82.76666666666667,12.733333333333334,4.333333333333333,0.13333333333333333
Karbers Ridge,75.4,18.4,5.7,0.5
Karnak,80.3,14.1,5.4,0.1
Katy,81.7,12.5,5.7,0.2
Kaukauna,87.0,8.6,4.3,0.2
Kearney,79.2,13.7,6.6,0.4
Keatchie,81.0,15.1,3.8,0.2
Keenes,81.0,11.9,7.0,0.1
Kelley,66.3,29.3,4.3,0.0
Kellyton,78.4,15.6,5.5,0.5
Kelso,79.0,14.8,5.8,0.4
Kemah,75.8,18.2,5.8,0.2
Kemp,77.4,16.7,5.8,0.1
Kempner,65.5,26.5,8.0,0.0
Kenai,72.2,17.4,9.8,0.5
Kendrick,65.5,23.3,10.2,0.9
Kenilworth,74.5,20.9,4.2,0.4
Kennard,68.8,17.8,12.1,1.3
Kennedy,78.15,16.049999999999997,5.65,0.15000000000000002
Kennett,80.0,14.9,4.9,0.1
Kensington,63.9,19.8,15.5,0.8
Kent,80.5,14.5,4.9,0.1
Kenton,72.45,17.65,9.7,0.25
Keo,76.8,18.0,5.1,0.2
Keota,78.3,12.1,9.4,0.2
Kermit,77.6,16.8,5.5,0.1
Kernersville,82.4,12.2,5.3,0.2
Kewanee,79.6,13.7,6.6,0.1
Kilmarnock,72.2,16.1,11.7,0.0
Kinderhook,74.2,17.0,8.3,0.6
King And Queen Court Hous,76.6,16.2,7.3,0.0
King Ferry,76.1,17.5,6.1,0.3
King Salmon,49.7,39.2,11.1,0.0
King William,78.6,15.2,6.0,0.2
Kingfield,74.7,14.9,10.3,0.1
Kingman,78.7,15.3,5.8,0.3
Kingsland,70.2,24.5,5.3,0.0
Kingsport,81.2,11.8,6.9,0.1
Kingston,70.43333333333334,22.366666666666664,6.366666666666667,0.8333333333333334
Kirksville,71.8,22.3,5.9,0.0
Kirkville,82.3,11.5,6.0,0.2
Kirkwood,79.5,12.1,8.2,0.1
Kissimmee,84.6,11.2,4.2,0.0
Kite,70.9,21.0,7.5,0.5
Klamath Falls,73.3,19.3,7.1,0.4
Klamath River,63.5,22.7,13.8,0.1
Klingerstown,81.7,13.0,5.2,0.1
Klondike,78.6,14.4,7.0,0.0
Knippa,66.8,23.8,9.4,0.0
Krakow,76.8,14.2,8.8,0.2
Kress,79.2,12.6,8.2,0.0
Krypton,75.7,19.5,4.8,0.0
Kulm,62.7,16.6,19.5,1.1
La Crosse,85.5,10.3,4.0,0.2
La Grande,70.1,19.7,9.9,0.4
La Junta,46.0,38.4,15.3,0.2
La Plata,71.55,21.1,7.1,0.3
La Pryor,70.4,23.8,5.6,0.1
La Push,69.7,22.0,8.2,0.1
Labelle,70.1,17.7,11.1,1.1
Lackey,67.6,27.5,4.7,0.3
Lacrosse,56.1,39.4,4.4,0.1
Lafayette,78.0,13.4,8.5,0.2
Lagrange,61.1,27.8,10.9,0.3
Lajas,65.0,27.8,7.2,0.0
Lake Ann,77.9,11.4,9.8,0.9
Lake Benton,72.7,11.6,15.3,0.4
Lake Butler,60.3,35.5,4.0,0.2
Lake George,76.0,16.5,7.3,0.1
Lake Minchumina,33.3,61.7,5.1,0.0
Lake Oswego,80.9,11.1,7.8,0.2
Lake Placid,78.4,16.1,5.4,0.1
Lake Village,82.3,10.5,7.2,0.1
Lake Wales,82.6,12.0,5.3,0.1
Lakeville,77.2,13.3,9.2,0.2
Lakota,74.6,12.2,13.0,0.2
Lamar,81.9,11.6,6.449999999999999,0.05
Lamesa,77.0,12.9,10.1,0.0
Lamont,72.35,16.55,10.65,0.44999999999999996
Lampasas,74.1,14.2,11.7,0.1
Lancaster,82.4,12.3,5.2,0.2
Land O' Lakes,81.2,13.3,5.3,0.2
Landrum,83.1,12.1,4.7,0.1
Lane City,78.9,12.3,8.6,0.2
Lanesville,86.3,10.1,3.4,0.1
Lanexa,74.4,18.2,6.7,0.7
Langlois,67.7,19.4,12.9,0.0
Langtry,65.9,28.9,5.1,0.1
Lansing,72.5,14.9,12.4,0.2
Laquey,57.6,37.1,4.7,0.6
Laredo,74.6,19.4,5.8,0.2
Lares,61.5,32.2,5.6,0.7
Larose,82.1,12.0,5.8,0.2
Las Marias,57.0,33.7,9.3,0.0
Las Piedras,67.2,21.2,11.2,0.45
Laurel,80.1,10.75,8.6,0.5
Lavalette,77.3,18.3,4.4,0.0
Lavina,63.0,23.2,12.6,1.1
Lawndale,75.2,18.8,5.7,0.3
Lawrence,76.75,17.7,5.4,0.15000000000000002
Le Roy,77.2,11.7,10.6,0.5
Le Sueur,79.1,14.0,6.8,0.2
Leadore,61.5,23.2,14.6,0.6
Leakesville,68.8,27.7,3.4,0.0
Leakey,61.8,20.5,17.7,0.0
Leasburg,78.4,15.25,6.1,0.2
Lebo,72.0,19.3,8.6,0.0
Ledger,62.95,18.0,12.55,6.5
Leeds,59.2,27.5,13.0,0.3
Leesburg,73.7,16.0,9.9,0.4
Leicester,75.4,14.8,9.8,0.1
Leitchfield,75.5,16.6,7.6,0.3
Lemoyne,54.4,17.1,27.5,1.0
Lena,79.30000000000001,13.25,7.199999999999999,0.2
Lenoir City,80.3,12.6,6.9,0.3
Lenore,73.5,21.6,4.7,0.2
Leonard,72.6,14.6,12.2,0.6
Leoti,68.0,15.8,15.9,0.4
Leroy,79.5,11.7,8.5,0.4
Leslie,68.9,13.5,17.6,0.0
Letcher,73.9,20.8,5.1,0.2
Letohatchee,73.9,20.5,4.2,1.5
Lettsworth,77.4,16.5,5.7,0.4
Levan,76.4,19.2,4.4,0.0
Lewis,69.6,19.8,10.0,0.6
Lewisport,85.1,11.1,3.6,0.1
Lewiston,76.4,18.6,4.9,0.2
Lewistown,67.7,20.2,11.9,0.2
Lexington,79.10000000000001,15.033333333333333,5.733333333333333,0.13333333333333333
Liberty,63.25,19.75,16.150000000000002,0.8500000000000001
Lidgerwood,73.9,13.3,11.6,1.1
Lima,84.75,10.55,4.5,0.15000000000000002
Lincoln,69.875,22.25,7.775,0.125
Linden,77.35,15.2,7.3999999999999995,0.1
Lineville,69.8,13.2,15.6,1.5
Linn,66.8,29.8,3.4,0.0
Linneus,77.9,13.7,7.9,0.6
Lisbon,82.9,10.6,6.4,0.1
Lisbon Falls,81.9,12.2,5.7,0.2
Litchfield,77.27499999999999,12.45,10.0,0.30000000000000004
Lithonia,80.6,14.3,5.0,0.2
Little Eagle,36.1,40.8,21.5,1.5
Little Falls,84.1,11.5,4.2,0.1
Little Mountain,79.0,16.5,4.5,0.0
Little River,81.5,12.3,5.8,0.4
Little Suamico,81.0,12.0,6.6,0.3
Littlefork,79.4,13.8,6.7,0.1
Livingston,80.1,15.4,4.4,0.1
Loachapoka,75.5,20.3,4.1,0.1
Lockhart,74.7,18.6,6.7,0.1
Locust,76.5,16.4,6.9,0.2
Locust Grove,64.4,28.8,6.5,0.2
Locust Hill,75.1,16.1,8.8,0.0
Logan,71.85,20.200000000000003,6.800000000000001,1.2
Loiza,61.9,33.7,4.5,0.0
Lombard,86.1,9.5,4.3,0.2
Lonaconing,73.94999999999999,18.799999999999997,6.75,0.44999999999999996
Long Beach,74.9,19.2,5.8,0.1
Long Branch,80.35,12.25,7.4,0.05
Long Pine,64.4,18.2,17.4,0.1
Longford,73.2,12.5,14.0,0.3
Longview,84.7,9.8,5.4,0.1
Longville,71.4,17.9,10.4,0.3
Lontetree,75.4,19.0,5.6,0.0
Lookout Mountain,77.1,10.4,12.2,0.3
Lorman,64.8,34.8,0.4,0.0
Los Angeles,79.0,11.5,9.4,0.2
Los Gatos,73.1,15.3,11.4,0.2
Lost City,78.8,15.8,5.1,0.3
Lost Creek,68.9,24.5,6.4,0.1
Louisiana,78.1,14.4,7.2,0.4
Louisville,84.0,11.5,4.4,0.1
Lovelady,67.8,22.1,9.8,0.3
Lubbock,76.5,16.8,6.5,0.2
Luck,75.8,14.5,9.3,0.4
Ludell,62.9,15.7,20.6,0.8
Lueders,74.0,13.4,12.3,0.3
Lufkin,76.2,17.8,5.9,0.0
Lulu,71.5,24.0,4.4,0.1
Lumberton,77.4,18.2,4.2,0.1
Luning,57.9,38.4,3.6,0.2
Luquillo,65.7,23.1,10.3,0.9
Luray,75.05,19.35,5.65,0.0
Lusk,42.2,38.0,18.7,1.2
Lutcher,83.8,12.8,3.4,0.0
Luverne,71.8,15.8,12.1,0.30000000000000004
Lyford,66.9,23.9,9.1,0.1
Lyle,83.5,10.2,6.3,0.1
Lynchburg,80.175,14.4,5.275,0.15
Lyndhurst,79.5,14.600000000000001,5.75,0.2
Lyons,74.63333333333333,17.1,7.933333333333333,0.3333333333333333
Lysite,61.8,28.3,9.4,0.5
Lytton,72.4,15.1,12.2,0.3
Macksburg,76.85,14.25,8.75,0.1
Macon,76.45,18.25,5.05,0.30000000000000004
Madeline,42.6,50.5,6.8,0.1
Madison,74.43333333333332,18.333333333333332,7.066666666666667,0.16666666666666666
Magnolia,77.725,14.375,7.75,0.175
Maiden,83.0,11.1,5.8,0.1
Malcom,83.7,9.0,7.2,0.1
Malvern,81.3,9.6,8.8,0.3
Mammoth Cave,72.2,21.0,6.8,0.1
Manakin Sabot,77.5,15.4,6.9,0.3
Manassa,65.8,21.3,12.8,0.0
Manassas,80.3,15.7,3.95,0.1
Manati,70.1,22.5,7.4,0.0
Mancelona,80.1,11.2,8.6,0.1
Mancos,73.0,17.7,9.1,0.2
Manhattan,65.1,30.5,4.3,0.1
Manitou,65.8,24.5,9.1,0.6
Mankato,60.9,19.0,19.8,0.3
Mannboro,77.2,14.9,7.9,0.0
Manokotak,58.5,37.8,3.7,0.0
Mansfield,76.93333333333332,14.766666666666666,7.8999999999999995,0.3666666666666667
Mansfield Center,73.8,20.3,5.7,0.2
Manville,84.6,11.3,4.1,0.1
Many,79.1,15.2,5.5,0.2
Maple Park,75.8,20.0,3.9,0.3
Maplewood,79.2,11.9,8.6,0.3
Marathon,49.2,40.4,9.0,1.5
Mardela Springs,74.1,20.5,5.3,0.1
Marengo,75.36666666666666,16.7,7.866666666666667,0.10000000000000002
Margaretville,65.7,22.8,11.0,0.5
Maria Stein,84.6,9.1,6.1,0.1
Marianna,63.7,28.3,8.0,0.0
Maricao,62.5,29.1,8.3,0.0
Marienthal,66.5,16.5,17.0,0.0
Marienville,66.5,24.0,9.4,0.1
Marietta,76.96666666666665,12.733333333333334,10.133333333333333,0.13333333333333333
Marine On Saint Croix,82.4,13.3,4.3,0.1
Marion,81.33333333333333,12.333333333333334,6.066666666666666,0.2333333333333333
Marland,68.3,25.2,5.9,0.7
Marmaduke,78.5,14.5,6.9,0.1
Marmarth,56.1,15.5,27.5,0.9
Marshall,78.85999999999999,14.14,6.8,0.18
Marshallberg,66.8,22.2,10.8,0.1
Martha,78.1,17.6,4.3,0.0
Martin,79.2,14.55,6.05,0.15
Martinsville,79.3,15.2,5.1,0.3
Marysville,78.8,13.850000000000001,7.1,0.3
Maryville,82.8,13.0,4.1,0.1
Mason,79.3,9.85,10.600000000000001,0.3
Mass City,66.8,23.6,9.1,0.5
Matlock,82.1,9.3,8.3,0.3
Matthews,83.0,11.3,5.5,0.2
Mattoon,73.5,20.0,6.4,0.1
Mauk,58.8,30.4,10.8,0.0
Maunabo,46.7,48.5,4.8,0.0
Maxton,77.2,17.1,5.6,0.0
Maxwell,83.4,12.3,4.2,0.0
May,64.8,24.5,10.2,0.6
Mayaguez,65.9,26.1,8.0,0.0
Mayer,76.3,14.2,9.4,0.1
Mayesville,76.6,19.2,4.1,0.1
Mayo,59.1,33.1,7.8,0.0
Mayslick,76.9,16.85,6.25,0.0
Maywood,62.8,18.8,16.5,2.0
McAlpin,73.8,20.6,5.5,0.1
McClure,83.2,9.5,7.1,0.2
McColl,78.4,16.4,5.2,0.0
McCool,70.9,21.3,7.3,0.5
McEwen,73.1,18.6,7.9,0.4
McLeansboro,78.9,11.6,9.3,0.1
McLouth,71.4,22.3,6.2,0.0
McMechen,80.3,15.5,4.1,0.0
McMinnville,77.9,12.2,9.8,0.2
McNeill,76.1,17.5,6.3,0.1
Mcarthur,56.5,31.3,11.6,0.6
Mcdaniel,75.4,14.6,10.0,0.0
Meadows Of Dan,77.6,15.1,7.2,0.1
Meally,75.1,19.9,5.0,0.0
Means,68.2,25.5,6.4,0.0
Medford,79.1,8.6,11.9,0.4
Mediapolis,81.7,12.2,6.0,0.1
Medical Lake,78.4,15.5,6.0,0.2
Medicine Bow,58.7,34.2,6.9,0.2
Medicine Lodge,70.3,17.3,12.0,0.5
Medora,78.05,12.55,9.1,0.3
Meeker,76.9,14.1,8.8,0.1
Meherrin,68.3,25.2,6.4,0.1
Melbourne,76.35,15.350000000000001,8.05,0.2
Melrose,76.5,14.55,8.649999999999999,0.3
Melvin,61.55,23.650000000000002,14.0,0.75
Memphis,80.9,13.9,5.1,0.1
Mena,72.3,16.7,10.9,0.1
Menard,52.9,24.6,21.0,1.5
Mendenhall,79.2,14.6,6.1,0.1
Menno,68.9,12.6,18.1,0.4
Menomonie,77.5,15.2,7.1,0.2
Mentone,88.3,6.9,4.7,0.1
Mentor,77.2,13.5,9.0,0.3
Meraux,75.7,14.4,9.9,0.0
Meredosia,76.9,14.7,8.2,0.2
Meriden,67.8,23.9,7.5,0.8
Meridian,74.0,18.6,6.9,0.5
Merrill,82.6,11.1,6.1,0.2
Merrimack,82.8,11.3,5.8,0.1
Merry Point,74.2,15.9,9.7,0.2
Meta,77.9,15.3,6.8,0.0
Metter,73.8,18.2,7.9,0.0
Metz,74.1,21.9,4.0,0.0
Meyers Chuck,54.0,32.5,13.4,0.0
Miami,70.14,19.54,10.1,0.24000000000000005
Michigamme,80.5,14.6,4.7,0.1
Middleton,79.2,13.8,6.9,0.1
Middletown,79.8,13.1,7.0,0.1
Midkiff,71.6,20.7,7.7,0.0
Midland,78.96666666666665,14.899999999999999,5.833333333333333,0.3
Midlothian,77.25,17.450000000000003,5.15,0.1
Midvale,65.5,23.1,11.4,0.1
Midville,78.6,16.4,4.9,0.1
Midway,72.05,18.85,8.600000000000001,0.44999999999999996
Mikado,79.8,10.8,8.8,0.6
Milford,76.86666666666666,15.733333333333334,7.0,0.39999999999999997
Mill Hall,78.9,15.0,5.7,0.4
Mill Spring,73.2,16.1,10.7,0.0
Millboro,80.0,14.7,5.4,0.0
Miller,71.0,12.3,16.6,0.2
Millersburg,78.9,17.2,3.8,0.1
Milligan,70.1,16.5,13.2,0.2
Mills,48.0,16.6,34.3,1.1
Millstone,84.4,11.0,4.4,0.2
Millwood,78.1,15.75,6.199999999999999,0.0
Milner,75.0,18.4,6.5,0.0
Milnor,74.9,15.3,9.7,0.1
Milton,78.72857142857143,14.357142857142858,6.557142857142857,0.3285714285714286
Miltonvale,75.5,15.3,9.0,0.3
Milwaukee,84.8,11.7,3.4,0.1
Minden,77.76666666666667,15.5,6.566666666666666,0.16666666666666666
Mineral,75.2,16.4,8.1,0.3
Mineral City,84.5,10.0,5.3,0.2
Mingo Junction,83.7,10.9,5.3,0.1
Minnesota Lake,81.0,13.8,5.1,0.1
Minong,75.3,14.7,9.8,0.2
Minot,76.8,16.7,6.4,0.1
Minter,76.6,16.7,6.2,0.4
Minturn,78.15,14.2,7.199999999999999,0.45
Mission,34.4,55.0,9.8,0.8
Mitchell,71.83333333333333,19.5,8.466666666666667,0.23333333333333336
Moab,68.15,24.200000000000003,7.4,0.15
Moatsville,79.4,16.7,3.9,0.0
Mobile,81.4,13.8,4.6,0.1
Moca,59.1,29.1,11.7,0.0
Modale,79.8,11.2,8.9,0.2
Model,64.8,24.0,11.0,0.2
Mohall,63.9,18.4,17.3,0.5
Molena,75.4,17.7,6.7,0.1
Moline,82.8,12.9,4.1,0.2
Monarch,75.5,16.5,7.7,0.3
Monmouth,69.6,23.3,6.9,0.2
Monongahela,86.2,8.8,4.9,0.1
Monroe,72.13333333333334,14.799999999999999,12.799999999999999,0.26666666666666666
Monroe Center,79.8,14.5,5.6,0.1
Monterey,76.7,14.2,9.0,0.15000000000000002
Monterville,61.3,31.9,6.7,0.1
Montezuma,56.9,37.3,5.5,0.4
Montgomery,73.36666666666667,22.03333333333333,4.533333333333333,0.10000000000000002
Monticello,71.05,21.31666666666667,7.466666666666666,0.13333333333333333
Montross,66.3,21.5,11.8,0.5
Moore Haven,81.3,14.5,4.0,0.2
Moorefield,77.6,14.0,8.0,0.3
Moran,76.25,14.1,8.45,1.25
Morenci,81.5,14.3,4.2,0.0
Moreno Valley,77.1,14.9,7.8,0.2
Morgan,80.1,14.2,5.7,0.0
Morgantown,73.5,13.3,12.4,0.8
Morovis,75.7,20.3,4.1,0.0
Morris,72.5,20.0,7.3,0.3
Morrison,74.45,17.8,6.8,0.9500000000000001
Morrisville,76.6,16.2,7.1,0.1
Morrow,75.2,19.6,5.0,0.2
Mosby,40.2,20.9,36.6,2.3
Moscow,75.5,15.75,8.25,0.44999999999999996
Mosheim,76.4,15.9,7.5,0.2
Moss,65.3,23.1,11.6,0.0
Moss Point,78.0,16.7,5.2,0.1
Mossyrock,73.5,19.1,7.1,0.2
Moulton,80.3,13.3,5.9,0.4
Moultrie,78.5,16.5,5.0,0.1
Mound City,59.9,15.8,24.4,0.0
Mound Valley,73.9,19.0,6.9,0.2
Mounds,73.7,19.8,6.0,0.4
Mount Airy,79.7,13.8,6.2,0.3
Mount Ayr,66.4,16.5,16.6,0.4
Mount Berry,81.7,14.3,3.8,0.2
Mount Blanchard,83.6,12.0,4.4,0.0
Mount Carmel,81.0,12.9,6.1,0.0
Mount Eden,85.1,10.1,4.8,0.0
Mount Hermon,72.7,20.1,6.9,0.3
Mount Perry,83.6,11.4,4.9,0.1
Mount Pleasant,78.075,16.150000000000002,5.575,0.22499999999999998
Mount Prospect,83.9,11.5,4.5,0.1
Mount Sterling,73.75,15.950000000000001,10.05,0.30000000000000004
Mount Vernon,79.23333333333333,15.166666666666666,5.5,0.13333333333333333
Mountain Home A F B,60.0,32.5,7.3,0.3
Mountain View,76.05,14.6,9.05,0.3
Mountville,81.0,14.2,4.7,0.1
Moweaqua,82.4,10.2,7.5,0.0
Mt Zion,82.4,12.5,4.9,0.2
Muenster,76.9,14.8,8.1,0.2
Mullen,51.4,23.6,25.1,0.0
Mullica Hill,79.9,16.2,3.7,0.1
Muncie,79.2,16.1,4.6,0.1
Muncy Valley,71.3,16.3,11.8,0.6
Mundelein,84.7,10.5,4.6,0.2
Munford,77.7,16.6,5.5,0.2
Murchison,71.6,16.8,11.1,0.4
Murdo,62.9,14.7,20.3,2.1
Murphysboro,62.0,31.8,6.0,0.2
Murrayville,76.7,16.3,6.75,0.25
Muscoda,78.4,12.3,9.1,0.2
Nahunta,70.8,21.1,7.4,0.7
Nancy,75.6,18.3,5.9,0.1
Nantucket,70.0,12.8,17.2,0.1
Naranjito,70.5,22.9,6.5,0.0
Nardin,78.1,15.8,5.9,0.2
Narrows,80.7,15.0,4.3,0.0
Nashville,82.1,11.1,6.8,0.1
Natchez,76.5,16.8,6.4,0.2
Natchitoches,70.6,23.7,5.7,0.0
Naylor,72.9,18.0,9.1,0.0
Nekoma,59.0,23.0,17.5,0.4
Nelson,77.9,11.0,10.7,0.5
Neopit,36.8,59.1,3.7,0.4
Neosho,83.0,10.2,6.6,0.2
Neshkoro,76.9,14.5,8.2,0.4
Nevada,77.0,13.8,8.4,0.7
Nevis,72.9,17.3,9.6,0.2
New Athens,83.3,12.0,4.6,0.1
New Bern,71.0,19.7,8.5,0.8
New Bloomington,82.3,13.1,4.5,0.1
New Boston,77.6,15.649999999999999,6.7,0.1
New Brighton,85.6,9.8,4.5,0.0
New Columbia,79.0,11.5,9.2,0.4
New Cumberland,83.7,13.2,3.0,0.0
New Ellenton,76.9,17.6,5.2,0.3
New Germany,84.7,9.6,5.5,0.2
New Harmony,74.6,20.9,4.5,0.0
New Holland,84.7,8.2,6.8,0.3
New Iberia,81.7,11.8,6.5,0.1
New Leipzig,65.4,14.5,19.8,0.4
New London,78.9,14.8,6.050000000000001,0.15000000000000002
New Market,74.45,15.55,9.75,0.2
New Orleans,80.8,12.95,6.1,0.1
New Richland,81.75,11.100000000000001,7.050000000000001,0.15000000000000002
New Rockford,60.8,21.4,17.5,0.2
New Salisbury,83.7,12.2,4.0,0.1
New Vienna,78.1,12.8,8.8,0.3
New York,83.6,8.5,7.8,0.1
Newark,78.175,13.875,7.65,0.3
Newaygo,81.7,11.3,6.6,0.3
Newberg,80.2,12.0,7.7,0.2
Newberry,71.6,23.8,4.3,0.3
Newburgh,86.0,9.2,4.7,0.1
Newbury,71.7,15.8,12.3,0.2
Newcastle,67.5,16.2,16.3,0.0
Newell,81.6,10.0,8.3,0.1
Newport,79.2,14.666666666666666,6.066666666666666,0.10000000000000002
Newport News,74.8,21.6,3.5,0.0
Newton,86.0,9.0,4.9,0.1
Newtown,85.4,9.1,5.3,0.2
Nezperce,62.4,25.5,11.6,0.5
Niagara,72.95,14.05,12.7,0.3
Niagara University,81.9,13.9,4.0,0.1
Nicholasville,80.4,13.1,6.1,0.4
Nicollet,78.3,15.5,6.0,0.2
Nineveh,81.9,10.9,6.9,0.3
Niota,75.8,13.8,10.2,0.2
Noatak,54.0,43.7,2.1,0.2
Noblesville,84.30000000000001,10.85,4.6,0.15000000000000002
Nodaway,77.1,11.8,10.2,1.0
Nolensville,80.3,10.5,9.0,0.2
Noma,71.5,22.3,6.1,0.1
Norcatur,66.1,21.8,12.0,0.1
Nordland,66.9,18.2,14.8,0.1
Norfolk,73.3,22.8,3.9,0.1
Normal,81.9,13.9,4.0,0.2
Norman,72.4,20.799999999999997,6.65,0.15000000000000002
Normandy,75.9,13.4,10.4,0.3
Norphlet,81.5,13.6,4.9,0.0
Norris,37.3,39.9,22.4,0.4
North Augusta,75.0,17.5,7.4,0.1
North Beach,68.4,27.5,4.0,0.1
North Carrollton,71.4,20.1,7.7,0.8
North East,85.0,10.2,4.8,0.1
North Fairfield,84.5,10.2,5.1,0.2
North Hero,78.2,11.7,9.8,0.3
North Java,73.5,20.1,6.2,0.2
North Little Rock,74.6,20.6,4.7,0.2
North Platte,69.4,5.9,23.9,0.9
North Sioux City,79.0,13.3,7.0,0.8
North Washington,76.5,12.5,10.1,0.8
Northway,64.0,27.8,7.8,0.4
Northwood,72.8,8.5,18.1,0.7
Norton,81.2,16.4,2.4,0.0
Norwalk,80.7,13.3,5.8,0.1
Norway,75.9,18.8,5.1,0.2
Nottawa,85.3,9.1,5.4,0.2
Nowata,80.5,14.2,5.2,0.2
Oak,65.3,17.5,16.2,1.0
Oak Grove,73.80000000000001,20.2,5.7,0.30000000000000004
Oak Vale,79.9,14.3,5.4,0.4
Oakhurst,76.5,16.0,7.4,0.1
Oakland,74.8,21.4,3.8,0.0
Oakley,79.8,12.4,7.7,0.1
Oakman,82.9,11.4,5.2,0.5
Oaktown,82.8,13.2,3.9,0.1
Oakwood,65.9,17.6,15.0,1.5
Oberlin,83.3,12.5,4.1,0.1
Ochlocknee,73.9,15.7,9.4,1.0
Odem,77.6,17.9,4.4,0.1
Odessa,82.0,11.2,6.7,0.1
Odonnell,45.7,36.2,17.0,1.1
Ogallala,74.2,14.5,10.8,0.4
Ogden,76.4,19.5,3.9,0.1
Ogdensburg,82.3,11.8,5.6,0.3
Okeechobee,81.0,13.2,5.7,0.1
Oktaha,72.4,21.5,6.0,0.1
Old Glory,55.3,29.3,13.6,1.8
Oldenburg,82.2,10.2,7.2,0.4
Oldham,68.7,11.9,19.3,0.1
Olla,70.5,24.6,4.6,0.3
Olpe,75.0,19.8,5.2,0.1
Omaha,77.8,16.866666666666667,5.2,0.06666666666666667
Onawa,73.3,14.4,11.9,0.3
Oneida,73.55000000000001,19.35,6.800000000000001,0.25
Opelika,75.5,20.3,4.2,0.1
Oquawka,75.8,15.5,7.7,1.0
Orange,80.8,13.7,5.4,0.1
Orange Grove,80.3,12.6,7.1,0.0
Orangeville,82.9,11.6,5.4,0.2
Ordway,54.7,27.6,16.4,1.3
Ore City,78.5,13.0,8.3,0.2
Orient,58.1,18.4,23.2,0.3
Orleans,74.8,13.833333333333334,10.933333333333332,0.4666666666666666
Orma,77.6,17.6,3.3,1.5
Orocovis,63.6,26.4,9.5,0.44999999999999996
Oronoco,86.2,9.1,4.6,0.1
Ortley,68.4,14.4,16.5,0.7
Osceola,74.0,14.9,10.6,0.4
Oshkosh,84.9,11.4,3.6,0.1
Osnabrock,64.6,16.0,19.0,0.5
Osseo,81.6,13.1,5.2,0.1
Ossipee,71.9,14.0,14.1,0.1
Otley,80.2,13.0,6.7,0.2
Oto,84.9,10.4,4.6,0.1
Otsego,85.2,8.2,6.4,0.2
Otter Rock,72.3,16.2,11.3,0.2
Otterbein,76.4,15.100000000000001,8.1,0.35
Otterville,76.6,15.7,7.6,0.0
Otwell,87.1,9.4,3.2,0.3
Ouzinkie,65.0,25.3,9.4,0.3
Overbrook,78.6,13.2,8.0,0.2
Ovett,73.2,20.6,5.8,0.3
Owasso,84.5,9.7,5.6,0.2
Owenton,69.1,22.0,8.4,0.4
Owyhee,83.6,13.0,3.2,0.2
Oxford,77.45,18.1,4.15,0.3
Ozona,77.4,16.3,6.2,0.2
Pachuta,80.1,17.4,2.5,0.0
Paducah,69.53333333333333,21.166666666666668,9.0,0.3
Pageland,78.5,15.3,6.1,0.1
Pagosa Springs,60.1,25.9,14.0,0.0
Paicines,76.4,16.3,7.1,0.3
Paige,71.3,20.1,8.3,0.3
Painesville,86.6,9.6,3.7,0.1
Palco,62.2,22.4,14.9,0.5
Palestine,69.8,23.6,6.4,0.1
Palisade,75.4,15.2,9.2,0.2
Palmer,70.85,19.45,9.5,0.25
Palmersville,71.5,19.9,8.1,0.4
Palmyra,70.1,23.7,6.1,0.2
Palo Alto,79.8,11.7,8.3,0.2
Pampa,79.6,13.3,7.0,0.0
Panna Maria,69.6,22.0,7.8,0.5
Pantego,76.7,16.0,7.2,0.1
Panther Burn,71.7,23.5,4.7,0.1
Paradise Valley,79.1,14.1,6.7,0.1
Paragon,83.5,10.6,5.8,0.1
Paragould,78.3,14.7,6.9,0.1
Paris,74.73333333333333,17.433333333333334,7.6000000000000005,0.2333333333333333
Parish,76.5,17.8,5.6,0.2
Parker,70.4,11.9,17.4,0.3
Parkersburg,81.8,14.3,3.8,0.1
Parkesburg,85.9,8.5,5.5,0.1
Parkman,70.7,21.0,7.7,0.5
Parksville,75.8,16.3,7.8,0.2
Parma,81.4,12.6,5.95,0.05
Pateros,65.1,25.1,9.5,0.3
Patillas,55.1,39.3,4.2,1.4
Patoka,88.0,7.7,4.2,0.2
Patterson,80.1,13.6,6.0,0.3
Pattison,65.9,28.9,5.2,0.0
Paul,82.6,10.0,6.9,0.5
Paulding,81.0,12.9,6.1,0.0
Pawhuska,77.0,17.1,5.9,0.0
Pawling,77.2,16.8,5.7,0.2
Pawnee Rock,68.25,21.8,9.55,0.35
Paxico,73.3,20.0,6.5,0.2
Payette,75.2,16.2,8.4,0.2
Pearcy,77.6,14.3,8.0,0.1
Pearson,72.9,22.7,4.3,0.0
Pease,78.2,15.1,6.6,0.1
Pecan Gap,72.8,16.2,11.0,0.0
Peck,79.8,10.3,9.2,0.8
Pecos,67.8,28.3,3.9,0.0
Peebles,73.8,19.2,6.6,0.4
Pelham,82.6,12.5,4.8,0.1
Pellston,80.9,9.9,9.0,0.3
Pemberville,85.4,9.9,4.6,0.1
