City,PrivateWork,PublicWork,SelfEmployed,FamilyWork
Bloomingdale,80.6,12.4,6.8,0.2
Bloomington Springs,75.7,15.3,8.6,0.4
Blountsville,82.0,13.5,4.2,0.4
Blue Mound,78.5,13.4,8.0,0.2
Blue Mountain,82.7,11.6,5.6,0.1
Blue Ridge,73.1,19.8,7.1,0.1
Blue River,74.7,16.6,8.0,0.7
Blue Springs,78.25,14.100000000000001,7.45,0.2
Bluff City,70.4,19.1,10.0,0.6
Bluff Dale,78.6,11.0,9.9,0.5
Bluffton,77.8,13.8,7.4,1.1
Bogart,78.3,15.3,6.0,0.4
Bogata,68.5,17.4,13.8,0.4
Boise,62.7,25.8,11.2,0.3
Bomont,69.1,22.9,7.0,1.0
Bond,81.1,14.6,4.2,0.1
Bonesteel,63.1,17.6,18.6,0.7
Bonita Springs,83.8,8.5,7.4,0.2
Bonners Ferry,71.7,16.8,11.1,0.4
Boone,69.3,22.8,7.3,0.5
Boones Mill,80.1,13.5,6.3,0.2
Boonville,81.2,11.4,7.3,0.0
Boston,80.16666666666667,14.366666666666667,5.333333333333333,0.10000000000000002
Boswell,72.3,21.5,6.1,0.1
Boulder,70.8,20.1,8.9,0.3
Bouton,83.7,11.3,4.8,0.2
Boutte,79.8,14.1,6.0,0.1
Bovina,77.6,12.5,9.3,0.5
Bowie,73.86666666666666,18.566666666666666,7.2,0.3666666666666667
Bowlegs,72.6,21.2,6.1,0.1
Bowling Green,78.94999999999999,16.200000000000003,4.7,0.15000000000000002
Bowman,71.6,16.6,11.4,0.3
Box Elder,68.1,25.7,4.6,1.6
Boyertown,86.2,8.1,5.5,0.1
Bozeman,73.2,17.7,8.6,0.4
Bracey,69.6,22.200000000000003,8.05,0.15000000000000002
Brackenridge,86.2,9.3,4.5,0.1
Brackettville,48.7,38.1,13.2,0.0
Bradenton Beach,82.3,11.8,5.5,0.3
Bradford,78.35,12.5,8.45,0.7000000000000001
Bradgate,70.5,13.9,15.5,0.1
Bradleyville,82.8,8.4,8.8,0.1
Brady,68.1,16.2,14.6,1.1
Braidwood,85.2,11.6,3.1,0.1
Branchville,82.4,11.9,5.4,0.3
Brandon,83.4,12.2,4.3,0.1
Brandy Station,75.1,17.4,7.5,0.1
Brasstown,77.9,13.5,8.2,0.4
Braxton,76.5,19.3,4.1,0.1
Brazil,79.6,13.0,7.1,0.2
Breaux Bridge,81.7,13.7,4.4,0.3
Breckenridge,71.9,16.0,11.9,0.2
Breda,76.6,13.3,9.9,0.2
Breeding,74.8,17.7,7.6,0.0
Bremen,85.2,9.0,5.6,0.2
Bremo Bluff,71.2,20.6,8.1,0.1
Bremond,70.8,20.5,8.4,0.3
Brenham,77.0,14.950000000000001,8.0,0.1
Brewerton,78.3,16.8,4.8,0.1
Briceville,75.9,18.4,5.7,0.1
Bridgeport,75.0,19.3,5.6,0.1
Bridgeton,75.0,21.1,3.6,0.3
Bridgeville,49.8,29.6,12.7,8.0
Bridgewater Corners,76.7,13.2,10.0,0.2
Brierfield,76.8,16.1,6.7,0.4
Brighton,78.6,16.7,4.6,0.1
Brightwood,68.8,17.6,13.7,0.0
Briscoe,71.1,16.4,12.5,0.0
Bristol,81.1,13.649999999999999,5.050000000000001,0.15
Bristow,72.25,18.1,9.15,0.55
