City,Employed,Unemployment
Burlington,105272,18.200000000000003
Burlington Junction,11209,7.2
Burns,21847,7.5
Burnsville,7885,10.5
Burton,5548,8.1
Burwell,1062,2.4
Bushnell,1658,5.1
Bussey,17020,4.0
Butte,17461,8.1
Butternut,2560,7.0
Byhalia,82634,7.6
Byrdstown,2166,4.9
Byron,75494,21.0
Cabins,4974,6.7
Cadiz,5584,8.4
Caguas,48083,15.9
Cairo,33568,19.9
Caldwell,16310,11.7
Caledonia,30099,5.4
Calhoun,53300,14.2
Calhoun City,5580,10.1
Caliente,1714,11.8
Call,4911,12.1
Calumet,15440,7.2
Calvin,9824,8.4
Camarillo,398116,8.6
Cambria,9016,5.7
Cambridge,45521,21.6
Camden,23624,21.8
Cameron,4285,6.8
Camilla,7956,13.5
Camp Douglas,11520,7.1
Camp Hill,121280,5.6
Campbellsburg,11783,10.1
Campbelltown,65090,6.9
Campton,46892,17.2
Camuy,8899,21.4
Canandaigua,53394,6.4
Candor,27245,24.3
Cannelburg,14319,5.4
Cannon Beach,16843,7.6
Canovanas,14797,22.6
Canton,183129,17.1
Cantwell,1210,2.3
Cape Coral,263079,10.1
Carey,11941,4.1
Carlyle,19250,4.9
Carmel,51412,6.8
Carolina,63979,14.5
Carpenter,7066,5.800000000000001
Carrabelle,4331,9.4
Carrington,1786,1.3
Carrollton,17246,8.3
Carson,5299,16.3
Carson City,23603,11.3
Cartersville,49161,18.9
Carthage,58062,37.2
Cartwright,4766,3.0
Cascade Locks,11251,5.1
Casco,10404,4.7
Cassatt,26360,10.5
Castalia,26738,9.9
Castell,2018,6.8
Castleford,36316,5.9
Cataldo,65216,7.9
Cataula,15071,8.0
Catoosa,34531,6.0
Cave City,15303,6.9
Cayce,132105,7.5
Cayey,15825,12.8
Cayuga,6686,6.5
Cecil,7043,6.6
Cedar Bluff,10211,8.0
Cedar Falls,63160,9.0
Cedar Valley,241085,5.5
Ceiba,3738,12.2
Centenary,11875,13.9
Center,14439,11.2
Center Harbor,30396,5.3
Centerview,23900,8.0
Centerville,51158,24.1
Central,50816,9.2
Central Bridge,14179,10.5
Central City,3159,4.9
Centralia,17066,9.6
Centreville,603966,4.9
Ceres,208428,15.2
Ceresco,10624,3.5
Chadwick,6866,8.1
Challis,1784,3.3
Chamberlain,2583,2.6
Chambers,494,2.9
Chapel Hill,70264,6.4
Chapin,184364,9.4
Chapmansboro,18572,7.8
Chapmanville,11765,10.9
Chappell,1023,4.3
Charleston,311202,25.9
Charlo,11798,9.9
Charlottesville,23605,4.3
Chase,7062,11.5
Chateaugay,20094,8.8
Chatfield,28307,6.2
Cherokee,41411,31.4
Cherryvale,4052,6.5
Chesapeake,105953,7.5
Chester,290153,21.6
Chester Gap,18689,7.2
Chesterland,46540,4.1
Cheyenne,46206,5.0
Cheyenne Wells,932,9.3
Chicopee,212742,10.0
Chicora,29897,8.5
Chiefland,14392,11.1
Chili,15579,4.8
Chillicothe,8312,11.0
Chilton,26679,3.1
Christiana,141737,6.8
Christmas Valley,3037,10.6
Church Hill,21893,10.0
Ciales,3472,17.7
Cibolo,66822,5.7
Cidra,15006,13.7
Cincinnati,383555,8.8
Cincinnatus,24080,6.1
Cisco,6803,4.4
Claremont,9711,6.1000000000000005
Clarence,78202,10.899999999999999
Clarendon,1411,3.9
Clark,1826,2.8
Clarks Mills,50055,6.8
Clarksdale,8583,5.0
Clarkson,3151,2.6
Clarkston,9439,9.6
Clay City,6270,6.7
Clayton,91029,39.2
Cle Elum,19811,7.8
Clearbrook,3634,7.4
Cleveland,722499,37.7
Clifford,14663,6.6
Clifton,11334,9.8
Clifton Forge,6539,5.1
Clinton,1742,8.8
Clio,8597,17.6
Cloquet,16478,5.4
Clover,112791,8.9
Cloverdale,9747,7.8
Cluster Springs,14234,7.5
Coahoma,13924,6.4
Coal City,23887,7.8
Coalgate,2296,9.1
Coamo,11567,11.5
Coats,4618,5.6
Coatsville,1891,7.4
Coeburn,5017,8.4
Coffeeville,8169,9.4
Colby,4376,2.7
Cold Brook,29074,8.7
Coldwater,11418,10.0
Colebrook,14644,6.9
Coleman,46136,19.5
Collierville,17031,8.5
Collins,7310,7.9
Collinston,9888,8.0
Collison,32514,10.7
Colonial Heights,7672,8.3
Colorado City,2955,5.5
Colt,9259,11.7
Columbia,58308,20.6
Columbia City,16503,5.3
Columbia Falls,43907,7.0
Columbiaville,37682,10.5
Columbus,137741,22.799999999999997
Columbus Grove,17579,3.4
Comanche,19029,6.6
Comer,6355,5.3
Comerio,4776,20.6
Comfort,16597,4.5
Comfrey,5408,4.9
Comins,2792,13.2
Commerce,20960,17.8
Commiskey,12285,9.7
Concord,9589,12.0
Concrete,51761,8.2
Conehatta,8319,10.6
Conley,114144,14.1
Connellsville,53700,8.4
Conover,8986,8.0
Conrad,2738,6.0
Conroe,230258,6.1
Converse,35740,9.2
Conway,136354,24.6
Conway Springs,10758,7.0
Cook Station,9393,12.7
Coon Valley,13450,4.0
Cooper,4452,5.6
Coquille,23458,11.7
Cora,5541,5.4
Corinth,82067,14.6
Cornersville,13637,8.4
Corning,23127,13.2
Cornish,21617,5.8
Corsica,1352,1.9
Cortez,11075,9.5
Corunna,49244,17.8
Corwith,5640,1.5
Cosby,58882,18.5
Coshocton,15576,7.8
Cost,8422,6.5
Cotopaxi,13983,9.2
Cotter,15229,7.6
Cotton Center,14265,8.1
Cottonwood Falls,1187,2.9
Cotulla,2307,8.1
Couch,4083,7.1
