City,Hispanic,White,Black,Native,Asian,Pacific
Barksdale,51.0,48.8,0.2,0.1,0.0,0.0
Barnesville,2.3499999999999996,81.30000000000001,14.35,0.65,0.2,0.0
Barnhart,1.7,94.8,1.0,0.3,0.7,0.0
Barnum,4.2,88.9,4.0,0.3,1.1,0.0
Barranquitas,99.85,0.05,0.0,0.0,0.0,0.0
Bartlett,23.8,62.1,6.2,0.2,5.4,0.0
Barton,1.6,95.6,0.7,0.1,0.5,0.0
Bartow,2.2,43.9,52.4,0.0,0.5,0.0
Basehor,6.6,79.3,8.3,0.6,1.6,0.1
Basile,2.1,77.7,17.4,0.2,0.2,0.2
Bassett,3.8,59.6,34.5,0.1,0.3,0.0
Batavia,3.0,90.9,2.5,1.0,0.7,0.0
Bates,3.5,92.2,0.3,0.7,0.4,0.0
Batesburg,14.8,58.2,26.0,0.1,0.0,0.0
Batesville,1.7,96.1,0.5,0.2,1.1,0.0
Bath,0.6,96.8,0.9,0.2,0.5,0.1
Bath Springs,3.0,91.9,2.8,0.0,0.3,0.0
Battle Creek,13.9,81.7,1.0,1.2,0.7,0.0
Battle Ground,7.5,90.3,0.4,0.0,0.2,0.0
Battle Mountain,2.6,95.1,0.1,1.5,0.0,0.7
Bauxite,4.1,87.1,5.8,0.3,0.9,0.0
Bay City,22.45,68.4,5.6000000000000005,0.30000000000000004,1.35,0.1
Bay Port,2.1,95.7,0.4,0.4,0.6,0.0
Bayamon,99.2,0.5,0.1,0.0,0.1,0.0
Bayport,17.8,69.6,7.1,0.1,3.7,0.0
Beach,2.0,95.6,0.0,0.4,0.0,0.0
Beach Haven,8.8,85.1,2.9,0.0,1.9,0.0
Bealeton,7.0,81.1,7.4,0.1,1.2,0.0
Bear Creek,12.6,71.4,12.0,0.3,1.4,0.1
Beattyville,0.5,98.3,0.4,0.3,0.0,0.0
Beaufort,11.5,66.9,18.4,0.2,1.2,0.0
Beaumont,1.5,93.9,1.1,0.2,0.3,0.2
Beaverton,9.0,81.65,1.1,0.45,4.699999999999999,0.2
Bechtelsville,18.2,74.7,4.1,0.1,1.4,0.0
Becker,2.4,92.5,1.9,0.4,1.2,0.0
Bedford,3.0,96.4,0.0,0.0,0.0,0.0
Bee Branch,2.9,93.6,0.5,0.4,0.2,0.0
Beeson,0.9,90.5,5.9,0.3,0.7,0.0
Beeville,57.3,33.1,8.6,0.5,0.2,0.0
Bejou,4.6,90.4,0.5,1.8,0.4,0.2
Belden,6.1,77.4,15.1,0.1,0.3,0.0
Belgium,2.6,92.6,1.4,0.3,2.1,0.0
Bella Vista,9.2,81.2,1.0,2.2,2.6,0.2
Bellaire,1.9,95.2,0.3,0.9,0.3,0.0
Belle Plaine,4.7,83.3,2.8,0.6,5.9,0.0
Belleview,0.8,94.6,2.6,0.5,0.0,0.1
Belleville,3.7,62.5,29.7,0.2,1.3,0.0
Bellevue,6.75,86.75,2.2,0.8500000000000001,1.25,0.05
Bells,12.3,77.1,5.9,1.2,1.1,0.1
Belmont,1.5,94.8,1.3,0.3,1.2,0.0
Belpre,1.0,95.4,1.1,0.2,0.7,0.0
Belvidere,3.3,60.2,34.1,1.1,0.2,0.0
Bend,7.4,88.8,0.3,0.9,0.3,0.1
Benicia,25.3,39.8,13.5,0.3,14.6,0.8
Benkelman,9.9,88.8,0.1,0.0,0.0,0.0
Bennett,1.7,96.2,0.4,0.0,0.6,0.0
Bennington,0.85,96.95,0.75,0.1,0.25,0.0
Benzonia,2.1,94.3,0.3,1.2,0.3,0.0
Berea,1.2,96.9,0.65,0.0,0.05,0.0
Berkeley Springs,1.3,96.1,0.8,0.1,0.4,0.0
Berlin Heights,3.9,84.1,8.3,0.2,0.5,0.1
Bern,4.1,93.8,0.5,0.1,1.0,0.1
Bernalillo,36.9,45.5,1.9,11.9,1.3,0.0
Berryton,2.6,94.3,0.1,0.9,0.2,0.0
Berthoud,28.7,66.9,1.0,0.5,1.3,0.1
Berwick,6.2,56.5,31.1,1.2,1.6,0.0
Bessemer,1.2,90.1,4.5,2.4,0.5,0.1
Bethlehem,16.0,60.050000000000004,14.6,0.15000000000000002,6.85,0.0
Bethune,18.9,75.9,4.2,0.3,0.3,0.2
Beulah,2.5,62.150000000000006,32.15,2.25,0.44999999999999996,0.0
Biddeford,1.6,94.9,0.7,0.3,1.1,0.0
Big Cabin,3.2,65.9,0.4,9.6,0.4,0.2
Big Pine Key,22.0,69.0,6.1,0.4,1.0,0.0
Big Rock,1.3499999999999999,93.75,2.1500000000000004,0.65,0.85,0.0
Big Sandy,2.1,84.65,1.8,9.7,0.4,0.0
Big Spring,34.1,65.9,0.0,0.0,0.0,0.0
Big Wells,85.8,13.7,0.3,0.0,0.2,0.0
Bighill,2.3,90.1,4.4,0.4,0.9,0.1
Biglerville,6.5,89.8,1.5,0.1,0.7,0.0
Billings,4.0,90.55000000000001,0.6,2.25,0.6499999999999999,0.05
Billingsley,7.6,80.5,10.2,0.4,0.3,0.0
Binford,0.4,96.6,1.2,0.9,0.2,0.0
Bingen,12.0,82.3,0.7,2.8,0.4,0.2
Bird City,6.5,90.9,0.0,0.0,1.2,0.0
Birdsnest,8.0,54.2,36.4,0.1,0.8,0.2
Birmingham,3.8,51.0,42.2,0.2,1.6,0.0
Bisbee,1.6,88.8,0.0,2.0,0.1,0.0
Bishop,23.950000000000003,65.65,0.7,5.8999999999999995,1.2000000000000002,0.3
Bismarck,2.4,87.05,6.3,2.1999999999999997,0.4,0.0
Black River,6.9,82.7,5.1,0.3,1.4,0.2
Black River Falls,4.0,91.6,1.0,0.9,0.7,0.0
Blacksburg,3.5,78.85,12.100000000000001,0.2,3.3499999999999996,0.0
Blackstone,3.9,55.1,38.5,0.3,0.6,0.0
Blackwell,28.2,67.75,2.5,0.4,0.25,0.0
Blanchard,2.7,93.8,0.1,0.5,0.5,0.2
Blanchardville,3.5,94.9,0.4,0.3,0.2,0.0
