City,Drive,Carpool,Transit,Walk,OtherTransp,WorkAtHome,MeanCommute
Belleview,80.5,10.1,0.1,2.6,1.8,4.9,25.2
Belleville,81.9,7.6,4.3,1.7,1.3,3.2,24.4
Bellevue,85.55000000000001,8.55,0.1,1.2,1.05,3.55,22.700000000000003
Bells,78.8,12.1,0.4,1.9,1.2,5.6,25.0
Belmont,74.3,9.1,0.6,11.5,1.5,3.0,21.4
Belpre,85.6,8.0,0.2,2.8,0.8,2.5,22.4
Belvidere,82.6,9.1,0.0,3.0,2.5,2.7,27.7
Bend,79.8,9.0,0.0,3.8,1.4,6.0,21.3
Benicia,76.6,13.7,2.8,1.7,1.5,3.8,30.1
Benkelman,76.6,2.6,0.4,7.5,2.2,10.6,14.0
Bennett,81.7,8.0,0.1,2.5,1.2,6.5,25.1
Bennington,80.75,9.2,0.15,4.3,1.6,3.95,25.15
Benzonia,76.8,13.1,1.8,2.1,1.1,5.2,25.9
Berea,80.65,13.45,0.8999999999999999,0.75,1.1,3.0500000000000003,30.650000000000002
Berkeley Springs,79.7,15.4,0.0,1.6,0.7,2.7,33.1
Berlin Heights,83.4,9.7,0.7,2.8,1.1,2.3,20.9
Bern,71.2,18.1,1.0,3.2,1.3,5.2,20.0
Bernalillo,81.9,8.3,1.2,1.3,1.5,5.7,29.2
Berryton,81.4,12.1,0.1,2.4,0.6,3.4,29.3
Berthoud,79.2,10.9,0.6,2.3,1.8,5.2,26.3
Berwick,81.5,11.0,0.4,2.7,3.0,1.4,21.9
Bessemer,80.8,10.6,0.7,4.0,1.4,2.5,17.5
Bethlehem,81.6,9.65,1.4,1.75,1.25,4.4,29.9
Bethune,76.5,11.1,0.7,3.1,1.0,7.6,12.3
Beulah,70.75,12.25,0.1,3.2,1.95,11.700000000000001,21.15
Biddeford,79.6,9.8,0.7,2.4,1.4,6.1,27.8
Big Cabin,82.9,10.3,0.1,0.8,0.9,5.0,23.9
Big Pine Key,67.4,9.7,2.2,4.4,10.7,5.6,18.8
Big Rock,85.8,8.75,0.3,1.55,1.7999999999999998,1.7999999999999998,31.65
Big Sandy,72.75,10.7,0.9500000000000001,4.6,2.0,9.05,20.7
Big Spring,81.1,5.8,0.0,2.6,1.2,9.3,21.0
Big Wells,79.3,8.2,0.1,4.5,2.3,5.7,15.8
Bighill,79.1,9.2,0.4,5.9,2.7,2.6,22.1
Biglerville,82.6,8.1,0.4,4.0,1.1,3.7,27.2
Billings,81.4,10.65,0.55,1.75,1.5,4.15,22.75
Billingsley,81.2,14.2,0.2,1.1,1.4,1.9,32.0
Binford,76.7,6.6,0.0,5.5,0.9,10.3,15.6
Bingen,75.0,9.3,0.0,4.5,1.2,10.0,22.8
Bird City,73.4,10.5,0.0,8.2,0.9,7.0,14.1
Birdsnest,75.6,12.7,1.2,3.7,1.3,5.6,19.7
Birmingham,84.9,9.3,0.9,1.3,1.0,2.5,23.6
Bisbee,65.8,11.3,0.1,13.5,1.5,7.8,14.2
Bishop,58.8,7.85,6.4,11.7,6.1,9.15,16.75
Bismarck,82.9,11.3,0.4,1.6,0.85,2.9,22.2
Black River,75.9,11.1,0.4,6.8,1.9,4.0,17.8
Black River Falls,81.4,9.0,0.3,2.8,2.8,3.7,20.1
Blacksburg,80.8,9.1,2.65,2.9,1.8,2.75,19.9
Blackstone,83.0,11.4,0.2,0.4,2.9,2.0,26.8
Blackwell,82.75,8.3,0.1,3.4,2.0,3.5,19.1
Blanchard,77.2,10.2,0.4,2.6,2.4,7.2,24.1
Blanchardville,76.0,8.6,0.3,5.0,1.4,8.6,24.8
Blanchester,85.4,6.95,0.44999999999999996,2.05,1.0499999999999998,4.15,27.1
Blanco,79.85,12.899999999999999,0.2,2.1,0.9,4.1,23.05
Bledsoe,71.9,22.8,0.5,2.3,1.0,1.5,19.5
Bloomery,80.4,15.4,0.4,2.2,0.0,1.6,38.1
Bloomfield,82.0,11.1,1.3,3.1,0.9,1.5,26.1
Bloomingdale,83.3,7.9,0.3,3.5,1.2,3.9,24.8
Bloomington Springs,89.1,6.7,0.1,0.9,0.7,2.5,22.9
Blountsville,84.9,11.2,0.4,0.9,0.4,2.3,34.9
Blue Mound,81.7,11.1,0.8,1.3,0.9,4.2,24.3
Blue Mountain,83.3,10.5,0.3,1.7,0.6,3.6,24.4
Blue Ridge,81.4,10.4,0.1,1.5,1.4,5.2,29.4
Blue River,77.1,8.6,0.3,6.7,1.9,5.4,20.4
Blue Springs,81.15,9.55,1.2,2.25,1.05,4.75,21.4
Bluff City,82.5,9.7,0.2,3.3,1.9,2.4,15.3
Bluff Dale,82.7,9.1,0.1,1.4,0.9,5.8,31.8
Bluffton,78.0,13.1,0.4,1.8,2.0,4.7,21.1
Bogart,85.0,8.0,0.2,0.5,0.9,5.4,30.7
Bogata,82.5,10.6,0.0,2.2,1.6,3.2,30.4
Boise,67.8,12.6,0.7,4.8,1.1,12.9,37.9
Bomont,71.2,20.7,0.0,2.1,3.0,3.0,41.4
Bond,64.6,16.8,2.2,5.7,1.3,9.4,19.8
Bonesteel,70.9,11.1,0.0,6.8,1.4,9.8,14.9
Bonita Springs,74.6,11.0,2.6,1.5,3.3,7.0,24.0
Bonners Ferry,76.8,10.5,0.1,3.5,1.3,7.7,21.8
Boone,74.0,10.0,2.5,5.6,1.0,6.9,19.5
Boones Mill,78.7,11.3,0.5,3.1,1.2,5.2,29.8
Boonville,82.4,12.0,0.0,1.0,1.2,3.4,27.4
Boston,68.7,10.133333333333333,10.9,5.3,1.8999999999999997,3.066666666666667,25.633333333333336
Boswell,80.9,11.4,0.5,2.1,2.2,2.9,20.9
Boulder,71.5,13.5,0.0,8.5,2.1,4.5,14.1
Bouton,86.7,6.6,0.2,1.5,0.8,4.3,20.9
Boutte,88.4,7.0,0.0,0.7,1.9,2.0,26.2
Bovina,73.5,17.0,1.0,3.3,1.7,3.5,15.9
Bowie,75.73333333333333,11.533333333333333,5.733333333333333,2.066666666666667,0.9333333333333332,3.9666666666666663,29.46666666666667
Bowlegs,83.6,9.3,0.1,1.9,1.4,3.7,22.8
Bowling Green,82.55,9.1,0.4,3.7,1.5,2.75,19.8
Bowman,81.1,8.2,0.0,4.4,1.4,4.8,15.5
Box Elder,80.1,8.3,0.2,6.2,1.1,4.1,11.9
Boyertown,79.1,6.9,5.2,2.7,0.8,5.2,27.9
Bozeman,72.5,9.1,0.6,6.3,4.6,6.8,17.5
Bracey,81.5,10.95,0.95,1.65,1.9500000000000002,3.0,26.8
Brackenridge,72.1,9.0,9.1,4.2,1.5,4.2,26.4
