City,Income,IncomeErr,IncomePerCap,IncomePerCapErr
Carthage,41946.75,2375.75,23221.75,1481.0
Cartwright,72794.0,10937.0,37045.0,2523.0
Cascade Locks,55827.0,3214.0,27719.0,2137.0
Casco,56863.0,2641.0,26655.0,753.0
Cassatt,43622.0,2145.0,22434.0,849.0
Castalia,42685.0,2699.0,21526.0,692.0
Castell,37654.0,2989.0,25585.0,2613.0
Castleford,44048.0,2081.0,21553.0,857.0
Cataldo,49403.0,1537.0,25744.0,760.0
Cataula,63824.0,6066.0,30386.0,2041.0
Catoosa,55715.0,1400.0,25535.0,506.0
Cave City,36265.0,1665.0,20242.0,1251.0
Cayce,53857.0,869.0,27248.0,481.0
Cayey,20751.0,1025.0,12453.0,1095.0
Cayuga,43600.0,1879.0,22022.0,940.0
Cecil,35683.0,3270.0,18790.0,1800.0
Cedar Bluff,35045.0,3038.0,20053.0,1193.0
Cedar Falls,41947.0,1067.0,21175.0,550.0
Cedar Valley,62180.0,752.0,21335.0,239.0
Ceiba,20702.0,2319.0,10269.0,1446.0
Centenary,29874.0,1865.0,17553.0,1533.0
Center,41583.5,2825.5,23656.5,1495.0
Center Harbor,62159.0,2383.0,31644.0,926.0
Centerview,49792.0,2561.0,22722.0,739.0
Centerville,42625.666666666664,1724.3333333333333,22400.666666666668,1684.3333333333333
Central,41459.0,1182.0,21222.0,643.0
Central Bridge,51195.0,2516.0,25498.0,947.0
Central City,65670.0,10178.0,38361.0,4969.0
Centralia,42238.0,1761.0,22808.0,714.0
Centreville,112552.0,1041.0,51025.0,382.0
Ceres,50125.0,718.0,21922.0,389.0
Ceresco,60854.0,2097.0,29637.0,1363.0
Chadwick,48631.0,3558.0,26493.0,1334.0
Challis,39457.0,3030.0,22861.0,2489.0
Chamberlain,49531.0,5291.0,22591.0,2009.0
Chambers,46394.0,4003.0,30126.0,4464.0
Chapel Hill,59290.0,2621.0,36380.0,1172.0
Chapin,49131.0,1255.0,26026.0,425.0
Chapmansboro,51857.0,2645.0,23922.0,917.0
Chapmanville,36763.0,2541.0,20477.0,992.0
Chappell,50962.0,5274.0,27439.0,2560.0
Charleston,47144.333333333336,1170.3333333333333,27713.333333333332,866.0
Charlo,38732.0,2206.0,22278.0,1174.0
Charlottesville,49775.0,3042.0,30378.0,1288.0
Chase,30275.0,3181.0,17324.0,1245.0
Chateaugay,47923.0,1935.0,22488.0,704.0
Chatfield,50547.0,1745.0,24660.0,516.0
Cherokee,37229.75,3001.5,20323.25,1510.25
Cherryvale,40306.0,3085.0,22538.0,1333.0
Chesapeake,68620.0,1695.0,29703.0,485.0
Chester,51551.333333333336,2157.6666666666665,26959.333333333332,1287.0
Chester Gap,61454.0,5225.0,29522.0,1201.0
