City,Professional,Service,Office,Construction,Production
Bighill,36.2,20.4,23.2,7.1,13.1
Biglerville,29.1,17.1,22.6,10.9,20.4
Billings,68.5,36.8,51.7,21.0,22.1
Billingsley,27.2,14.3,23.7,15.3,19.5
Binford,32.5,14.0,27.3,14.0,12.1
Bingen,35.6,16.0,21.1,15.5,11.8
Bird City,35.6,14.3,25.3,15.5,9.3
Birdsnest,30.9,20.5,21.2,15.5,11.9
Birmingham,38.7,17.0,25.2,7.4,11.6
Bisbee,45.0,16.5,20.6,10.9,7.0
Bishop,73.6,47.400000000000006,44.6,18.5,15.8
Bismarck,65.0,35.0,46.9,25.6,27.5
Black River,32.3,21.5,25.1,11.2,9.8
Black River Falls,28.0,18.3,21.5,10.4,21.8
Blacksburg,72.3,35.7,45.2,12.600000000000001,34.1
Blackstone,27.3,27.0,20.9,10.8,14.1
Blackwell,71.19999999999999,38.4,32.7,26.2,31.5
Blanchard,27.4,19.8,24.9,12.5,15.4
Blanchardville,30.5,13.3,22.1,15.6,18.5
Blanchester,63.5,31.299999999999997,53.0,18.7,33.5
Blanco,64.9,40.3,41.900000000000006,29.0,23.9
Bledsoe,24.2,14.2,12.9,33.2,15.5
Bloomery,19.3,19.0,21.3,16.8,23.5
Bloomfield,25.1,14.9,21.5,13.3,25.2
Bloomingdale,29.1,19.7,21.1,12.7,17.5
Bloomington Springs,33.1,20.6,23.0,8.9,14.4
Blountsville,28.5,14.1,23.9,13.5,19.9
Blue Mound,26.7,20.5,23.4,12.5,16.9
Blue Mountain,21.9,12.5,26.2,10.7,28.6
Blue Ridge,31.5,16.6,22.6,12.9,16.4
Blue River,30.0,16.6,22.1,13.0,18.3
Blue Springs,69.2,36.1,46.7,17.200000000000003,30.799999999999997
Bluff City,33.1,15.6,23.5,11.9,15.9
Bluff Dale,34.6,15.0,24.5,14.3,11.5
Bluffton,24.3,16.2,18.4,16.0,25.1
Bogart,31.5,15.7,26.3,10.3,16.2
Bogata,22.5,19.2,19.6,17.9,20.8
Boise,36.8,14.6,25.1,12.0,11.5
Bomont,24.2,23.3,16.5,22.2,13.8
Bond,33.9,19.3,19.3,19.5,8.0
Bonesteel,37.1,18.1,21.4,14.3,9.0
Bonita Springs,29.7,24.8,25.3,12.7,7.5
Bonners Ferry,28.4,18.0,21.2,15.4,17.0
Boone,35.4,25.5,24.6,8.4,6.1
Boones Mill,31.5,13.5,25.1,12.8,17.1
Boonville,26.0,16.5,22.5,12.8,22.1
Boston,104.69999999999999,56.3,68.6,23.400000000000002,47.2
Boswell,30.1,19.4,23.6,9.6,17.2
Boulder,27.6,26.4,24.1,15.8,6.2
Bouton,47.5,11.7,25.8,5.8,9.2
Boutte,30.4,16.9,26.3,13.3,13.0
Bovina,23.9,14.0,18.5,17.1,26.5
Bowie,91.1,51.2,64.3,48.6,44.900000000000006
Bowlegs,27.2,18.6,22.8,13.8,17.6
Bowling Green,67.5,35.6,48.2,15.4,33.2
Bowman,31.8,17.1,19.2,23.1,8.8
Box Elder,33.9,17.3,22.6,12.6,13.7
Boyertown,49.0,13.1,23.6,6.5,7.8
Bozeman,39.6,18.1,22.3,11.7,8.3
Bracey,56.3,44.400000000000006,46.7,24.4,28.2
Brackenridge,43.7,17.0,24.6,6.1,8.5
Brackettville,30.0,36.5,11.6,20.5,1.3
Bradenton Beach,33.2,20.9,26.7,9.7,9.4
Bradford,62.6,37.5,44.599999999999994,20.5,34.9
Bradgate,31.6,13.3,21.4,13.4,20.4
