City,Mean,Stdev,Median
Arecibo,21958.777777777777,20560.0,15745.888888888889
Argenta,65276.0,43851.0,60270.0
Argillite,49371.0,39802.0,43241.0
Argonia,51200.0,30165.0,300000.0
Argos,59314.0,46323.0,47868.0
Argyle,100346.75,56104.5,136701.0
Arkadelphia,15984.0,18373.0,9618.0
Arkansas City,46179.333333333336,36927.0,37196.333333333336
Arlee,67157.0,56862.0,55306.0
Arleta,68519.0,44254.0,64298.5
Arley,49046.0,42393.0,36818.0
Arlington,93673.23188405797,58342.811594202896,117071.0
Arlington Heights,114682.75,70290.5,145228.5
Arnold,84881.16666666667,54085.666666666664,152865.83333333334
Arock,52972.0,47313.0,38138.0
Arp,48064.0,34591.666666666664,124901.66666666667
Arroyo,20629.0,14292.0,18049.0
Arroyo Grande,76230.66666666667,62753.666666666664,139652.66666666666
Arroyo Hondo,39577.0,33888.0,30782.0
Artesia,60183.4,41989.8,98475.6
Arvada,74636.66666666667,50670.0,80163.0
Arverne,84274.5,69088.0,66938.5
Arvin,53026.0,42781.0,38595.0
Asbury Park,61325.5,51930.25,101498.0
Ascutney,45282.0,28279.0,39030.0
Ash,50636.0,44409.0,37077.333333333336
Ashaway,64346.0,55038.0,300000.0
Ashburg,181788.0,70759.0,196717.0
Ashburn,142538.1,62672.2,218122.8
Ashby,85750.0,52538.0,84920.0
Ashdown,58602.0,55889.5,36129.5
Asheboro,46651.5,38842.75,35505.75
Asheville,60457.1,47883.0,95030.6
Ashfield,79780.0,60828.0,62524.0
Ashford,57246.5,46045.5,46648.0
Ashland,57702.041666666664,45345.0,88196.16666666667
Ashley,49994.0,39430.0,39123.0
Ashmore,59163.0,45135.0,53926.0
Ashtabula,45939.5,38476.75,38810.75
Ashville,64467.5,37577.5,172284.5
Aspen,80365.0,58239.0,62911.0
Aspermont,45593.0,48003.0,31956.0
Astatula,66121.0,45441.0,57072.0
Aston,65714.5,51820.0,52244.0
Astoria,66006.875,53107.875,54261.0
Atascadero,62049.0,43619.5,50174.0
Atchison,48325.0,41246.5,39620.0
Atco,79064.5,52353.5,180646.0
Atglen,82952.0,59048.0,66790.0
Athens,57628.2962962963,47033.666666666664,45685.74074074074
Atherton,149965.0,78073.5,158571.5
Athol,55741.5,46086.0,44049.75
Atkins,70506.0,43016.0,64833.0
Atkinson,57867.0,58833.0,46830.0
Atlanta,75563.546875,54455.78125,73058.875
Atlantic,27216.0,19836.5,18716.0
Atlantic Beach,41673.0,29504.5,33570.0
Atlantic City,52795.2,47327.0,37665.2
Atlantic Highlands,103614.0,71581.0,91818.66666666667
Atlantic Mine,0.0,0.0,0.0
Atmore,31072.0,22228.0,23243.0
Atoka,53881.0,58878.0,33273.0
Attalla,55671.0,37253.0,173024.0
Attica,54046.333333333336,35047.666666666664,51205.666666666664
Attleboro,90517.0,53775.333333333336,219289.66666666666
Atwater,66945.66666666667,44365.166666666664,129995.5
Atwood,56442.0,45017.333333333336,45413.333333333336
Aubrey,89817.6,49552.2,80235.0
Auburn,63657.51515151515,44946.0,89410.78787878787
Auburn Hills,61089.333333333336,43600.666666666664,50015.333333333336
Auburndale,63158.5,40753.333333333336,93490.33333333333
Audubon,86159.0,59755.0,185886.5
Augusta,54554.07692307692,41834.692307692305,76832.23076923077
Aulander,48201.0,51755.0,28117.0
Aurora,63844.86440677966,42942.338983050846,94598.79661016949
Austell,55200.5,39421.0,167714.0
Austin,78442.65882352942,54281.6,100109.82352941176
Austinville,33930.5,20756.0,32205.0
Auxvasse,43391.0,34640.0,32128.0
Avalon,90824.66666666667,65104.0,78542.0
Avawam,46215.0,35181.0,32305.0
Avella,81454.0,58568.0,68881.0
Avenal,0.0,0.0,0.0
Avenel,77648.0,60020.666666666664,62248.666666666664
Aventura,122284.25,75413.75,160135.0
Avery,80696.25,68972.75,102011.25
Avilla,56188.0,42899.0,41288.0
Avoca,68588.0,50546.5,56041.0
Avon,93242.3,57668.3,118148.7
Avon Lake,89893.0,53592.5,186958.5
Avon Park,46281.333333333336,32949.333333333336,40508.0
Avondale,49653.0,35321.333333333336,45119.833333333336
Avondale Estates,66236.0,54684.666666666664,50193.0
Ayden,92231.0,48790.0,74975.0
Ayer,116236.0,74673.0,114277.0
Aynor,49292.0,40690.0,39829.0
Azle,70221.0,57379.333333333336,61733.0
Aztec,58523.25,48555.75,42665.5
Azusa,62324.4,40532.8,99367.2
Babson Park,65628.0,52322.0,54877.0
Babylon,113996.0,69691.0,103774.0
Bacliff,73698.0,54419.5,58263.5
Baconton,36842.0,29639.0,30958.5
Bad Axe,44783.0,37712.0,33995.0
Baden,40041.0,37225.0,29485.0
Badin,54019.0,39690.0,47792.0
Bagdad,86089.0,49278.0,76057.0
Bailey,56209.0,43061.5,46994.5
Baileyton,61900.0,43897.0,65528.0
Baileyville,56485.0,40981.0,48036.0
Bainbridge,52783.6,42713.0,40185.2
Bainbridge Island,126314.5,86887.5,94914.5
Baird,51779.0,41966.0,42184.0
Baker,52424.166666666664,41037.0,88715.83333333333
Baker City,48339.666666666664,45431.666666666664,38195.0
Bakersfield,59350.86842105263,42421.07894736842,89388.44736842105
Bala Cynwyd,106537.0,70198.0,88585.5
Balch Springs,51128.5,40464.5,43335.0
Baldwin,62674.555555555555,45135.555555555555,103378.88888888889
Baldwin Park,61803.666666666664,41905.5,135612.5
Baldwinsville,81783.33333333333,54103.666666666664,150182.0
Baldwyn,28985.0,29579.0,18437.0
Ball,51755.0,35203.0,48317.0
Ball Ground,73421.0,51216.5,62714.0
Ballinger,48392.5,38030.5,41112.0
Ballston Lake,102028.66666666667,54346.333333333336,235403.33333333334
Ballston Spa,78689.5,53377.5,191173.0
Ballwin,106255.25,62715.0,201870.75
Baltimore,63393.09154929577,46095.75352112676,63206.380281690144
Bamberg,33983.0,17966.0,33453.0
Bandera,68544.0,52904.0,50979.0
Bangor,56163.125,44805.125,72181.0
Bangs,56338.0,29881.0,51533.0
Banks,86910.0,52525.0,81034.0
Banner Elk,75720.0,63634.0,60888.0
Banning,28743.0,23094.0,25825.0
Banquete,56300.0,42587.0,45547.0
Bar Harbor,46620.0,42078.0,37226.0
Baraboo,46654.5,35760.0,36740.0
Baraga,53497.0,44125.0,45513.0
Barberton,47251.0,29280.6,87538.8
Barboursville,46016.0,38234.5,36518.0
Barbourville,37535.333333333336,31348.333333333332,119660.66666666667
Barceloneta,20073.2,18479.2,13524.6
Barco,48040.0,46667.0,31575.0
Bardstown,52840.5,43515.5,43957.0
Bardwell,44366.0,38014.333333333336,33560.333333333336
Barnegat,90098.5,58842.0,78874.0
Barnesville,53200.166666666664,45481.166666666664,42157.833333333336
Barnet,66607.0,46751.0,64654.0
Barnhart,83284.0,52211.0,300000.0
Barnum,52144.0,28309.0,300000.0
Barnwell,39970.5,32644.5,31842.0
Barrackville,47705.0,34803.5,39625.5
Barranquitas,26368.5,25240.5,18700.0
Barre,77302.0,48968.5,177822.5
Barrington,122188.5,73511.25,144787.0
Barrow,94285.0,70054.0,78124.0
Barry,30571.0,25852.0,24813.0
Barryton,44899.0,37373.0,35179.0
Barstow,50790.333333333336,38058.333333333336,43055.333333333336
Bartelso,84618.0,51838.0,83031.0
Bartlesville,63671.6,48796.6,91699.6
Bartlett,89151.66666666667,54267.0,178671.66666666666
Barto,87321.5,56299.5,300000.0
Barton,35545.5,29121.5,32647.0
Bartonsville,64873.0,53158.0,45469.0
Bartonville,62173.0,48761.0,53138.0
Bartow,31427.0,21907.0,27682.0
Basalt,98517.0,69286.0,79677.0
Basking Ridge,113895.0,67714.33333333333,230682.66666666666
Bassett,35291.0,30814.0,25954.0
Bassfield,33148.0,27181.0,25190.0
Bastrop,56701.666666666664,47753.666666666664,44041.666666666664
Batavia,66338.81818181818,46344.545454545456,56797.27272727273
Batchelor,42879.0,33420.0,32747.0
Batesburg-leesville,39967.0,36156.0,26426.0
Batesville,46262.0,38815.0,37076.0
Bath,50447.0,37131.6,43260.6
Baton Rouge,58993.171428571426,42751.25714285715,69642.31428571428
Battle Creek,58685.642857142855,41099.5,65290.142857142855
Battle Ground,76181.5,49929.0,69114.75
